,Name,Position,Acceleration,SprintSpeed,Agility,Stamina,Aggression,Total
0,Bruno Fernandes,CAM,77.0,73.0,80.0,91.0,78.0,399.0
1,L. Goretzka,LDM,78.0,83.0,76.0,88.0,81.0,406.0
2,L. Suárez,RS,76.0,69.0,75.0,78.0,87.0,385.0
3,K. De Bruyne,RCM,76.0,76.0,79.0,89.0,76.0,396.0
4,M. Acuña,LB,77.0,76.0,83.0,90.0,84.0,410.0
5,J. Kimmich,RDM,77.0,65.0,84.0,94.0,89.0,409.0
6,Paulinho,LCM,73.0,71.0,72.0,91.0,81.0,388.0
7,G. Wijnaldum,SUB,78.0,76.0,84.0,93.0,75.0,406.0
8,E. Can,SUB,67.0,87.0,72.0,88.0,88.0,402.0
9,A. Griezmann,LS,80.0,80.0,92.0,86.0,73.0,411.0
10,L. Modrić,RCM,76.0,70.0,91.0,83.0,62.0,382.0
11,Marcos Llorente,RM,86.0,90.0,82.0,90.0,83.0,431.0
12,Sergio Ramos,LCB,71.0,69.0,77.0,78.0,90.0,385.0
13,D. Alaba,LB,78.0,77.0,76.0,75.0,74.0,380.0
14,Merino,RCM,73.0,75.0,76.0,84.0,81.0,389.0
15,N. Barella,RCM,80.0,76.0,91.0,95.0,79.0,421.0
16,Alex Telles,SUB,81.0,84.0,75.0,85.0,76.0,401.0
17,F. de Jong,RCM,80.0,82.0,88.0,90.0,75.0,415.0
18,M. Sabitzer,SUB,75.0,81.0,75.0,85.0,77.0,393.0
19,J. Cuadrado,RM,91.0,89.0,94.0,78.0,78.0,430.0
20,Koke,RCM,72.0,69.0,73.0,93.0,79.0,386.0
21,João Cancelo,LB,86.0,84.0,80.0,90.0,73.0,413.0
22,L. Digne,LB,81.0,77.0,74.0,86.0,76.0,394.0
23,F. Kostić,LM,89.0,88.0,76.0,90.0,80.0,423.0
24,T. Alexander-Arnold,RB,77.0,80.0,73.0,88.0,74.0,392.0
25,S. Milinković-Savić,RCM,66.0,70.0,62.0,91.0,79.0,368.0
26,A. Vidal,SUB,66.0,65.0,81.0,78.0,92.0,382.0
27,P. Pogba,RDM,63.0,77.0,73.0,77.0,78.0,368.0
28,Casemiro,CDM,60.0,69.0,61.0,89.0,91.0,370.0
29,L. Messi,RW,91.0,80.0,91.0,72.0,44.0,378.0
30,Renato Sanches,LCM,86.0,83.0,85.0,87.0,84.0,425.0
31,L. Ocampos,LW,80.0,82.0,79.0,91.0,82.0,414.0
32,Jordi Alba,LB,87.0,86.0,90.0,87.0,75.0,425.0
33,R. Lewandowski,ST,77.0,79.0,77.0,76.0,81.0,390.0
34,M. Salah,RW,89.0,91.0,91.0,85.0,63.0,419.0
35,Angeliño,LB,85.0,73.0,83.0,85.0,77.0,403.0
36,Cristiano Ronaldo,ST,85.0,88.0,86.0,77.0,63.0,399.0
37,12 Roberto Carlos,SUB,77.0,78.0,74.0,60.0,74.0,363.0
38,Canales,LM,85.0,82.0,83.0,80.0,68.0,398.0
39,H. Kane,ST,65.0,74.0,71.0,83.0,80.0,373.0
40,19 Dani Alves,RB,75.0,77.0,84.0,74.0,82.0,392.0
41,M. Brozović,CDM,70.0,68.0,79.0,94.0,85.0,396.0
42,M. Verratti,CM,68.0,60.0,91.0,76.0,89.0,384.0
43,Saúl,SUB,69.0,72.0,73.0,86.0,76.0,376.0
44,Thiago,LCM,72.0,55.0,91.0,74.0,72.0,364.0
