,time,lat,long,accel,gyro,mag,speed
0,8:53:41,37.6309738159,127.0795516968,"[-0.06, -0.12]",[13.18],"[12.49, -24.72, -97.35]",4.78
1,8:53:42,37.6309585571,127.0795288086,"[0.05, -0.11]",[18.43],"[14.34, -23.75, -98.75]",4.72
2,8:53:43,37.630947113,127.0795288086,"[-0.1, 0.07]",[14.04],"[15.12, -26.23, -94.13]",5.01
3,8:53:44,37.6309394836,127.0795440674,"[-0.06, 0.01]",[14.77],"[14.07, -25.79, -94.21]",3.68
4,8:53:45,37.6309280396,127.0795440674,"[-0.08, 0.01]",[-6.59],"[14.23, -24.3, -94.42]",3.8
5,8:53:46,37.6309204102,127.0795516968,"[-0.14, -0.12]",[-13.31],"[18.05, -21.61, -95.24]",4.36
6,8:53:47,37.6309127808,127.079574585,"[-0.14, 0.0]",[-0.98],"[21.44, -18.32, -98.07]",4.33
7,8:53:48,37.6308898926,127.0794906616,"[-0.13, 0.07]",[-6.59],"[25.57, -19.49, -95.63]",5.06
8,8:53:49,37.6308822632,127.0794830322,"[-0.18, -0.04]",[-0.98],"[29.49, -18.85, -101.26]",3.19
9,8:53:50,37.6308670044,127.0794143677,"[-0.1, 0.11]",[-6.9],"[25.16, -22.86, -98.35]",3.4
10,8:53:51,37.630859375,127.0794143677,"[-0.12, -0.03]",[8.3],"[22.4, -22.33, -97.95]",4.46
11,8:53:52,37.6308479309,127.0794067383,"[-0.22, -0.1]",[18.07],"[20.47, -19.82, -96.4]",4.95
12,8:53:53,37.6308364868,127.0794219971,"[-0.12, -0.07]",[1.28],"[16.3, -22.52, -95.03]",5.97
13,8:53:54,37.6308250427,127.0794296265,"[-0.01, -0.1]",[-6.53],"[15.98, -21.5, -93.49]",5.07
14,8:53:55,37.6308135986,127.0794372559,"[-0.04, 0.05]",[-6.35],"[16.03, -22.51, -92.47]",4.15
15,8:53:56,37.6308059692,127.0794372559,"[-0.02, 0.05]",[2.38],"[16.66, -22.38, -93.57]",4.43
16,8:53:57,37.6307907104,127.0794372559,"[0.02, 0.01]",[10.31],"[17.16, -21.88, -95.29]",5.39
17,8:53:58,37.6307792664,127.0794372559,"[0.08, -0.11]",[18.13],"[16.47, -22.53, -93.68]",5.11
18,8:53:59,37.6307678223,127.0794448853,"[0.03, -0.14]",[21.73],"[16.21, -21.25, -94.67]",4.28
19,8:54:0,37.6307601929,127.0794525146,"[-0.03, -0.1]",[23.25],"[17.03, -21.19, -92.68]",4.46
20,8:54:1,37.6307487488,127.079460144,"[-0.09, -0.0]",[9.7],"[15.52, -21.33, -94.62]",4.28
21,8:54:2,37.6307373047,127.079460144,"[-0.02, 0.01]",[-1.71],"[19.6, -21.14, -91.94]",4.65
22,8:54:3,37.6307258606,127.0794525146,"[-0.1, 0.03]",[-21.24],"[19.85, -20.83, -92.82]",5.02
