,Name,Acceleration,SprintSpeed,Agility,Stamina,Aggression,Total,Acceleration Proportion,SprintSpeed Proportion,Agility Proportion,Stamina Proportion,Aggression Proportion
0,L. Messi,91.0,86.0,91.0,72.0,48.0,388.0,0.2345360824742268,0.22164948453608246,0.2345360824742268,0.18556701030927836,0.12371134020618557
1,Cristiano Ronaldo,89.0,91.0,87.0,88.0,63.0,418.0,0.21291866028708134,0.21770334928229665,0.20813397129186603,0.21052631578947367,0.1507177033492823
2,Neymar Jr,94.0,90.0,96.0,81.0,56.0,417.0,0.22541966426858512,0.2158273381294964,0.2302158273381295,0.19424460431654678,0.1342925659472422
3,De Gea,57.0,58.0,60.0,43.0,38.0,256.0,0.22265625,0.2265625,0.234375,0.16796875,0.1484375
4,K. De Bruyne,78.0,76.0,79.0,90.0,76.0,399.0,0.19548872180451127,0.19047619047619047,0.19799498746867167,0.22556390977443608,0.19047619047619047
5,E. Hazard,94.0,88.0,95.0,83.0,54.0,414.0,0.22705314009661837,0.21256038647342995,0.22946859903381642,0.20048309178743962,0.13043478260869565
6,L. Modrić,80.0,72.0,93.0,89.0,62.0,396.0,0.20202020202020202,0.18181818181818182,0.23484848484848486,0.22474747474747475,0.15656565656565657
7,L. Suárez,86.0,75.0,82.0,90.0,87.0,420.0,0.20476190476190476,0.17857142857142858,0.19523809523809524,0.21428571428571427,0.20714285714285716
8,Sergio Ramos,76.0,75.0,78.0,84.0,88.0,401.0,0.18952618453865336,0.18703241895261846,0.19451371571072318,0.20947630922693267,0.2194513715710723
9,J. Oblak,43.0,60.0,67.0,41.0,34.0,245.0,0.17551020408163265,0.24489795918367346,0.27346938775510204,0.1673469387755102,0.13877551020408163
10,R. Lewandowski,77.0,78.0,78.0,78.0,80.0,391.0,0.1969309462915601,0.19948849104859334,0.19948849104859334,0.19948849104859334,0.20460358056265984
11,T. Kroos,64.0,62.0,70.0,75.0,60.0,331.0,0.1933534743202417,0.18731117824773413,0.21148036253776434,0.22658610271903323,0.18126888217522658
12,D. Godín,68.0,68.0,58.0,66.0,89.0,349.0,0.19484240687679083,0.19484240687679083,0.166189111747851,0.18911174785100288,0.25501432664756446
13,David Silva,70.0,64.0,92.0,78.0,57.0,361.0,0.19390581717451524,0.1772853185595568,0.2548476454293629,0.21606648199445982,0.15789473684210525
14,N. Kanté,82.0,78.0,82.0,96.0,90.0,428.0,0.19158878504672897,0.1822429906542056,0.19158878504672897,0.22429906542056074,0.2102803738317757
15,P. Dybala,87.0,83.0,91.0,80.0,48.0,389.0,0.2236503856041131,0.2133676092544987,0.23393316195372751,0.20565552699228792,0.12339331619537275
16,H. Kane,68.0,72.0,71.0,89.0,76.0,376.0,0.18085106382978725,0.19148936170212766,0.18882978723404256,0.23670212765957446,0.20212765957446807
17,A. Griezmann,88.0,85.0,90.0,83.0,69.0,415.0,0.21204819277108433,0.20481927710843373,0.21686746987951808,0.2,0.16626506024096385
18,M. ter Stegen,38.0,50.0,37.0,35.0,43.0,203.0,0.18719211822660098,0.24630541871921183,0.18226600985221675,0.1724137931034483,0.21182266009852216
19,T. Courtois,46.0,52.0,61.0,38.0,23.0,220.0,0.20909090909090908,0.23636363636363636,0.2772727272727273,0.17272727272727273,0.10454545454545454
20,Sergio Busquets,50.0,52.0,66.0,86.0,85.0,339.0,0.14749262536873156,0.15339233038348082,0.19469026548672566,0.2536873156342183,0.25073746312684364
