,name,age,position1,position2,Apps,Mins,Goals,Assists,SpG,KeyP,Drb,Rating,WC_Rating
0,Franck Ribéry ,39, AM(CL),FW,18(4),1643.0,10.0,10.0,2.7,2.5,5.5,8.28,0
2,Robert Lewandowski ,34, FW,,31(2),2807.0,20.0,6.0,3.5,1.9,3.1,8.0,0
3,Roberto Firmino ,31, M(CLR),FW,33,2916.0,16.0,11.0,2.8,2.1,4.5,7.94,0
4,Marco Reus ,33, M(CLR),FW,26(4),2221.0,16.0,13.0,3.7,3.0,2.7,7.91,0
5,Raffael ,37, AM(CL),FW,34,2999.0,15.0,7.0,2.2,1.9,4.9,7.91,0
7,Max Kruse ,34, M(CLR),FW,34,3021.0,12.0,9.0,2.2,2.9,3.8,7.88,0
9,Adrián Ramos ,36, FW,,30(2),2665.0,16.0,5.0,2.9,1.5,2.6,7.75,0
11,Mario Götze ,30, M(CLR),FW,20(7),1830.0,10.0,8.0,1.9,1.4,3.6,7.72,0
13,Kevin De Bruyne ,31, M(CLR),FW,16,1420.0,3.0,6.0,2.1,3.1,4.0,7.71,0
14,Stefan Kießling ,38, FW,,30(2),2679.0,15.0,3.0,2.6,1.2,1.2,7.7,0
15,Jefferson Farfán ,38, M(CR),FW,17(2),1524.0,9.0,5.0,1.5,2.4,2.9,7.7,0
16,Julian Draxler ,29, AM(CLR),FW,25(1),2154.0,2.0,6.0,1.8,2.3,4.1,7.69,0
17,Arjen Robben ,38, M(CLR),FW,20(8),1705.0,11.0,6.0,2.7,1.8,3.0,7.62,0
18,Henrikh Mkhitaryan ,33, M(CLR),FW,29(2),2454.0,9.0,10.0,2.3,1.6,2.9,7.59,0
20,Pierre-Michel Lasogga ,30, FW,,18(2),1491.0,13.0,1.0,3.6,0.6,1.4,7.54,0
25,Mario Mandzukic ,36, M(L),FW,21(9),2028.0,18.0,4.0,2.5,1.0,0.7,7.5,0
30,Klaas Jan Huntelaar ,39, FW,,17(1),1463.0,12.0,0.0,3.1,0.5,1.5,7.45,0
32,André Hahn ,32, AM(CLR),FW,30(2),2736.0,12.0,7.0,2.9,1.1,0.9,7.43,0
34,Admir Mehmedi ,31, M(CLR),FW,29(3),2618.0,12.0,4.0,2.5,1.0,3.6,7.4,0
37,Claudio Pizarro ,44, AM(C),FW,6(11),704.0,10.0,2.0,1.4,0.8,1.5,7.39,0
38,Son Heung-Min ,30, M(CLR),FW,29(2),2387.0,10.0,4.0,2.7,1.1,2.7,7.39,0
42,Thomas Müller ,33, M(CLR),FW,25(6),2173.0,13.0,10.0,2.3,2.0,1.0,7.36,0
47,Eric Choupo-Moting ,33, M(CLR),FW,19(13),2046.0,10.0,3.0,2.6,0.8,3.6,7.33,0
53,Mame Diouf ,34, M(LR),FW,18(1),1474.0,8.0,3.0,3.4,0.8,1.4,7.32,0
55,Hakan Çalhanoglu ,28, M(CLR),FW,28(4),2451.0,11.0,4.0,2.8,2.2,1.6,7.31,0
58,Aaron Hunt ,36, M(CLR),FW,31,2675.0,7.0,6.0,1.9,2.2,2.2,7.31,0
60,Kevin-Prince Boateng ,35, M(CLR),FW,28,2451.0,6.0,2.0,3.1,1.1,2.0,7.3,0
64,Kevin Volland ,30, AM(CLR),FW,32(1),2880.0,11.0,4.0,2.8,1.2,2.5,7.29,0
69,Juan Arango ,42, AM(L),,31,2608.0,8.0,5.0,2.6,0.7,1.3,7.25,0
73,Shinji Okazaki ,36, AM(CLR),FW,31(2),2719.0,15.0,1.0,2.2,0.8,1.4,7.23,0
79,Lars Stindl ,34, M(CLR),FW,31,2657.0,3.0,2.0,1.7,1.5,2.2,7.22,0
84,Alexander Meier ,39, M(C),FW,18(4),1654.0,8.0,2.0,2.5,1.0,0.8,7.2,0
94,Ivan Perisic ,33, M(CLR),FW,24(9),2214.0,10.0,4.0,2.1,0.8,1.3,7.17,0
96,Daniel Didavi ,32, AM(CR),FW,6(1),450.0,1.0,1.0,1.7,1.7,1.6,7.17,0
98,Ivica Olic ,43, AM(LR),FW,28(4),2409.0,14.0,5.0,2.3,0.8,1.3,7.16,0
99,Joselu ,32, FW,,18(6),1672.0,9.0,2.0,2.8,0.5,1.0,7.16,0
