,name,age,position1,position2,Apps,Mins,Goals,Assists,SpG,KeyP,Drb,Rating,WC_Rating
0,Luis Suárez ,35, AM(CLR),FW,33,2965.0,31.0,12.0,5.5,2.7,2.8,8.43,0
1,James Wilson ,26, AM(CR),FW,1,64.0,2.0,0.0,4.0,0.0,0.0,8.04,0
8,Sergio Agüero ,34, AM(CL),FW,20(3),1539.0,17.0,6.0,3.7,1.6,1.9,7.71,0
9,Eden Hazard ,31, M(CLR),FW,32(3),2898.0,14.0,7.0,2.1,2.7,3.8,7.68,0
11,Wayne Rooney ,37, M(CLR),FW,27(2),2448.0,17.0,10.0,3.5,1.9,1.4,7.62,0
12,David Silva ,36, M(CLR),FW,26(1),2174.0,7.0,9.0,2.0,3.2,1.1,7.57,0
17,Daniel Sturridge ,33, M(R),FW,26(3),2277.0,21.0,7.0,3.4,1.0,1.3,7.45,0
21,Raheem Sterling ,27, M(CLR),FW,24(9),2221.0,9.0,5.0,1.4,1.6,2.8,7.4,0
26,Olivier Giroud ,36, FW,,36,3083.0,16.0,8.0,3.1,1.0,0.7,7.36,0
34,Juan Mata ,34, AM(CLR),,14(1),1231.0,6.0,4.0,1.9,2.3,0.9,7.31,0
35,Romelu Lukaku ,29, AM(R),FW,29(2),2564.0,15.0,6.0,3.2,1.1,1.3,7.31,0
44,Christian Benteke ,31, FW,,24(2),2128.0,10.0,2.0,2.6,1.8,0.7,7.25,0
46,Willian ,34, AM(CLR),,18(7),1680.0,4.0,2.0,1.8,2.6,1.5,7.25,0
52,Andy Carroll ,33, FW,,12(3),1093.0,2.0,4.0,3.4,1.0,0.3,7.23,0
54,Christian Eriksen ,30, M(CLR),FW,23(2),1984.0,7.0,8.0,1.9,2.7,1.0,7.22,0
58,Peter Crouch ,41, FW,,30(4),2643.0,7.0,6.0,1.8,1.0,0.3,7.21,0
67,Emmanuel Adebayor ,38, FW,,20(1),1809.0,11.0,4.0,2.1,1.6,1.0,7.16,0
73,Loïc Rémy ,35, M(LR),FW,24(2),2103.0,14.0,3.0,3.5,1.2,1.1,7.15,0
75,Edin Dzeko ,36, FW,,23(8),1993.0,16.0,1.0,3.3,0.6,0.4,7.15,0
86,Theo Walcott ,33, M(CLR),FW,9(4),859.0,5.0,4.0,2.5,1.8,0.7,7.11,0
87,Kevin Mirallas ,35, M(CLR),FW,28(4),2335.0,9.0,7.0,2.5,1.9,1.4,7.11,0
89,Peter Odemwingie ,41, AM(LR),FW,15,1295.0,6.0,1.0,1.9,0.5,1.7,7.11,0
90,Wilfried Bony ,33, FW,,27(7),2473.0,16.0,4.0,3.2,0.7,0.7,7.1,0
95,Jay Rodríguez ,33, AM(CLR),FW,30(3),2570.0,15.0,3.0,3.1,0.6,1.2,7.09,0
99,Samuel Eto'o ,41, M(CL),FW,16(5),1306.0,9.0,2.0,2.8,1.0,0.9,7.08,0
109,Robin van Persie ,39, AM(C),FW,18(3),1584.0,12.0,3.0,3.0,0.8,0.7,7.06,0
121,Marko Arnautovic ,33, AM(CLR),FW,27(3),2257.0,4.0,7.0,2.4,1.6,1.3,7.02,0
137,Rickie Lambert ,40, FW,,31(6),2820.0,13.0,10.0,2.8,1.5,0.2,6.99,0
140,Lukas Podolski ,37, AM(CLR),FW,14(6),1173.0,8.0,2.0,2.1,0.4,0.3,6.98,0
143,Adnan Januzaj ,27, AM(CLR),,15(12),1641.0,4.0,3.0,1.7,1.1,1.9,6.96,0
149,Yannick Bolasie ,33, AM(LR),FW,23(6),2039.0,0.0,4.0,1.7,0.9,2.6,6.94,0
154,Marouane Chamakh ,38, AM(C),FW,27(5),2308.0,5.0,2.0,0.5,1.1,0.8,6.94,0
164,Tom Lawrence ,28, AM(CLR),FW,1,70.0,0.0,0.0,2.0,2.0,2.0,6.92,0
165,Andros Townsend ,31, AM(LR),FW,12(13),1226.0,1.0,0.0,2.2,1.1,2.7,6.92,0
174,Fernando Torres ,38, FW,,16(12),1572.0,5.0,5.0,2.2,1.0,1.2,6.9,0
175,Álvaro Negredo ,37, FW,,21(11),1726.0,9.0,3.0,2.1,1.0,0.3,6.89,0
179,Juan Mata ,34, AM(CLR),,11(2),834.0,0.0,2.0,0.8,2.3,0.8,6.89,0
184,André Schürrle ,32, M(CLR),FW,15(15),1327.0,8.0,2.0,1.9,1.0,0.6,6.88,0
187,Mohamed Salah ,30, AM(CLR),FW,6(4),501.0,2.0,1.0,2.1,0.9,1.6,6.88,0
188,Serge Gnabry ,27, AM(CLR),FW,5(4),464.0,1.0,0.0,1.3,0.6,1.2,6.88,0
192,Harry Kane ,29, AM(C),FW,6(4),500.0,3.0,0.0,2.8,0.7,0.5,6.87,0
196,Shane Long ,35, AM(R),FW,15,1208.0,4.0,1.0,1.8,0.9,0.1,6.86,0
203,Modibo Maiga ,35, FW,,11(3),1007.0,1.0,2.0,1.8,0.9,0.3,6.85,0
206,Nathan Redmond ,28, AM(CLR),FW,23(11),2159.0,1.0,3.0,1.9,1.0,1.7,6.84,0
207,Danny Welbeck ,31, AM(CLR),FW,15(10),1461.0,9.0,1.0,1.8,0.5,0.8,6.84,0
209,Michu ,36, AM(C),FW,15(2),1289.0,2.0,2.0,2.5,1.5,0.5,6.84,0
212,Ravel Morrison ,29, M(C),FW,12(4),1155.0,3.0,2.0,1.3,0.7,2.1,6.83,0
226,Connor Wickham ,29, AM(L),FW,10(5),848.0,5.0,1.0,1.7,0.3,0.7,6.81,0
231,Fabio Borini ,31, M(CLR),FW,25(7),2145.0,7.0,2.0,2.1,0.8,0.9,6.8,0
233,Yoan Gouffran ,36, M(CLR),FW,31(4),2626.0,6.0,3.0,1.5,0.8,0.6,6.8,0
240,Oussama Assaidi ,34, AM(L),FW,12(7),1112.0,4.0,0.0,1.1,1.0,1.4,6.78,0
245,Bryan Ruiz ,37, M(CLR),FW,8(4),774.0,1.0,3.0,0.9,1.3,1.2,6.77,0
253,Stevan Jovetic ,33, AM(CL),FW,2(11),362.0,3.0,1.0,1.8,0.5,1.2,6.75,0
256,Hatem Ben Arfa ,35, M(CR),FW,13(14),1305.0,3.0,3.0,1.7,1.1,2.4,6.74,0
269,Nikica Jelavic ,37, FW,,16,1319.0,5.0,0.0,3.4,0.3,0.5,6.72,0
278,Dimitar Berbatov ,41, AM(C),FW,18,1569.0,4.0,1.0,1.9,1.4,0.8,6.71,0
282,Wayne Routledge ,37, M(CLR),FW,32(3),2707.0,2.0,4.0,0.8,1.3,1.1,6.71,0
283,Nacer Chadli ,33, M(CLR),FW,15(9),1455.0,1.0,3.0,1.4,1.3,1.0,6.7,0
292,Shane Long ,35, AM(R),FW,11(4),1039.0,3.0,1.0,1.7,0.7,0.4,6.68,0
297,Giorgos Karagounis ,45, AM(C),,6(8),657.0,0.0,0.0,0.6,0.9,0.6,6.67,0
