,name,age,position1,position2,Apps,Mins,Goals,Assists,SpG,KeyP,Drb,Rating,WC_Rating
0,Zlatan Ibrahimovic ,41, FW,,32(1),2774.0,26.0,11.0,4.9,2.1,0.8,7.79,0
7,James Rodríguez ,31, AM(CLR),FW,30(4),2644.0,9.0,12.0,2.7,2.5,1.3,7.44,0
14,Rémy Cabella ,32, M(CLR),FW,36(1),3206.0,14.0,5.0,2.7,2.2,1.2,7.36,0
22,André Ayew ,32, M(CLR),FW,24(1),2121.0,6.0,3.0,2.3,1.1,1.2,7.28,0
34,Lucas Moura ,30, AM(CLR),FW,18(18),1936.0,5.0,11.0,1.7,1.5,2.4,7.22,0
42,Ola Toivonen ,36, AM(C),FW,14(1),1234.0,7.0,1.0,1.9,1.2,0.3,7.18,0
44,Dimitar Berbatov ,41, AM(C),FW,9(3),767.0,6.0,4.0,1.8,1.2,0.1,7.17,0
46,Edinson Cavani ,35, AM(LR),FW,25(5),2299.0,16.0,2.0,3.2,0.8,0.6,7.16,0
47,Ryad Boudebouz Sochaux,32, M(CLR),FW,2,180.0,1.0,0.0,2.0,1.5,1.0,7.15,0
50,Alexandre Lacazette ,31, M(CLR),FW,35(1),2910.0,15.0,3.0,2.3,1.1,1.4,7.13,0
55,Benjamin Corgnet ,35, M(CLR),FW,23(5),1818.0,7.0,2.0,1.9,1.0,1.0,7.13,0
58,Romain Hamouma ,35, M(CLR),FW,29(5),2495.0,9.0,4.0,1.4,1.4,1.6,7.12,0
61,Jordan Ayew Sochaux,31, AM(CLR),FW,16(1),1367.0,5.0,1.0,2.0,1.5,2.2,7.11,0
65,Salomon Kalou ,37, AM(CLR),FW,36(2),3116.0,16.0,6.0,2.6,1.4,2.0,7.1,0
83,André-Pierre Gignac ,36, FW,,30(5),2723.0,16.0,3.0,3.2,1.0,1.1,7.06,0
91,Paul-Georges Ntep ,30, AM(LR),FW,7(3),652.0,5.0,0.0,1.1,0.8,2.2,7.05,0
102,Mevlüt Erdinç ,35, FW,,4,335.0,1.0,0.0,3.0,0.3,1.5,7.01,0
106,Max-Alain Gradel ,34, M(CLR),FW,10(8),978.0,5.0,5.0,1.7,1.3,1.3,7.0,0
115,Floyd Ayité ,33, M(CLR),FW,22(10),2020.0,5.0,4.0,1.8,1.7,1.6,6.98,0
118,Yannick Carrasco ,29, M(CLR),FW,14(4),1167.0,3.0,3.0,1.7,1.2,1.4,6.97,0
120,Dimitri Payet ,35, M(CLR),FW,30(6),2520.0,8.0,5.0,1.7,1.8,1.0,6.97,0
131,Henri Saivet ,32, M(CLR),FW,30(3),2721.0,6.0,6.0,1.8,1.2,0.8,6.95,0
140,Nolan Roux ,34, AM(LR),FW,29(1),2358.0,9.0,4.0,2.6,0.9,0.5,6.94,0
144,Radamel Falcao ,36, FW,,16(1),1394.0,9.0,0.0,2.9,0.5,0.8,6.93,0
146,Florian Thauvin ,29, M(CLR),FW,25(6),2096.0,8.0,3.0,2.6,1.0,1.5,6.92,0
157,Mevlüt Erdinç ,35, FW,,19(8),1670.0,11.0,2.0,2.6,0.8,0.4,6.89,0
158,Cheick Diabaté ,34, FW,,18(7),1692.0,12.0,0.0,2.6,0.6,0.3,6.89,0
160,Majeed Waris ,31, AM(LR),FW,16,1388.0,9.0,3.0,2.5,1.3,1.3,6.89,0
161,Vincent Aboubakar ,30, AM(R),FW,33(2),2928.0,16.0,7.0,2.5,1.1,1.2,6.88,0
162,Wissam Ben Yedder ,32, AM(C),FW,35(3),3013.0,16.0,5.0,2.3,1.0,0.4,6.88,0
172,Bafétimbi Gomis ,37, FW,,29(4),2462.0,14.0,1.0,2.6,0.5,0.6,6.86,0
179,Wahbi Khazri ,31, M(CLR),FW,26(6),2265.0,6.0,2.0,2.3,1.3,0.9,6.86,0
182,Serge Gakpé ,35, AM(LR),FW,32(4),2772.0,8.0,4.0,2.2,1.1,1.2,6.85,0
184,Nicolas Benezet ,31, AM(CLR),,18(11),1727.0,3.0,2.0,1.0,1.2,1.0,6.85,0
186,Yann Jouffre ,38, M(CR),FW,27(4),2348.0,6.0,7.0,1.8,1.6,0.5,6.85,0
203,Nicolas Maurice-Belay ,37, M(CL),FW,30(4),2551.0,3.0,4.0,0.9,1.4,1.5,6.83,0
204,Ryad Boudebouz ,32, M(CLR),FW,27(5),2481.0,3.0,6.0,1.5,2.0,1.0,6.83,0
210,Yohan Mollo ,33, M(CLR),FW,10(7),829.0,1.0,3.0,1.4,1.8,0.8,6.82,0
212,Éric Bauthéac ,35, AM(LR),,24(3),2135.0,4.0,2.0,1.6,1.1,1.1,6.82,0
218,Romain Alessandrini ,33, AM(CLR),FW,21(6),1859.0,6.0,5.0,2.1,1.1,0.7,6.8,0
219,Valère Germain ,32, AM(CLR),FW,14(9),1225.0,5.0,2.0,1.5,1.0,0.2,6.8,0
220,Claudio Beauvue ,34, AM(CLR),FW,29(7),2296.0,5.0,3.0,1.6,0.8,0.8,6.8,0
230,Ezequiel Lavezzi ,37, AM(CLR),FW,25(7),1893.0,9.0,0.0,1.4,1.1,0.7,6.78,0
231,Jérémie Aliadière ,39, FW,,24(3),2064.0,8.0,3.0,2.2,0.9,0.4,6.78,0
234,Filip Djordjevic ,35, FW,,27,2277.0,10.0,4.0,2.0,0.8,0.3,6.77,0
235,M'Baye Niang ,27, AM(LR),FW,17(2),1386.0,4.0,2.0,2.5,0.9,1.3,6.77,0
238,Túlio de Melo ,37, FW,,4(1),289.0,0.0,0.0,2.0,0.2,0.0,6.76,0
246,Nicolas de Préville ,31, AM(CLR),FW,24(8),2070.0,5.0,2.0,1.8,0.8,1.0,6.74,0
249,Karim Aït Fana ,33, AM(CL),,1(3),112.0,1.0,0.0,0.3,0.3,1.0,6.73,0
259,Odaïr Fortes ,35, AM(LR),,28(7),2547.0,4.0,4.0,0.9,1.1,1.6,6.71,0
265,Guillaume Hoarau ,38, FW,,9(6),925.0,3.0,0.0,2.1,0.5,0.2,6.7,0
267,Javier Pastore ,33, AM(CLR),,18(11),1580.0,1.0,3.0,1.2,1.0,0.6,6.7,0
270,Alejandro Bedoya ,35, M(CR),FW,24(7),2205.0,5.0,0.0,1.4,0.8,0.2,6.7,0
271,Jussiê ,39, M(C),FW,15(7),1341.0,9.0,1.0,1.1,0.8,0.4,6.7,0
272,Mustapha Yatabaré ,36, AM(R),FW,30(1),2672.0,11.0,3.0,2.8,1.0,0.4,6.7,0
274,Christian Brüls ,34, AM(CLR),,26(8),2180.0,1.0,5.0,1.1,1.3,1.3,6.68,0
279,Jean-Christophe Bahebeck ,29, AM(LR),FW,11(8),1124.0,2.0,1.0,1.9,0.8,0.7,6.67,0
280,Óscar Trejo ,34, M(CLR),FW,23(9),2073.0,2.0,1.0,1.1,1.0,1.4,6.67,0
281,Martin Braithwaite ,31, AM(CLR),FW,30(2),2609.0,7.0,6.0,1.9,0.8,0.8,6.67,0
282,Eduardo ,42, FW,,7(2),693.0,3.0,0.0,1.7,1.1,0.2,6.67,0
283,Anthony Martial ,26, AM(LR),FW,8(3),571.0,2.0,1.0,1.2,1.1,1.1,6.67,0
285,Diego Rolan ,29, AM(CLR),FW,13(5),1078.0,2.0,4.0,1.4,0.8,0.7,6.67,0
287,Emmanuel Rivière ,32, FW,,21(9),1755.0,10.0,2.0,1.7,0.8,0.3,6.67,0
