,name,age,position1,position2,Apps,Mins,Goals,Assists,SpG,KeyP,Drb,Rating,WC_Rating
5,Carlos Tevez ,38, AM(CL),FW,30(4),2605.0,19.0,7.0,3.7,1.7,1.5,7.62,0
11,Adel Taarabt ,33, M(CL),FW,12(2),1080.0,4.0,1.0,2.1,1.4,3.6,7.47,0
13,Alessandro Diamanti ,39, M(CR),FW,19,1688.0,5.0,2.0,4.3,2.6,2.6,7.43,0
15,Rodrigo Palacio ,40, AM(CLR),FW,36(1),3170.0,17.0,7.0,2.5,1.3,1.1,7.41,0
19,Giuseppe Rossi ,35, FW,,19(2),1527.0,16.0,3.0,3.1,1.2,0.9,7.38,0
21,Gervinho ,35, M(LR),FW,30(3),2730.0,9.0,10.0,1.9,1.5,2.3,7.35,0
29,Francesco Totti ,46, AM(CL),FW,20(6),1675.0,8.0,10.0,2.6,2.5,0.5,7.32,0
32,Juan Iturbe ,29, AM(LR),,29(4),2508.0,8.0,4.0,2.2,1.2,3.0,7.31,0
34,Mario Balotelli ,32, FW,,25(5),2294.0,14.0,6.0,5.1,1.1,1.9,7.31,0
38,Luca Toni ,45, FW,,34,3010.0,20.0,7.0,3.5,0.9,0.5,7.3,0
43,Alessio Cerci ,35, M(R),FW,35(2),3018.0,13.0,10.0,3.2,1.6,1.8,7.29,0
48,Nicola Sansone ,31, AM(LR),FW,10(2),913.0,4.0,3.0,2.9,0.8,2.3,7.27,0
60,Fernando Llorente ,37, FW,,29(5),2504.0,16.0,5.0,1.9,1.5,0.4,7.21,0
63,Dries Mertens ,35, AM(CLR),FW,21(12),1912.0,11.0,5.0,2.6,1.6,1.5,7.21,0
64,Pablo Barrientos ,37, AM(CLR),,27(1),2289.0,5.0,4.0,1.6,1.7,1.7,7.2,0
66,Ciro Immobile ,32, FW,,29(4),2591.0,22.0,3.0,3.1,1.0,1.3,7.2,0
67,José Callejón ,35, M(LR),FW,32(5),2851.0,15.0,6.0,1.6,1.3,0.6,7.2,0
69,Antonio Cassano ,40, AM(CL),FW,33(1),2677.0,12.0,6.0,1.7,2.7,1.1,7.19,0
77,Stefano Okaka ,33, FW,,9(4),866.0,5.0,3.0,1.2,1.2,1.8,7.17,0
84,Gonzalo Higuaín ,34, FW,,28(4),2423.0,17.0,7.0,2.8,0.8,1.2,7.14,0
89,Domenico Berardi ,28, AM(R),FW,26(3),2184.0,16.0,6.0,3.1,1.4,0.9,7.12,0
104,Mattia Destro ,31, FW,,14(6),1238.0,13.0,1.0,2.0,0.6,0.4,7.07,0
113,Emil Hallfredsson ,38, AM(C),,30(3),2469.0,2.0,3.0,1.1,1.2,0.9,7.04,0
114,Lorenzo Insigne ,31, AM(CL),FW,25(11),2394.0,3.0,6.0,2.3,1.6,1.2,7.04,0
120,Kaká ,40, M(CL),FW,27(3),2408.0,7.0,4.0,2.3,2.2,1.3,7.02,0
126,Manolo Gabbiadini ,30, AM(CLR),FW,32(2),2731.0,9.0,4.0,3.7,1.1,1.0,7.01,0
130,Marek Hamsik ,35, M(C),FW,23(5),1985.0,7.0,5.0,2.0,2.0,0.6,7.01,0
133,Adem Ljajic ,31, AM(CLR),FW,17(11),1621.0,6.0,5.0,1.9,1.3,1.4,7.01,0
153,Omar El Kaddouri ,32, AM(CL),,25(4),2113.0,5.0,7.0,1.1,1.4,1.1,6.98,0
155,Germán Denis ,41, FW,,36(1),3241.0,13.0,5.0,2.4,1.4,0.6,6.97,0
160,Jonathan Biabiany ,34, M(LR),FW,32(4),2746.0,6.0,5.0,1.4,0.9,1.6,6.97,0
162,Paulinho ,36, FW,,35,3144.0,15.0,3.0,2.8,1.3,1.2,6.96,0
171,Miroslav Klose ,44, FW,,22(3),2019.0,7.0,2.0,1.7,0.7,0.8,6.95,0
175,Roberto Pereyra ,31, M(CLR),FW,33(3),2950.0,2.0,6.0,0.5,1.6,2.2,6.95,0
180,Lazaros Christodoulopoulos ,35, AM(CLR),FW,20(7),1834.0,2.0,2.0,2.2,1.7,1.7,6.93,0
188,Éder ,35, AM(CLR),FW,30(3),2510.0,12.0,6.0,2.7,1.2,1.5,6.92,0
192,Lucas Castro ,33, AM(CLR),,23(6),1976.0,3.0,2.0,1.4,1.3,1.3,6.91,0
195,Antonio Di Natale ,45, FW,,29(3),2413.0,17.0,0.0,3.7,1.4,0.4,6.9,0
196,Keita Baldé ,27, AM(LR),FW,14(11),1371.0,5.0,3.0,2.0,1.0,1.5,6.9,0
199,Matías Fernández ,36, AM(C),,12(11),1309.0,3.0,3.0,1.4,1.1,1.2,6.89,0
210,Victor Ibarbo ,32, AM(LR),FW,20(10),2030.0,4.0,2.0,1.2,1.1,2.4,6.88,0
221,Roberto Soriano ,31, AM(CLR),,21(8),1935.0,5.0,1.0,1.6,1.3,0.9,6.86,0
240,Jaime Valdés ,41, AM(C),,5(1),454.0,0.0,0.0,0.8,0.3,1.3,6.82,0
244,Cyril Théréau ,39, AM(CL),FW,28(4),2371.0,7.0,1.0,1.8,1.3,1.1,6.82,0
248,Antonio Floro Flores ,39, AM(L),FW,17(12),1507.0,7.0,3.0,2.8,0.7,0.6,6.81,0
261,Juanito Gómez ,37, AM(LR),FW,14(15),1396.0,5.0,5.0,1.1,0.6,0.6,6.78,0
267,Amauri ,42, FW,,20(11),1792.0,8.0,0.0,2.5,0.5,0.6,6.77,0
271,Joaquín ,41, M(CLR),FW,15(11),1420.0,2.0,2.0,0.7,1.1,1.8,6.76,0
272,Stefano Mauri ,42, M(CLR),FW,8(4),694.0,4.0,2.0,1.6,0.9,0.2,6.75,0
288,Gonzalo Bergessio ,38, FW,,28(2),2430.0,10.0,3.0,2.8,1.0,0.4,6.73,0
290,Maximiliano Moralez ,35, M(CLR),FW,26(6),2321.0,5.0,6.0,1.1,1.6,0.7,6.73,0
293,Mauro Icardi ,29, FW,,12(10),1309.0,9.0,2.0,1.8,0.8,0.1,6.73,0
304,Mario Gomez ,37, FW,,5(4),498.0,3.0,1.0,1.4,0.3,0.2,6.72,0
306,Goran Pandev ,39, M(CR),FW,17(12),1387.0,7.0,4.0,0.9,1.0,0.7,6.71,0
310,Victor Obinna ,35, FW,,4(6),398.0,2.0,0.0,1.8,0.7,0.9,6.71,0
316,Josip Ilicic ,34, AM(CLR),FW,13(8),1108.0,3.0,1.0,1.9,1.0,0.9,6.71,0
318,Valter Birsa ,36, M(CLR),FW,10(5),756.0,2.0,0.0,1.5,1.2,1.0,6.7,0
