,name,age,position1,position2,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating
0,Franck Ribéry Bayern,39, AM(CL),FW,18(4),1643,10,2.5,53.9,83.8,1,2.8,0.2,8.28
1,Ricardo Rodríguez Wolfsburg,30, D(CL),M(L),34,3060,9,2.2,45.9,80.4,2.1,5.4,0.1,8.01
2,Robert Lewandowski Borussia Dortmund,34, FW,,31(2),2807,6,1.9,26.2,72.1,0.1,0.5,0.3,8.0
3,Roberto Firmino Hoffenheim,31, M(CLR),FW,33,2916,11,2.1,43.6,74.7,0.2,1.2,0.5,7.94
4,Marco Reus Borussia Dortmund,33, M(CLR),FW,26(4),2221,13,3,33.9,74.7,1.3,1.9,0.2,7.91
5,Raffael Borussia M.Gladbach,37, AM(CL),FW,34,2999,7,1.9,42.0,84.0,0.2,1.8,0.2,7.91
6,Thiago Bayern,31, M(C),,11(5),1004,4,1.3,73.6,91.6,0.3,6.8,0.1,7.9
7,Max Kruse Borussia M.Gladbach,34, M(CLR),FW,34,3021,9,2.9,44.5,82.4,1.9,3.8,0.2,7.88
8,Slobodan Rajkovic Hamburg,33, D(C),,2,158,-,-,39.5,78.5,-,3.0,-,7.88
9,Adrián Ramos Hertha Berlin,36, FW,,30(2),2665,5,1.5,29.8,73.7,0.1,1.4,0.1,7.75
10,Diego Wolfsburg,37, M(CLR),,15,1274,2,2.3,46.2,81.8,1.4,3.9,0.1,7.73
11,Mario Götze Bayern,30, M(CLR),FW,20(7),1830,8,1.4,44.0,87.9,0.2,0.9,0.2,7.72
12,Mats Hummels Borussia Dortmund,33, D(C),,23,1962,2,0.6,61.6,81.4,0.1,6.3,0.2,7.71
13,Kevin De Bruyne Wolfsburg,31, M(CLR),FW,16,1420,6,3.1,42.4,74.2,1.8,3.9,0.3,7.71
14,Stefan Kießling Leverkusen,38, FW,,30(2),2679,3,1.2,24.8,69.8,0.1,0.7,0.2,7.7
15,Jefferson Farfán Schalke,38, M(CR),FW,17(2),1524,5,2.4,36.5,80.1,2.1,1.0,0.1,7.7
16,Julian Draxler Schalke,29, AM(CLR),FW,25(1),2154,6,2.3,36.6,84.1,0.9,2.7,0.1,7.69
17,Arjen Robben Bayern,38, M(CLR),FW,20(8),1705,6,1.8,31.4,81.8,1.0,0.9,0.1,7.62
18,Henrikh Mkhitaryan Borussia Dortmund,33, M(CLR),FW,29(2),2454,10,1.6,36.5,76.7,0.4,1.8,0.4,7.59
19,David Alaba Bayern,30, D(CL),M(CL),26(2),2399,6,1.4,59.9,89.3,1.1,2.6,0.1,7.55
20,Pierre-Michel Lasogga Hamburg,30, FW,,18(2),1491,1,0.6,19.3,63.9,0.2,0.6,-,7.54
