,name,age,position1,position2,Apps,Mins,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Rating
0,James Rodríguez Bayern,31, AM(CLR),FW,19(4),1627,1.5,0.5,1.0,-,0.1,0.7,-,-,7.63
1,Daniel Caligiuri Schalke,34, D(R),M(CLR),32(1),2918,3.0,2.0,1.2,0.1,1.6,1.4,0.1,-,7.57
2,Robert Lewandowski Bayern,34, FW,,24(6),2169,0.2,0.2,1.2,-,0.3,0.1,-,-,7.49
3,Arturo Vidal Bayern,35, M(CR),,17(5),1461,3.1,1.3,2.0,-,0.6,1.6,-,-,7.49
4,Niklas Dorsch Bayern,24, DMC,,1,90,1.0,1.0,2.0,-,-,2.0,-,-,7.45
5,Ignacio Camacho Wolfsburg,32, D(C),M(C),11,953,2.5,3.7,1.3,0.7,3.6,1.3,0.5,-,7.42
6,Naldo Schalke,40, D(C),,34,3060,1.5,1.6,1.0,0.6,5.7,0.4,0.6,-,7.42
7,Serge Gnabry Hoffenheim,27, AM(CLR),FW,20(2),1507,1.5,0.4,0.9,-,0.2,0.5,-,-,7.41
8,Alexander Hack Mainz,29, D(C),,14(1),1288,3.1,1.7,0.7,0.2,5.5,0.9,1.2,-,7.41
9,Marco Reus Borussia Dortmund,33, M(CLR),FW,11,935,1.5,0.4,1.2,0.1,0.7,0.6,0.3,-,7.39
10,Thiago Bayern,31, M(C),,12(7),1243,2.4,1.4,1.3,-,0.3,0.6,0.2,-,7.36
11,Salif Sané Hannover,32, D(C),DMC,32,2880,1.8,1.8,1.1,0.8,7.3,0.8,0.9,-,7.34
12,Leon Bailey Leverkusen,25, M(CLR),FW,25(5),2223,0.5,0.5,0.9,-,0.2,0.2,-,-,7.32
13,Arjen Robben Bayern,38, M(CLR),FW,19(2),1518,0.7,0.2,0.5,-,0.1,0.4,-,-,7.31
14,Thomas Müller Bayern,33, M(CLR),FW,22(7),1966,1.2,0.2,0.7,-,0.4,0.5,-,-,7.28
15,Mats Hummels Bayern,33, D(C),,25(1),2213,2.4,2.1,0.7,0.4,2.2,0.6,0.5,-,7.27
16,Pierre-Emerick Aubameyang Borussia Dortmund,33, M(CLR),FW,16,1417,0.3,0.2,1.1,-,0.1,0.4,0.1,-,7.25
17,Naby Keïta RBL,27, M(C),,23(4),1962,2.4,1.3,1.9,-,0.6,1.0,0.1,-,7.24
18,Lars Stindl Borussia M.Gladbach,34, M(CLR),FW,31,2731,1.7,1.0,2.0,-,0.9,0.8,0.1,-,7.23
19,Joshua Kimmich Bayern,27, D(CR),DMC,26(3),2334,1.1,0.7,0.6,0.3,1.1,0.6,0.2,-,7.23
20,Sandro Wagner Hoffenheim,34, FW,,10(1),872,0.7,0.3,2.5,0.2,1.2,0.1,0.3,-,7.21
21,Benjamin Hübner Hoffenheim,33, D(C),,27,2319,2.6,1.9,1.7,0.5,3.7,0.6,0.7,-,7.2
22,Kingsley Coman Bayern,26, M(LR),FW,10(11),1149,0.5,0.3,0.3,-,-,0.2,-,-,7.2
23,Lars Bender Leverkusen,33, D(CR),M(CR),20(1),1603,3.0,1.3,0.5,-,1.7,0.9,0.3,-,7.2
24,Lukasz Piszczek Borussia Dortmund,37, D(CR),M(R),24,2140,2.1,1.8,0.9,0.3,2.5,0.9,0.5,-,7.19
25,Marc Bartra Borussia Dortmund,31, D(CR),DMC,9(3),806,2.3,2.3,0.8,1.1,3.1,0.8,0.2,-,7.16
26,Mario Gomez Stuttgart,37, FW,,16,1389,0.8,0.3,1.6,-,1,0.5,-,-,7.15
27,Caiuby Augsburg,34, AM(CL),FW,32(1),2859,1.6,0.5,2.1,-,1,0.8,-,-,7.15
28,Jérôme Boateng Bayern,34, D(CR),,19,1644,1.4,1.1,0.7,0.4,2.6,0.7,0.6,-,7.14
29,Maximilian Philipp Borussia Dortmund,28, AM(CLR),FW,15(5),1209,1.2,0.3,0.9,-,0.2,0.7,-,-,7.13
30,Marcel Sabitzer RBL,28, M(CLR),FW,21(1),1793,1.7,1.1,0.6,0.1,0.9,1.2,0.1,-,7.13
31,Ridle Baku Mainz,24, D(R),M(CR),3,234,1.0,1.0,1.7,-,0.7,0.3,-,-,7.12
32,Thilo Kehrer Schalke,26, D(CLR),M(R),27(1),2365,2.9,1.3,1.3,0.3,3.4,0.8,0.4,-,7.12
33,Alfred Finnbogason Augsburg,33, FW,,22,1826,0.8,0.6,1.5,0.1,0.3,0.3,-,-,7.11
34,Thorgan Hazard Borussia M.Gladbach,29, M(CLR),FW,33(1),2947,1.4,0.8,0.7,-,0.4,1.0,-,-,7.11
35,Nuri Sahin Borussia Dortmund,34, M(C),,14(4),1227,2.2,1.1,1.2,-,1.4,1.3,-,-,7.1
36,Javi Martínez Bayern,34, D(C),M(C),18(4),1612,1.4,1.5,0.7,0.1,1.7,0.5,0.2,-,7.1
37,Benjamin Pavard Stuttgart,26, D(CLR),M(R),34,3060,1.6,2.1,0.7,0.5,5.4,0.3,1,-,7.1
38,Marcel Halstenberg RBL,31, D(CL),M(L),14(1),1179,1.9,1.5,0.7,0.1,2.2,0.3,0.1,-,7.1
39,Bastian Oczipka Schalke,33, D(CL),M(L),26(3),2320,2.1,1.4,0.7,-,1.1,0.3,0.1,-,7.09
40,Philipp Max Augsburg,29, D(L),M(L),33,2960,2,1,0.8,0.1,1.8,0.8,0.2,-,7.09
41,Tom Starke Bayern,41, GK,,2,180,-,-,-,-,-,-,-,-,7.09
42,Ihlas Bebou Hannover,28, M(CLR),FW,20(10),2142,1.2,0.8,0.7,-,0.8,0.4,0.1,-,7.08
43,Omar Mascarell Eintracht Frankfurt,29, DMC,,8(1),770,2.2,2.3,1.9,0.1,1,0.9,0.1,-,7.08
44,Raffael Borussia M.Gladbach,37, AM(CL),FW,23(4),2083,1.5,0.3,0.6,-,0.1,0.7,-,-,7.08
45,Juan Bernat Bayern,29, D(L),M(CL),11,892,2.3,0.9,0.5,0.1,0.5,0.6,0.1,-,7.08
46,Michael Gregoritsch Augsburg,28, AM(CR),FW,30(2),2535,1.1,0.3,0.7,-,1.7,0.5,-,-,7.07
47,Lukas Mai Bayern,22, D(C),,2,180,2,1.5,1,1,1.5,0.5,1,-,7.07
48,Niclas Füllkrug Hannover,29, FW,,26(8),2389,0.5,0.2,1.8,-,0.9,0.3,0.1,-,7.06
49,Douglas Santos Hamburg,28, D(CL),DMC,26(1),2378,3.3,2.1,1.4,0.1,3,1.4,0.1,-,7.06
50,Thomas Delaney Werder Bremen,31, DMC,,31(1),2796,2.5,1.3,2.6,-,2.1,0.5,0.4,-,7.06
51,Dayot Upamecano RBL,24, D(C),,25(3),2265,2.0,2.0,1.1,1.1,4.9,0.5,0.3,-,7.05
52,Pirmin Schwegler Hannover,35, M(C),,27(2),2330,2.8,1.7,2.1,-,1.6,1.0,0.3,-,7.04
53,Jean-Philippe Gbamin Mainz,27, D(CR),DMC,29(1),2591,2.6,1.7,1.5,0.1,2.5,0.7,0.3,-,7.04
54,Marius Wolf Eintracht Frankfurt,27, D(R),M(CLR),27(1),2368,1.3,1.0,0.9,-,1.3,1.0,-,-,7.04
55,Willi Orbán RBL,30, D(C),,25(1),2127,1.9,1.1,1.0,1.4,5.8,0.5,0.7,-,7.04
56,Leon Goretzka Schalke,27, M(CR),,21(5),1983,1.9,1.6,1.3,-,1.2,1.4,0.2,-,7.03
57,Mark Uth Hoffenheim,31, AM(CR),FW,24(7),2177,1.0,0.3,1.6,-,0.5,0.5,0.1,-,7.03
58,Andrej Kramaric Hoffenheim,31, AM(CLR),FW,22(12),2222,0.2,0.2,0.3,-,0.2,0.1,-,-,7.02
59,Christian Pulisic Borussia Dortmund,24, M(CLR),FW,27(5),2313,1.4,0.5,0.5,-,0.2,0.6,0.1,-,7.02
60,Michy Batshuayi Borussia Dortmund,29, FW,,9(1),837,0.8,-,1.7,-,0.5,0.2,-,-,7.01
61,Alexander Meier Eintracht Frankfurt,39, M(C),FW,0(1),3,-,-,-,-,-,-,-,-,7.01
62,Ademola Lookman RBL,25, AM(CLR),FW,7(4),576,0.5,0.2,1.1,-,0.2,-,-,-,7.01
63,Jonas Hector FC Koln,32, D(L),M(CL),20,1761,2.4,1.4,1,0.1,2.5,1.1,0.3,-,7.0
64,Kai Havertz Leverkusen,23, M(CR),FW,22(8),2141,1.1,0.6,1,-,0.7,0.4,0.1,-,7.0
65,Jetro Willems Eintracht Frankfurt,28, D(L),DMC,19(4),1670,2.4,0.9,1,-,2,0.7,-,-,7.0
66,Franck Ribéry Bayern,39, AM(CL),FW,15(5),1210,1,0.4,0.6,-,0.1,0.2,-,-,7.0
67,Sven Bender Leverkusen,33, D(C),M(C),29,2350,1.8,1.7,0.7,0.5,4,0.3,0.7,-,7.0
68,Niklas Stark Hertha Berlin,27, D(C),DMC,25(1),2210,1.9,1.3,1,0.6,6.1,0.3,0.5,1,7.0
69,Davie Selke Hertha Berlin,27, FW,,19(8),1888,0.5,0.1,2.2,-,0.7,0.2,0.2,-,7.0
70,Kevin Volland Leverkusen,30, AM(CLR),FW,30(1),2599,0.7,0.1,1.9,-,1.0,0.5,-,-,6.99
71,Waldemar Anton Hannover,26, D(CR),DMC,26(1),2278,2.4,1.4,0.7,0.4,3.8,0.9,1,-,6.99
72,Corentin Tolisso Bayern,28, D(R),M(CR),17(9),1529,1.3,0.6,0.8,-,0.3,0.7,0.1,-,6.99
73,Kerem Demirbay Hoffenheim,29, M(C),,13(6),1211,2.0,0.7,1.5,-,0.8,0.8,0.2,-,6.99
74,Christian Gentner Stuttgart,37, M(CLR),,27,2412,3.4,1.3,2.1,-,1.6,1.5,0.2,-,6.99
75,Timo Baumgartl Stuttgart,26, D(C),,29,2610,3.0,1.2,1.4,0.6,4.0,0.7,0.7,-,6.98
76,Mitchell Weiser Hertha Berlin,28, D(R),M(R),23(1),1983,2.3,1.8,1.4,0.2,1.2,0.9,-,-,6.98
77,Florian Grillitsch Hoffenheim,27, D(C),M(CL),21(4),1895,2.7,1.6,1.2,-,0.9,0.9,0.1,-,6.98
78,Charles Aránguiz Leverkusen,33, M(C),,27,2307,2.8,1.8,1.5,0.1,0.9,1.1,0.2,-,6.98
79,Julian Brandt Leverkusen,26, M(CLR),FW,26(8),2337,0.7,0.5,0.4,-,0.3,0.5,-,-,6.98
80,Max Kruse Werder Bremen,34, M(CLR),FW,28(1),2455,0.6,0.4,0.5,-,0.1,0.6,-,-,6.97
81,Ante Rebic Eintracht Frankfurt,29, AM(CLR),FW,21(4),1764,1.5,0.2,2.2,-,0.5,0.7,0.1,-,6.96
82,Sandro Wagner Bayern,34, FW,,8(6),722,0.6,0.1,1.6,-,0.1,-,-,-,6.96
83,Sébastien Haller Eintracht Frankfurt,28, FW,,26(5),2352,0.8,0.3,1.8,-,1.2,0.2,0.1,-,6.96
84,Daniel Opare Augsburg,32, D(LR),M(R),17,1419,1.8,1.6,1.2,0.1,2.9,0.4,0.3,-,6.96
85,Benjamin Stambouli Schalke,32, D(CR),M(C),24(4),2195,3.4,2.3,1.6,0.2,2.5,0.9,0.3,1,6.96
86,Mathew Leckie Hertha Berlin,31, M(CLR),,19(7),1854,1.3,0.7,1.7,-,1.0,0.6,0.1,-,6.96
87,Christoph Kramer Borussia M.Gladbach,31, M(C),,26(1),2162,3.3,1.6,1.7,0.1,1.3,1.4,0.1,-,6.96
88,Emiliano Insúa Stuttgart,33, D(CL),M(L),24(1),2107,1.8,1.4,0.9,-,1.5,0.6,0.2,-,6.95
89,Felipe Hannover,35, D(C),,6,458,1.3,1.8,1.5,-,4.3,0.3,0.5,-,6.95
90,John Brooks Wolfsburg,29, D(C),,9,729,2.2,1.1,1,0.8,4.8,0.7,0.6,-,6.95
91,Dominic Maroh FC Koln,35, D(C),,10(1),914,2,1.9,0.5,0.5,6.1,0.3,0.8,-,6.95
92,Nils Petersen Freiburg,33, FW,,24(8),2240,0.8,0.5,0.5,-,1,0.5,0.1,-,6.95
93,David Alaba Bayern,30, D(CL),M(CL),17(6),1551,1,0.4,0.4,0.1,0.8,0.3,0.3,-,6.95
94,Jonathan Tah Leverkusen,26, D(C),,27(1),2427,1.7,1.2,0.5,0.5,3.9,0.3,0.5,-,6.95
95,Danny Latza Mainz,32, M(C),,27(2),2356,2.3,0.9,1.8,-,1.4,1.4,0.3,-,6.95
96,Lucas Alario Leverkusen,30, FW,,17(6),1546,0.7,0.2,1.7,0.1,0.6,0.2,0.2,-,6.95
97,Erik Thommy Stuttgart,28, M(CLR),,14,993,1.4,0.6,0.9,-,0.3,0.6,0.1,-,6.94
98,Abdou Diallo Mainz,26, D(CL),,27,2416,2.8,1.9,2.2,0.3,2.4,0.4,0.5,-,6.94
99,Marco Friedl Bayern,24, D(CL),M(L),0(1),45,-,1.0,-,-,-,-,-,-,6.94
100,Admir Mehmedi Leverkusen,31, M(CLR),FW,8(4),701,1.7,1.1,1.8,-,0.1,0.8,-,-,6.94
101,David Abraham Eintracht Frankfurt,36, D(C),,27,2304,1.5,1.5,0.4,1.2,5.0,0.3,0.6,1,6.94
102,Jannik Vestergaard Borussia M.Gladbach,30, D(C),,32,2880,1.8,1.3,0.8,0.7,5.0,0.5,1.2,1,6.93
103,Timo Hübers Hannover,26, D(C),,5,450,2.2,1.8,1.8,0.4,5.4,1.2,1.6,-,6.93
104,Kyriakos Papadopoulos Hamburg,30, D(C),,29,2610,2.1,1.5,1.2,0.8,6.0,1.0,1.2,-,6.93
105,Ömer Toprak Borussia Dortmund,33, D(C),,22(4),2018,1.4,0.8,0.8,1.1,3.8,0.1,0.6,-,6.93
106,Josuha Guilavogui Wolfsburg,32, D(C),M(C),27(2),2407,2.2,2.3,1.5,-,2.1,0.7,0.3,1,6.93
107,Pavel Kaderábek Hoffenheim,30, D(R),M(LR),24(4),2197,1.6,1.2,1.3,0.2,1.4,0.9,0.3,-,6.92
108,Sokratis Papastathopoulos Borussia Dortmund,34, D(CR),,28(2),2376,2.2,1.0,1.3,1,3.5,0.3,0.4,-,6.92
