,name,age,position1,position2,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating
0,Robert Lewandowski Bayern,34, FW,,34,2952,3,1.1,21.6,77.4,0.1,0.4,0.1,7.89
1,Christopher Nkunku RBL,24, M(CLR),FW,31(3),2735,13,1.9,28.2,81.8,0.6,0.6,0.2,7.64
2,Joshua Kimmich Bayern,27, D(CR),DMC,28,2478,11,2.9,84.2,88.0,2.4,5,0.3,7.6
3,Stefanos Kapino Arminia Bielefeld,28, GK,,1,90,-,-,28.0,64.3,-,7,-,7.58
4,Erling Haaland Borussia Dortmund,22, FW,,21(3),1915,7,1,19.2,71.3,-,-,0.1,7.55
5,Patrik Schick Leverkusen,26, AM(R),FW,26(1),2094,3,0.6,15.1,68.9,-,0.2,-,7.45
6,Florian Wirtz Leverkusen,19, AM(C),,22(2),1864,10,2.5,33.8,78.7,0.6,1.3,0.5,7.41
7,Nico Schlotterbeck Freiburg,22, D(C),,32,2789,1,0.4,53.9,80.6,-,4.5,0.1,7.39
8,Thomas Müller Bayern,32, M(CLR),FW,32,2578,18,2.6,42.9,77.0,0.6,0.8,0.2,7.34
9,Alphonso Davies Bayern,21, D(L),M(LR),20(2),1744,3,1.5,51.4,84.3,0.4,0.9,0.2,7.31
10,Jonas Wind Wolfsburg,23, AM(C),FW,14,1187,2,1.1,26.4,66.1,-,0.6,0.3,7.31
11,Serge Gnabry Bayern,27, AM(CLR),FW,25(9),2192,5,1.4,35.8,82.0,0.5,0.8,0.2,7.3
12,Marco Reus Borussia Dortmund,33, M(CLR),FW,29,2514,12,1.8,41.0,82.8,0.5,1.2,0.1,7.25
13,Jonas Hofmann Borussia M.Gladbach,30, M(CLR),,24(2),2082,5,2.7,42.0,81.8,1.8,1.5,0.1,7.2
14,Moussa Diaby Leverkusen,23, M(CLR),,32,2773,12,1.9,28.2,77.2,0.7,0.9,0.2,7.2
15,Leroy Sané Bayern,26, M(CLR),FW,22(10),1982,7,1.6,29.5,84.1,0.5,0.7,0.1,7.17
16,David Raum Hoffenheim,24, D(L),M(LR),31(1),2762,11,2.6,43.5,79.5,3,2.0,-,7.16
17,Kingsley Coman Bayern,26, M(LR),FW,16(5),1369,2,1.1,28.8,84.1,1,1.1,0.1,7.13
18,Jude Bellingham Borussia Dortmund,19, M(CLR),,32,2795,8,1.2,46.4,83.7,0.1,2.0,0.2,7.12
19,Julian Brandt Borussia Dortmund,26, M(CLR),FW,22(9),2083,8,1.4,38.1,82.6,1.2,1.2,0.1,7.12
20,Tom Rothe Borussia Dortmund,17, Defender,,1(1),94,-,0.5,20.0,80.0,-,0.5,-,7.12
21,Filip Kostic Eintracht Frankfurt,29, M(LR),FW,28(3),2525,9,2.8,33.1,69.7,3.3,1.9,-,7.11
22,Anthony Modeste FC Koln,34, FW,,31(1),2620,3,0.6,13.7,65.7,0.1,0.4,-,7.11
23,Diant Ramaj Eintracht Frankfurt,20, Goalkeeper,,1,90,-,-,35.0,68.6,-,5.0,-,7.11
24,Vincenzo Grifo Freiburg,29, AM(CL),,33(1),2792,7,1.9,36.5,79.4,1.5,2.3,0.1,7.1
25,Nicolas Höfler Freiburg,32, D(C),DMC,30,2604,4,0.6,39.3,83.7,-,1.4,-,7.09
26,Leon Goretzka Bayern,27, M(CR),,19,1407,3,1.5,43.8,83.9,0.2,1.5,-,7.08
27,Lucas Höler Freiburg,28, AM(CLR),FW,30(4),2598,2,1.2,26.0,68.4,0.2,0.3,0.1,7.08
28,Sasa Kalajdzic Stuttgart,25, FW,,13(2),1221,1,1.5,24.4,69.4,-,0.8,-,7.08
29,Evan Ndicka Eintracht Frankfurt,23, D(CL),,32,2858,4,0.3,57.9,84.2,0.1,2.1,-,7.06
30,Danilo Soares Bochum,30, D(L),M(L),30,2568,1,0.6,42.2,75.8,0.3,2.6,-,7.06
31,Timo Hübers FC Koln,26, D(C),,20,1742,-,-,62.8,82.9,-,3.9,-,7.06
32,Willi Orbán RBL,29, D(C),,30,2646,1,0.2,67.8,89.2,-,2.1,-,7.06
33,Konstantinos Mavropanos Stuttgart,24, D(C),,31,2711,-,0.3,54.5,80.1,-,6.1,-,7.05
34,Josko Gvardiol RBL,20, D(CL),,28(1),2413,2,0.4,70.6,84.0,0.1,3.4,0.3,7.04
35,Max Kruse Union Berlin,34, M(CLR),FW,16,1283,4,1.7,27.4,74.3,0.9,1.6,0.4,7.03
36,Jeremiah St. Juste Mainz,25, D(CR),DMC,7(1),605,-,0.4,36.3,78.3,0.1,3.4,-,7.03
37,Borna Sosa Stuttgart,24, D(L),M(L),28,2500,8,2.2,46.1,77.9,2.5,1.9,-,7.02
38,Lennart Grill Leverkusen,23, GK,,1,90,-,-,40.0,67.5,-,7.0,-,7.01
39,Mark Uth FC Koln,31, AM(CR),FW,24(6),2041,8,1.8,20.7,75.6,1.4,1.4,0.1,7.0
40,Manu Koné Borussia M.Gladbach,21, DMC,,25(1),2107,-,0.5,43.9,85.5,-,0.9,-,6.99
41,Maximilian Arnold Wolfsburg,28, M(CR),,34,2996,2,1.7,49.1,83.2,1.7,5.0,0.1,6.99
42,Ellyes Skhiri FC Koln,27, DMC,,20(2),1820,1,0.7,43.0,84.6,-,2.2,-,6.98
43,Kerem Demirbay Leverkusen,29, M(C),,23(6),2053,4,1.6,43.0,81.6,1.5,4.0,0.1,6.98
44,Dayot Upamecano Bayern,23, D(C),,25(3),2210,6,0.4,80.7,90.1,-,5.2,0.1,6.98
45,Alexander Hack Mainz,28, D(C),,24(4),2078,1,0.4,40.0,79.3,-,3.3,-,6.97
46,Jonas Hector FC Koln,32, D(L),M(CL),30,2556,6,1.2,44.1,77.7,0.5,3.2,-,6.97
47,Christopher Trimmel Union Berlin,35, D(CR),M(R),23(2),1996,-,1.2,31.0,68.1,1.4,1.7,0.1,6.97
48,Benjamin Hübner Hoffenheim,33, D(C),,5,378,-,-,54.4,84.6,-,3.0,-,6.96
49,Anthony Losilla Bochum,36, D(C),DMC,32,2847,-,0.5,38.8,76.9,0.1,3.0,-,6.96
50,Angeliño RBL,25, D(L),M(L),26(3),2299,5,1.8,38.4,76.7,2,2.0,-,6.95
