,name,age,position1,position2,Apps,Mins,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Rating
0,Philippe Coutinho Liverpool,30, M(CLR),,13(1),1116,1.2,0.7,0.4,-,0.1,1.3,-,-,8.03
1,Sergio Agüero Man City,34, AM(CL),FW,22(3),1969,0.4,0.2,0.4,-,0.1,0.6,-,-,7.81
2,Alex Oxlade Chamberlain Arsenal,29, M(CLR),,3,242,1.7,2.0,0.3,-,2,0.3,0.7,-,7.81
3,Kevin De Bruyne Man City,31, M(CLR),FW,36(1),3085,1.7,0.7,0.8,-,0.3,1.5,0.1,-,7.8
4,Henri Saivet Newcastle,32, M(CLR),FW,1,84,5.0,4.0,-,-,8,3.0,-,-,7.7
5,Mohamed Salah Liverpool,30, AM(CLR),FW,34(2),2922,0.3,0.1,0.4,-,0.1,0.6,-,-,7.69
6,Eden Hazard Chelsea,31, M(CLR),FW,28(6),2433,0.2,0.1,0.4,-,-,0.5,-,-,7.69
7,Harry Kane Tottenham,29, AM(C),FW,35(2),3083,0.5,0.1,0.9,-,0.5,0.3,0.1,-,7.6
8,David Silva Man City,36, M(CLR),FW,28(1),2437,1.1,0.6,0.7,-,0.2,1.2,0.2,-,7.58
9,Alexis Sánchez Man Utd,33, M(CLR),FW,12,1048,1.8,1.4,0.8,-,-,1.9,-,-,7.55
10,Raheem Sterling Man City,27, M(CLR),FW,29(4),2593,0.6,0.3,1.2,-,0.2,0.9,-,-,7.55
11,Leroy Sané Man City,26, M(CLR),FW,27(5),2423,0.8,0.4,0.8,-,0.2,0.4,-,-,7.54
12,Paulo Gazzaniga Tottenham,30, GK,,1,90,-,-,-,-,1.0,1.0,-,-,7.52
13,Aaron Wan-Bissaka Crystal Palace,24, D(R),M(R),7,628,4.1,2.1,0.3,0.1,4.9,0.6,1,-,7.52
14,Paul Pogba Man Utd,29, M(CL),,25(2),2151,1.2,0.8,1.6,-,0.9,1.0,-,-,7.48
15,Fernandinho Man City,37, D(CR),DMC,33(1),2885,1.8,1.4,1.2,0.1,1.9,1.2,0.2,-,7.44
16,Jérémy Pied Southampton,33, D(LR),M(CLR),2,180,4.5,4,0.5,-,2.0,1.5,1,-,7.41
17,Christian Eriksen Tottenham,30, M(CLR),FW,37,3226,1.4,0.8,0.4,-,0.5,1.1,-,-,7.4
18,Roberto Firmino Liverpool,31, M(CLR),FW,32(5),2778,1.8,0.5,1.5,0.1,0.2,1.4,0.1,-,7.39
19,Shkodran Mustafi Arsenal,30, D(CR),,25(2),2274,2.4,2.1,1,0.7,6.3,1.0,0.6,-,7.38
20,Wilfried Zaha Crystal Palace,29, AM(LR),FW,28(1),2551,1,0.2,1.6,-,-,0.7,-,-,7.38
21,Virgil van Dijk Liverpool,31, D(C),,14,1260,1.1,1.3,0.6,0.5,5.6,0.1,0.1,-,7.35
22,Henrikh Mkhitaryan Arsenal,33, M(CLR),FW,9(2),797,1.6,0.7,1.1,-,0.4,1.5,0.2,-,7.35
23,Sergio Romero Man Utd,35, GK,,1,90,-,-,-,-,-,-,-,-,7.34
24,Alexis Sánchez Arsenal,33, M(CLR),FW,17(2),1508,1.1,0.3,1.1,-,-,1.3,0.1,-,7.33
25,Pierre-Emerick Aubameyang Arsenal,33, M(CLR),FW,12(1),1058,0.4,0.2,0.1,-,0.5,0.5,0.1,-,7.33
26,James Tomkins Crystal Palace,33, D(CR),,27(1),2388,1.7,2.3,0.7,0.5,7.6,0.5,0.4,-,7.31
27,Romelu Lukaku Man Utd,29, AM(R),FW,33(1),2869,0.2,0.1,0.9,-,0.6,0.4,0.1,-,7.29
28,Riyad Mahrez Leicester,31, AM(CLR),FW,34(2),2961,1.1,0.5,0.6,-,0.3,1.5,-,-,7.28
29,Sèrge Aurier Tottenham,29, D(CLR),M(R),16(1),1429,2.8,1.8,1.2,0.4,2.8,1.2,0.1,-,7.28
30,Emre Can Liverpool,28, D(CLR),DMC,24(2),2094,2.6,1.1,1.0,-,1.2,1.0,0.2,-,7.28
31,Kyle Walker-Peters Tottenham,25, D(LR),M(R),2(1),188,1.7,1.0,0.3,-,2.0,0.7,-,-,7.28
32,Sadio Mané Liverpool,30, AM(CLR),FW,28(1),2207,1.0,0.3,0.8,0.1,0.2,0.7,-,-,7.27
33,Aaron Ramsey Arsenal,31, M(CLR),,21(3),1848,1.5,1.0,1.2,-,0.3,1.5,0.1,-,7.27
34,Jan Vertonghen Tottenham,35, D(CL),,36,3205,1.8,1.7,0.6,0.8,4.7,0.3,0.3,-,7.26
35,Mesut Özil Arsenal,34, M(CLR),,24(2),2164,0.8,0.5,0.7,-,0.2,0.7,-,-,7.25
36,N'Golo Kanté Chelsea,31, DMC,,34,2998,3.3,2.5,1.2,-,0.8,1.7,0.1,-,7.25
37,Chris Smalling Man Utd,32, D(CR),,28(1),2536,1.4,2.2,0.8,0.2,5.5,0.4,1,-,7.24
38,James Tarkowski Burnley,29, D(C),,31,2790,1.5,1.6,0.8,0.7,7.1,0.7,1.4,-,7.22
39,Phil Jones Man Utd,30, D(CR),DMC,23,1975,1.1,1.8,0.4,0.4,5.6,0.5,0.7,1,7.21
40,Nemanja Matic Man Utd,34, DMC,,35(1),3119,1.9,1.8,0.9,0.1,1.6,1.3,0.4,-,7.2
41,César Azpilicueta Chelsea,33, D(CLR),M(R),37,3330,2.2,1.5,0.7,0.4,3.2,0.7,0.6,1,7.18
42,Shane Duffy Brighton,30, D(C),,37,3294,0.8,1.4,0.9,0.4,8.8,0.4,1.6,-,7.18
43,Kevin Long Burnley,32, D(C),,16,1440,2.0,1.2,0.9,0.5,7.9,0.6,0.9,1,7.16
44,Fabian Delph Man City,32, D(L),M(CL),21(1),1746,2.1,1.4,0.7,0.3,1.6,0.9,-,-,7.16
45,Wilfred Ndidi Leicester,25, D(C),DMC,33,2899,4.2,1.5,1.8,-,2.9,2.2,0.3,-,7.14
46,Nicolás Otamendi Man City,34, D(C),,33(1),2968,1.7,1.4,0.8,0.9,3.6,0.7,0.3,1,7.13
47,Marcos Alonso Chelsea,31, D(CL),M(L),33,2860,1.5,1.4,0.8,0.1,1.8,0.6,0.2,-,7.13
48,Nacho Monreal Arsenal,36, D(CL),M(L),26(2),2244,1.9,2.0,0.7,0.2,2.6,1.0,0.3,-,7.13
49,Theo Walcott Everton,33, M(CLR),FW,13(1),1153,1.9,0.6,0.4,-,0.8,0.6,-,-,7.13
50,Ben Mee Burnley,33, D(CL),,29,2610,1.1,1.1,0.5,0.3,7.2,0.4,1.4,-,7.12
51,Kurt Zouma Stoke,28, D(CR),,32(2),2888,1.5,1.8,0.6,0.6,6.8,0.2,0.7,-,7.12
52,Ashley Young Man Utd,37, D(LR),M(LR),28(2),2448,1.8,1.9,1.0,0.2,2.4,1.0,0.2,-,7.12
53,Andros Townsend Crystal Palace,31, AM(LR),FW,35(1),3129,1.7,1.0,0.3,-,0.6,1.4,-,-,7.11
54,Oleksandr Zinchenko Man City,25, D(L),M(CLR),6(2),533,2.9,0.8,0.9,0.1,0.9,0.8,-,-,7.11
55,Joe Gomez Liverpool,25, D(CLR),,21(2),1901,2.5,1.5,0.7,0.2,2.1,0.8,0.3,-,7.11
56,Christopher Schindler Huddersfield,32, D(C),,37,3266,2.2,2.0,0.8,0.7,7.2,0.5,0.8,-,7.11
57,Robbie Brady Burnley,30, D(L),M(CLR),15,1279,2.1,0.5,1.3,-,1.7,1.3,0.2,-,7.1
58,Alexander Sørloth Crystal Palace,26, AM(R),FW,4,360,1.5,0.5,1.5,0.3,1.3,2.0,-,-,7.1
59,Cesc Fàbregas Chelsea,35, M(CL),FW,25(7),2309,2.1,0.7,0.8,-,0.7,1.6,0.1,-,7.1
60,Virgil van Dijk Southampton,31, D(C),,11(1),993,0.8,2.4,0.5,0.1,6.5,0.1,1.1,-,7.1
61,Ryan Shawcross Stoke,35, D(C),,27,2372,1.3,1.4,1.0,0.6,8.0,0.4,0.9,1,7.09
62,Aymeric Laporte Man City,28, D(CL),,9,807,0.9,1.2,1.1,0.9,2.9,0.6,0.1,-,7.09
63,Dele Alli Tottenham,26, M(CL),FW,34(2),2972,1.3,0.5,1.2,-,0.5,0.7,0.2,-,7.09
64,Alexandre Lacazette Arsenal,31, M(CLR),FW,26(6),2212,0.8,0.2,0.9,-,0.1,0.7,0.1,-,7.09
65,Ben Davies Tottenham,29, D(CL),M(L),26(3),2325,1.6,1.0,0.8,0.2,2.1,0.8,0.2,-,7.08
66,Ruben Loftus-Cheek Crystal Palace,26, M(CLR),,21(3),1875,0.9,0.9,0.7,-,1.1,1.0,0.1,-,7.08
67,Laurent Koscielny Arsenal,37, D(C),,25,2227,1.7,2.2,0.6,0.7,5.4,0.6,0.6,-,7.08
68,Harry Maguire Leicester,29, D(C),,38,3420,1.7,1.3,0.9,0.6,4.6,0.4,0.7,-,7.08
69,Marko Arnautovic West Ham,33, AM(CLR),FW,28(3),2323,0.7,0.4,1.1,-,1.0,0.4,0.1,-,7.07
70,Antonio Valencia Man Utd,37, D(R),M(R),31,2743,1.8,1.5,1.2,0.1,1.9,0.6,0.2,-,7.07
71,Lasse Sørensen Stoke,23, DMC,,1,76,2.0,-,2.0,-,3.0,4.0,-,-,7.06
72,Florian Lejeune Newcastle,31, D(C),,24,2104,1.4,1.9,0.7,0.7,6.1,0.7,0.6,-,7.05
73,Kyle Walker Man City,32, D(CR),M(R),32,2787,1.5,0.9,0.5,0.5,2.1,0.4,0.1,1,7.05
74,Gabriel Jesus Man City,25, AM(LR),FW,19(10),1673,0.8,0.3,1.0,-,0.2,0.7,-,-,7.05
75,Manuel Lanzini West Ham,29, M(CLR),,23(4),2049,0.7,1.1,0.3,-,0.2,1.2,-,-,7.04
76,Jamaal Lascelles Newcastle,28, D(C),,32(1),2928,0.9,0.8,0.5,0.5,7.0,0.2,0.7,-,7.04
77,Vincent Kompany Man City,36, D(C),,17,1397,1.2,0.9,1.1,0.5,4.2,0.4,0.5,-,7.04
78,Kieran Trippier Tottenham,32, D(LR),M(R),21(3),1914,2.2,0.8,0.8,0.5,1.9,1.0,0.3,-,7.04
79,Eric Bailly Man Utd,28, D(CR),,11(2),1000,1.3,1.9,0.8,0.6,4.3,0.5,0.5,1,7.03
80,Arthur Masuaku West Ham,29, D(L),M(L),21(6),1873,2.1,1.0,1.1,-,1.2,1.2,0.1,-,7.02
81,Lewis Dunk Brighton,30, D(C),,38,3420,1.7,1.9,0.9,0.4,5.9,0.6,1.5,4,7.02
82,Jóhann Gudmundsson Burnley,32, AM(CLR),,32(3),2840,1.2,1.0,0.5,-,0.9,0.8,-,-,7.02
83,Andrew Robertson Liverpool,28, D(L),M(L),22,1943,1.4,1.2,0.7,0.1,2.2,0.6,0.1,-,7.02
84,Craig Dawson West Brom,32, D(CR),,28,2509,1.4,1.9,1.3,0.2,4.7,0.8,0.9,-,7.02
85,Terence Kongolo Huddersfield,28, D(CL),,11(2),1047,2.5,2.5,0.4,0.5,4.9,0.6,0.5,-,7.02
86,Granit Xhaka Arsenal,30, D(L),M(C),37(1),3266,2.1,1.0,1.5,0.1,1.7,1.1,0.2,-,7.02
87,Badou Ndiaye Stoke,32, M(C),,13,1140,4.1,1.0,1.8,-,1.3,1.9,0.8,-,7.02
88,Trent Alexander-Arnold Liverpool,24, D(R),M(R),18(1),1576,1.9,1.5,0.6,0.4,2.1,0.7,0.3,-,7.02
89,Luka Milivojevic Crystal Palace,31, DMC,,35(1),3082,2.4,2.0,1.9,-,2.1,1.5,0.3,-,7.01
90,Willian Chelsea,34, AM(CLR),,20(16),1883,0.6,0.3,0.3,-,0.3,0.4,-,-,7.01
91,Abdoulaye Doucouré Watford,29, M(C),,37,3325,2.1,1.5,1.2,-,1.5,1.4,0.3,-,7.0
92,Dejan Lovren Liverpool,33, D(C),,24(5),2125,0.9,1.3,0.5,0.9,4.9,0.3,0.5,-,6.99
93,Son Heung-Min Tottenham,30, M(CLR),FW,27(10),2312,0.5,0.3,0.4,-,0.2,0.7,-,-,6.99
