,name,age,position1,position2,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating
0,Philippe Coutinho Liverpool,30, M(CLR),,13(1),1116,6,2.9,49.3,78.8,1.4,2.7,0.4,8.03
1,Sergio Agüero Man City,34, AM(CL),FW,22(3),1969,6,1.6,25.1,82.8,0.2,0.2,0.1,7.81
2,Alex Oxlade Chamberlain Arsenal,29, M(CLR),,3,242,-,1.7,41.0,84.6,1.3,3.3,-,7.81
3,Kevin De Bruyne Man City,31, M(CLR),FW,36(1),3085,16,2.9,72.8,83.4,1.6,3.5,0.4,7.8
4,Henri Saivet Newcastle,32, M(CLR),FW,1,84,-,-,24.0,62.5,-,-,-,7.7
5,Mohamed Salah Liverpool,30, AM(CLR),FW,34(2),2922,10,1.7,26.3,76.7,0.8,0.5,0.1,7.69
6,Eden Hazard Chelsea,31, M(CLR),FW,28(6),2433,4,2.5,40.3,83.6,0.4,3,0.1,7.69
7,Harry Kane Tottenham,29, AM(C),FW,35(2),3083,2,0.9,17.8,71.2,0.1,1.6,0.2,7.6
8,David Silva Man City,36, M(CLR),FW,28(1),2437,11,2.1,83.8,88.9,0.6,1.5,0.2,7.58
9,Alexis Sánchez Man Utd,33, M(CLR),FW,12,1048,3,2.2,48.5,76.1,0.7,1.9,0.3,7.55
10,Raheem Sterling Man City,27, M(CLR),FW,29(4),2593,11,1.7,35.5,84.0,0.2,0.2,0.2,7.55
11,Leroy Sané Man City,26, M(CLR),FW,27(5),2423,15,1.8,34.1,84.2,0.7,0.4,0.1,7.54
12,Paulo Gazzaniga Tottenham,30, GK,,1,90,-,-,22.0,77.3,-,7.0,-,7.52
13,Aaron Wan-Bissaka Crystal Palace,24, D(R),M(R),7,628,-,0.4,29.0,72.9,0.6,0.7,-,7.52
14,Paul Pogba Man Utd,29, M(CL),,25(2),2151,10,1.4,63.7,85.3,0.1,4.1,0.2,7.48
15,Fernandinho Man City,37, D(CR),DMC,33(1),2885,3,0.6,87.5,90.1,-,3.1,0.3,7.44
16,Jérémy Pied Southampton,33, D(LR),M(CLR),2,180,1,1,48.0,77.1,0.5,1.5,-,7.41
17,Christian Eriksen Tottenham,30, M(CLR),FW,37,3226,10,2.6,61.0,82.4,1.4,3.6,0.2,7.4
18,Roberto Firmino Liverpool,31, M(CLR),FW,32(5),2778,7,1.5,31.6,72.6,0.1,0.4,0.2,7.39
19,Shkodran Mustafi Arsenal,30, D(CR),,25(2),2274,1,0.3,64.2,86.2,0.1,2.7,-,7.38
20,Wilfried Zaha Crystal Palace,29, AM(LR),FW,28(1),2551,3,1.8,21.5,75.3,0.5,0.3,0.1,7.38
21,Virgil van Dijk Liverpool,31, D(C),,14,1260,-,0.4,81.2,89.8,-,5.0,0.1,7.35
22,Henrikh Mkhitaryan Arsenal,33, M(CLR),FW,9(2),797,4,1.5,40.8,77.7,0.5,0.8,0.4,7.35
23,Sergio Romero Man Utd,35, GK,,1,90,-,-,20.0,60.0,-,6.0,-,7.34
24,Alexis Sánchez Arsenal,33, M(CLR),FW,17(2),1508,3,2.7,45.9,72.4,0.5,2.6,0.4,7.33
25,Pierre-Emerick Aubameyang Arsenal,33, M(CLR),FW,12(1),1058,4,1,24.4,69.4,0.2,0.4,-,7.33
26,James Tomkins Crystal Palace,33, D(CR),,27(1),2388,-,-,31.7,81.8,-,2.7,-,7.31
27,Romelu Lukaku Man Utd,29, AM(R),FW,33(1),2869,7,1,21.2,68.4,0.3,0.6,0.1,7.29
