,name,age,position1,position2,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating
0,Lionel Messi Barcelona,35, AM(CR),FW,29(2),2508,11,2.4,44.4,84.9,0.3,1.1,0.4,8.34
1,Cristiano Ronaldo Real Madrid,37, M(L),FW,30,2545,9,1.6,31.9,80.2,0.3,0.8,0.1,8.27
2,Sergio Álvarez Celta Vigo,36, GK,,3,270,-,-,35.7,62.6,-,10.3,-,8.26
3,Gareth Bale Real Madrid,33, M(CLR),FW,24(3),2073,12,1.5,27.2,76.3,0.4,1.3,0.2,7.75
4,Ivan Rakitic Sevilla,34, M(C),,29(4),2676,10,2.3,50.6,79.3,2.1,4.9,0.2,7.61
5,Gabi Atletico,39, M(C),,35(1),3119,8,1.5,57.6,79.4,1.2,4.7,0.2,7.58
6,Alexis Sánchez Barcelona,33, M(CLR),FW,27(7),2386,10,1.4,26.7,79.8,0.4,0.6,0.1,7.54
7,Neymar Barcelona,30, AM(CLR),FW,19(7),1742,8,1.6,36.6,84.5,0.4,0.3,0.2,7.51
8,Tiago Atletico,41, M(C),,21(1),1866,1,0.5,50.8,81.4,-,3.3,-,7.49
9,Gerard Piqué Barcelona,35, D(C),,26,2311,-,0.2,60.5,90.2,-,5.7,0.1,7.49
10,Javi Flores Elche,36, Midfielder,,1,75,-,2.0,33.0,78.8,1,2.0,-,7.48
11,Sergio Ramos Real Madrid,36, D(CR),,32,2759,1,0.3,61.7,88.8,-,8.3,0.1,7.47
12,Carles Puyol Barcelona,44, D(C),,5,429,-,0.2,44.2,92.3,-,1.2,-,7.46
13,Ángel Di María Real Madrid,34, M(CLR),FW,27(7),2384,17,2.6,40.0,82.1,2.1,3.3,0.2,7.46
14,Diego Godín Atletico,36, D(C),,34,3060,1,0.1,33.4,78.7,0.1,3.6,-,7.44
15,Karim Benzema Real Madrid,34, FW,,34(1),2779,9,1.8,23.4,81.9,0.1,0.4,0.3,7.44
16,Dani Alves Barcelona,39, D(R),M(CR),26(1),2388,3,1.3,68.0,87.3,1.1,2.1,0.1,7.44
17,Felipe Mattioni Espanyol,34, D(R),,2,180,-,1.5,28.0,78.6,1,0.5,-,7.44
18,Federico Fazio Sevilla,35, D(C),,27,2387,1,0.2,37.1,76.7,-,4.1,-,7.43
19,Carlos Vela Real Sociedad,33, M(CLR),FW,35(2),3116,12,2.1,26.1,78.9,0.8,1.0,0.2,7.42
20,Pepe Real Madrid,39, D(C),,30,2700,2,0.3,52.1,85.9,0.1,6.7,-,7.42
21,Isco Real Madrid,30, M(CLR),FW,23(9),2001,6,2.2,43.6,88.0,0.9,1.7,0.5,7.41
22,Ander Herrera Athletic Bilbao,33, M(C),,31(2),2577,5,1.6,46.7,80.6,0.5,2.2,0.4,7.4
23,Diego Costa Atletico,34, FW,,34(1),2965,3,1.3,22.3,75.5,0.3,0.5,0.1,7.4
24,Daniel Parejo Valencia,33, M(C),,28(3),2423,5,2.1,62.5,87.9,1.3,5.1,0.2,7.39
25,Marc Bartra Barcelona,31, D(CR),DMC,17(3),1590,1,0.3,50.4,89.9,-,3.7,-,7.39
26,Koke Atletico,30, M(CLR),,33(3),2818,13,1.9,43.4,80.6,1.6,1.8,0.3,7.39
27,Rafinha Celta Vigo,30, M(CLR),,27(5),2437,5,1.6,36.8,83.0,0.6,3.0,0.1,7.36
28,Andrés Iniesta Barcelona,38, M(CL),,27(8),2487,7,1.5,62.1,90.7,0.1,3.6,0.3,7.34
29,Edu Albácar Elche,42, D(L),,18,1588,1,1.2,48.4,69.4,1.7,3.3,-,7.34
30,Cesc Fàbregas Barcelona,35, M(CL),FW,28(7),2446,12,1.6,61.5,87.0,0.1,3.7,0.7,7.32
31,Aritz Aduriz Athletic Bilbao,41, FW,,26(5),2410,7,1,18.0,61.7,0.1,0.2,0.1,7.32
32,Luka Modric Real Madrid,37, M(C),,29(5),2651,6,1.5,58.4,89.7,0.7,6.1,0.1,7.31
33,Javier Manquillo Atletico,28, D(LR),M(R),3,270,-,0.3,31.7,72.6,0.3,1.0,-,7.3
34,Gurpegi Athletic Bilbao,42, D(C),M(C),27,2386,-,0.1,45.9,82.9,0.1,4.3,-,7.28
35,Marcelo Real Madrid,34, D(L),M(L),24(4),2176,6,1.6,45.8,85.0,0.9,2.0,0.1,7.28
36,Adriano Barcelona,38, D(CLR),M(L),24(2),2119,1,0.8,52.1,89.4,0.5,2.9,-,7.26
37,Filipe Luís Atletico,37, D(L),,32,2879,2,0.8,40.1,80.2,0.6,1.4,-,7.25
