,name,age,position1,position2,Apps,Mins,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Rating
0,Lionel Messi Barcelona,35, AM(CR),FW,32(4),2997,0.5,0.2,0.5,-,-,0.4,-,-,8.68
1,Cristiano Ronaldo Real Madrid,37, M(L),FW,27,2293,0.3,0.2,0.7,-,0.5,0.2,0.1,-,7.94
2,Luis Suárez Barcelona,35, AM(CLR),FW,32(1),2902,0.5,0.2,1.4,0.1,0.9,0.5,0.1,-,7.72
3,Philippe Coutinho Barcelona,30, M(CLR),,16(2),1304,1.5,0.3,0.7,-,0.2,1.3,-,-,7.66
4,João Cancelo Valencia,28, D(LR),M(R),1,90,1,2,4,-,-,-,-,-,7.65
5,Marc Bartra Real Betis,31, D(CR),DMC,16,1421,2.4,2,1.3,0.9,5.9,1.1,0.6,-,7.54
6,Yoel Rodríguez Eibar,34, GK,,1,90,-,-,-,-,3,-,-,-,7.5
7,Casemiro Real Madrid,30, DMC,,30,2601,3.6,2.1,2,0.2,1.5,1.4,0.4,-,7.49
8,Gareth Bale Real Madrid,33, M(CLR),FW,20(6),1803,0.7,0.5,1,-,0.5,0.4,-,-,7.49
9,Iago Aspas Celta Vigo,35, AM(CR),FW,33(1),2938,0.8,0.7,0.7,-,0.3,0.9,-,-,7.49
10,Toni Kroos Real Madrid,32, M(C),,26(1),2268,2,0.6,0.8,-,0.3,1.4,0.1,-,7.47
11,Filipe Luís Atletico,37, D(L),,19(1),1660,4.2,1.8,0.8,0.3,1.6,0.7,0.4,-,7.45
12,Daniel Parejo Valencia,33, M(C),,34,3005,2.6,1,1.4,-,0.7,1.6,0.3,-,7.41
13,Jasper Cillessen Barcelona,33, GK,,1,90,-,-,-,-,1.0,-,-,-,7.41
14,Geoffrey Kondogbia Valencia,29, D(C),DMC,30(1),2618,2.8,2,1.8,-,2.1,1.5,0.5,-,7.4
15,Saúl Ñíguez Atletico,27, D(CL),M(CLR),35(1),3157,3.7,1.5,1.9,-,2.0,1.8,0.3,-,7.4
16,Antoine Griezmann Atletico,31, AM(CLR),FW,30(2),2530,1.1,0.3,0.8,-,0.3,0.6,-,-,7.38
17,Achraf Hakimi Real Madrid,24, D(LR),M(R),8(1),757,2.3,1.1,0.9,0.2,1.8,1.6,0.1,-,7.34
18,Gerard Moreno Espanyol,30, AM(CR),FW,38,3413,1.1,0.5,1.5,0.1,1.2,1.1,0.2,-,7.31
19,Asier Riesgo Eibar,39, GK,,1,90,-,-,-,-,1.0,-,-,-,7.29
20,Luka Modric Real Madrid,37, M(C),,23(3),1976,1.3,1.2,0.8,-,0.3,1.0,0.2,-,7.29
21,Sergio Busquets Barcelona,34, DMC,,30(1),2600,2.8,1.6,1.2,-,0.4,1.3,0.3,-,7.25
22,Lucas Hernández Atletico,26, D(CL),,24(3),2117,3.4,1.5,1.1,0.1,2.9,0.7,0.4,-,7.24
23,Jordi Alba Barcelona,33, D(L),M(L),30(3),2745,1.9,2.1,1.1,0.5,1.5,0.8,0.2,-,7.22
