,name,age,position1,position2,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating
0,Lionel Messi Barcelona,35, AM(CR),FW,32(4),2997,12,2.4,52.3,81.2,0.3,2.1,0.5,8.68
1,Cristiano Ronaldo Real Madrid,37, M(L),FW,27,2293,5,1.4,27.1,81.6,0.3,0.5,0.1,7.94
2,Luis Suárez Barcelona,35, AM(CLR),FW,32(1),2902,12,1.7,31.9,76.9,-,1.4,0.2,7.72
3,Philippe Coutinho Barcelona,30, M(CLR),,16(2),1304,5,1.6,45.2,86.9,0.8,0.9,0.4,7.66
4,João Cancelo Valencia,28, D(LR),M(R),1,90,-,5,41.0,63.4,1,-,1,7.65
5,Marc Bartra Real Betis,31, D(CR),DMC,16,1421,-,0.3,68.3,85.8,0.1,5.2,0.1,7.54
6,Yoel Rodríguez Eibar,34, GK,,1,90,-,-,39.0,33.3,-,13,-,7.5
7,Casemiro Real Madrid,30, DMC,,30,2601,3,0.8,58.2,88.4,0.1,5.1,0.1,7.49
8,Gareth Bale Real Madrid,33, M(CLR),FW,20(6),1803,2,1.6,26.8,82.5,0.6,1.4,-,7.49
9,Iago Aspas Celta Vigo,35, AM(CR),FW,33(1),2938,5,2,36.3,78.8,0.3,1.5,0.2,7.49
10,Toni Kroos Real Madrid,32, M(C),,26(1),2268,7,2.4,76.7,93.1,1.7,6.2,0.1,7.47
11,Filipe Luís Atletico,37, D(L),,19(1),1660,2,1,47.4,83.4,0.3,1.8,-,7.45
12,Daniel Parejo Valencia,33, M(C),,34,3005,7,2.1,69.5,85.6,1.7,6.1,0.1,7.41
13,Jasper Cillessen Barcelona,33, GK,,1,90,-,-,26.0,76.9,-,2.0,-,7.41
14,Geoffrey Kondogbia Valencia,29, D(C),DMC,30(1),2618,4,0.7,49.9,87.4,-,4.0,0.1,7.4
15,Saúl Ñíguez Atletico,27, D(CL),M(CLR),35(1),3157,3,0.6,46.9,82.4,-,1.8,0.1,7.4
16,Antoine Griezmann Atletico,31, AM(CLR),FW,30(2),2530,9,1.4,32.1,77.6,0.3,1.5,0.3,7.38
17,Achraf Hakimi Real Madrid,24, D(LR),M(R),8(1),757,-,0.6,45.2,86.5,0.3,1.0,-,7.34
18,Gerard Moreno Espanyol,30, AM(CR),FW,38,3413,1,1.2,31.5,70.0,0.1,1.9,0.1,7.31
19,Asier Riesgo Eibar,39, GK,,1,90,-,-,31.0,35.5,-,11.0,-,7.29
20,Luka Modric Real Madrid,37, M(C),,23(3),1976,6,1.5,59.5,89.9,0.1,4.8,0.3,7.29
21,Sergio Busquets Barcelona,34, DMC,,30(1),2600,4,0.8,72.3,90.5,-,4.7,-,7.25
22,Lucas Hernández Atletico,26, D(CL),,24(3),2117,1,0.2,33.9,82.9,-,1.4,-,7.24
23,Jordi Alba Barcelona,33, D(L),M(L),30(3),2745,8,1.2,63.7,86.8,0.2,1.7,-,7.22
