,name,age,position1,position2,Apps,Mins,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,Rating
0,Kike Hermoso Real Betis,23, Defender,,1,90,1,-,2,-,1,-,-,-,1,7.77
1,Karim Benzema Real Madrid,34, FW,,31(1),2600,27,12,4,1.9,1.1,0.3,1,0.8,1.1,7.69
2,Vinícius Júnior Real Madrid,22, AM(L),FW,30(5),2701,17,10,2.3,1.9,2.7,2.1,0.7,1.7,2.5,7.56
3,Ousmane Dembélé Barcelona,25, AM(CLR),FW,15(6),1413,1,13,2.2,2.1,2.8,0.8,0.2,1.3,1.8,7.46
4,Miguel Gutiérrez Real Madrid,21, D(L),,3,262,-,1,-,1,2,2.7,-,0.7,0.3,7.44
5,Gerard Moreno Villarreal,30, AM(CR),FW,14(3),1194,9,3,2.2,1.8,2.3,0.8,0.5,1.7,1.8,7.44
6,Nabil Fekir Real Betis,29, AM(CLR),FW,33(1),2812,6,8,2.5,2.5,2.4,2.7,0.3,2.4,3,7.38
7,Andrii Lunin Real Madrid,23, GK,,2,180,-,-,-,-,-,-,-,-,-,7.32
8,Casemiro Real Madrid,30, DMC,,31(1),2576,1,3,1.3,0.8,0.6,1.2,0.1,0.4,1,7.26
9,Joselu Deportivo Alaves,32, FW,,35(2),3126,14,4,2.6,0.9,0.5,1.5,0.3,0.9,2.1,7.25
10,Vedat Muriqi Mallorca,28, FW,,16,1439,5,3,3.2,0.9,0.6,1,0.4,0.9,2.6,7.22
11,Iker Muniain Athletic Bilbao,29, AM(CLR),,34(1),2803,4,10,1.2,3.1,1.9,2.3,0.1,1.6,1.8,7.19
12,Iago Aspas Celta Vigo,35, AM(CR),FW,36(1),3094,18,6,2.4,1.5,1.4,1.4,0.5,0.9,1.8,7.19
13,Daniel Parejo Villarreal,33, M(C),,32(1),2712,2,10,0.5,2,0.8,1.7,-,0.7,0.8,7.17
14,John Donald Elche,21, Midfielder,,2,180,-,-,1.0,1,0.5,-,-,-,0.5,7.17
15,Mikel Merino Real Sociedad,26, M(C),,33(1),2896,3,2,1.3,0.9,0.8,2,0.1,1.6,1.3,7.16
16,Antoine Griezmann Barcelona,31, AM(CLR),FW,3,264,-,-,1.3,-,1.0,1.3,-,3,1.7,7.15
17,Pedri Barcelona,19, AM(C),,10(2),891,3,1,1.0,1.3,1.3,1.4,-,1.4,1.2,7.12
18,Memphis Depay Barcelona,28, AM(CL),FW,20(8),1850,12,2,2.2,1.6,1.6,1.6,0.5,1.2,2.7,7.1
19,Yannick Carrasco Atletico,28, M(CLR),FW,28(6),2594,6,6,1.5,1.6,2.6,1.1,0.4,1.5,2.3,7.08
20,Sergio Busquets Barcelona,34, DMC,,36,3202,2,-,0.4,0.9,0.6,1.9,0.1,0.4,0.6,7.05
21,Dani Alves Barcelona,39, D(R),M(CR),13(1),1103,1,3,0.4,1.6,0.9,0.4,-,0.4,0.7,7.03
22,Raúl de Tomás Espanyol,27, FW,,33(1),2928,17,3,3.1,0.7,1.5,1.6,0.9,1.8,2.6,7.02
23,Luka Modric Real Madrid,36, M(C),,25(3),2050,2,8,1.0,1.3,1.1,1.1,-,0.8,1.1,7.01
24,Javi Galán Celta Vigo,27, D(L),M(L),37,3300,-,3,0.5,0.6,2.3,2.0,0.3,1.0,1.9,7.01
25,Rubén Alcaraz Cadiz,31, DMC,,12(2),1106,2,-,1.6,1.0,0.8,2.5,0.1,0.8,1.5,7.01
26,Mathías Olivera Getafe,24, D(L),M(L),32,2807,1,3,0.8,1.0,0.8,1.4,0.1,1.2,1.9,7.0
27,Óscar Trejo Rayo Vallecano,34, M(CLR),,24(8),2023,3,9,0.7,1.9,2.6,2.1,0.1,2.1,2.4,7.0
28,Gonçalo Guedes Valencia,25, AM(CLR),FW,30(6),2614,11,6,1.9,1.2,1.8,2.1,0.1,1.3,2.8,6.99
29,Jordi Alba Barcelona,33, D(L),M(L),30,2648,2,10,1.0,1.9,0.2,0.6,0.4,0.1,0.8,6.99
30,Toni Kroos Real Madrid,32, M(C),,25(3),2112,1,3,1.6,1.8,0.3,1.4,-,0.4,0.3,6.98
31,Gabriel Paulista Valencia,31, D(CR),,19,1602,2,1,0.3,0.2,0.1,0.6,0.1,0.2,0.5,6.98
32,Pierre-Emerick Aubameyang Barcelona,33, M(CLR),FW,13(4),1092,11,1,2.2,0.5,0.2,0.4,0.4,0.5,1.7,6.98
33,Eder Militão Real Madrid,24, D(CR),,34,3033,1,2,1.0,0.4,0.3,1.1,-,0.2,0.5,6.97
34,Ferland Mendy Real Madrid,27, D(L),M(L),20(2),1739,2,1,0.5,0.9,1.6,1.1,0.1,0.6,1.0,6.96
35,Etienne Capoue Villarreal,34, D(C),M(CL),26(4),2298,1,1,0.5,0.2,1.4,1.5,-,0.5,0.8,6.96
36,José Morales Levante,35, D(R),M(CLR),31(4),2727,13,7,2.3,1.0,1.8,1.1,0.4,1.6,2.6,6.96
37,Marcos Acuña Sevilla,30, D(L),M(CL),26(5),2266,1,3,0.5,1.4,1.4,1.5,-,0.9,1.2,6.96
38,Marc Bartra Real Betis,31, D(CR),DMC,23,1994,1,-,0.7,0.2,0.3,0.7,-,0.2,0.5,6.95
39,Íñigo Martínez Athletic Bilbao,31, D(C),,26(1),2344,3,-,1.0,0.1,0.1,1.0,0.1,0.1,0.3,6.94
40,Abdessamad Ezzalzouli Barcelona,20, Forward,,6(4),582,1,-,1.6,0.6,3.4,1.5,0.2,1.2,2.3,6.94
41,Juan Foyth Villarreal,24, D(CR),DMC,22(3),1932,1,1,0.2,0.4,1.1,0.9,-,0.3,1,6.94
42,David García Osasuna,28, D(C),,35,3106,4,-,0.9,0.3,0.1,0.6,-,0.1,0.3,6.94
43,Enes Ünal Getafe,25, FW,,33(4),2812,16,1,2.3,0.8,0.7,1.9,0.4,1.5,2.9,6.94
44,Sergio Canales Real Betis,31, M(CLR),,33(1),2803,5,7,1.6,1.9,0.9,1.1,0.3,1.2,1.5,6.94
45,Martín Montoya Real Betis,31, D(LR),M(R),6,519,-,1,0.8,0.5,-,1.7,-,0.3,1.2,6.94
46,Pablo Maffeo Mallorca,25, D(R),M(R),35,2952,1,3,0.8,0.8,1.4,1.7,0.1,1.6,1.4,6.93
47,Jesús Vallejo Real Madrid,25, D(CR),,4(1),341,-,-,-,0.2,0.4,0.2,-,-,-,6.93
48,Mauro Arambarri Getafe,26, DMC,,31,2667,-,5,1.2,1.5,1,1.5,-,1.2,1.4,6.93
49,Juanmi Real Betis,29, AM(CLR),FW,26(7),2149,16,4,1.7,0.6,0.9,0.5,0.5,0.9,2.2,6.93
50,Gerard Piqué Barcelona,35, D(C),,25(2),2097,1,-,0.7,0.2,0.2,0.6,-,0.1,0.3,6.93
51,Carlos Soler Valencia,25, M(CLR),,28(4),2485,11,5,1.3,1.7,0.6,1.4,0.1,0.4,1.2,6.93
52,Martin Braithwaite Barcelona,31, AM(CLR),FW,3(1),237,2,1,1.8,0.5,0.5,0.5,0.5,1.3,2,6.93
53,Guido Rodríguez Real Betis,28, DMC,,29(3),2533,1,2,0.7,0.4,0.6,1.6,0.1,0.5,0.8,6.92
54,Lucas Torró Osasuna,28, DMC,,32(1),2734,1,-,1,0.3,0.7,1.5,-,0.7,1,6.92
55,Álex Moreno Real Betis,29, D(L),M(L),28(2),2408,5,3,0.9,0.7,0.8,1.3,0.1,0.6,1.5,6.92
56,Mathew Ryan Real Sociedad,30, GK,,3,270,-,-,-,-,-,-,-,-,-,6.92
57,Jules Koundé Sevilla,23, D(CR),,31(1),2738,2,1,0.4,0.5,0.8,0.9,0.1,0.4,0.8,6.92
58,Arnaut Danjuma Villarreal,25, AM(L),FW,17(6),1478,10,3,2.7,0.7,1.4,0.8,0.7,0.8,1.4,6.91
59,Frenkie de Jong Barcelona,25, D(C),DMC,30(2),2486,3,3,0.5,1.3,1.6,1.1,0.2,0.9,1.2,6.91
60,João Félix Atletico,22, AM(CL),FW,13(11),1267,8,4,1.6,0.8,1.3,2.4,0.4,0.8,1.2,6.91
61,Lucas Boyé Elche,26, AM(L),FW,22(2),1724,7,3,2.0,0.9,2.4,1.7,0.5,3.3,5.9,6.91
62,Mikel Oyarzabal Real Sociedad,25, AM(CLR),FW,19(3),1674,9,3,1.9,1.8,1.0,1.2,0.2,1.3,1.7,6.9
63,David Silva Real Sociedad,36, M(CLR),FW,22(3),1734,2,4,0.8,1.6,1.2,1.0,0.1,1.1,1.5,6.9
64,Giovani Lo Celso Villarreal,26, M(CR),FW,11(5),998,1,1,1.1,1.1,1.6,2.6,0.2,1.1,1.6,6.89
65,Marco Asensio Real Madrid,26, AM(CLR),,19(12),1729,10,-,2.1,1,0.9,0.6,0.1,0.8,0.6,6.89
66,Yuri Berchiche Athletic Bilbao,32, D(L),M(L),11(3),1016,1,2,0.6,0.5,0.6,1.4,-,0.5,0.9,6.89
67,Ferran Torres Barcelona,22, AM(LR),FW,17(1),1418,4,4,2.9,0.7,0.7,1.1,0.9,1.1,2.5,6.88
68,Germán Pezzella Real Betis,31, D(C),,22(1),1991,1,-,0.8,-,0.1,0.3,0.1,-,0.1,6.87
69,Héctor Bellerín Real Betis,27, D(R),M(R),22(1),1979,-,2,0.4,1.1,1.0,0.6,0.1,0.3,1.1,6.87
70,Ilias Akhomach Barcelona,18, Forward,,2,126,-,-,2,2,0.5,2,-,0.5,0.5,6.87
71,Alfonso Pedraza Villarreal,26, D(L),M(L),19(9),1706,4,4,0.8,0.9,1.1,0.9,0.1,0.7,1.5,6.86
72,Robin Le Normand Real Sociedad,25, D(C),,37,3330,1,1,0.5,0.1,-,0.6,0.1,0.1,0.4,6.86
73,Erik Lamela Sevilla,30, AM(CLR),,10(10),1016,5,2,1.1,1.1,0.9,0.7,0.3,1.5,1.5,6.86
74,Pau Torres Villarreal,25, D(C),,33,2858,5,1,0.7,0.3,0.8,0.5,-,0.2,0.8,6.86
75,Santiago Comesaña Rayo Vallecano,25, M(C),,32(3),2698,1,2,0.9,0.8,1.4,1.6,-,1,1.3,6.86
76,Daniel Carvajal Real Madrid,30, D(R),,17(7),1553,1,3,0.4,1,0.4,0.5,-,0.4,1,6.85
77,Sergi Darder Espanyol,28, M(CL),,36,3136,3,9,1.2,1,1.5,1.1,-,0.9,1.1,6.85
78,Oier Olazábal Espanyol,32, GK,,1(1),135,-,-,-,-,-,-,-,-,-,6.85
79,Ronald Araújo Barcelona,23, D(CR),,25(5),2271,4,-,0.6,0.3,0.2,0.4,-,0.2,0.6,6.84
80,Luis Milla Granada,27, DMC,,33(1),2785,3,3,0.6,1.2,0.8,1.9,-,0.7,1,6.84
81,Brais Méndez Celta Vigo,25, AM(CR),FW,36(1),3036,4,5,1.5,0.9,0.9,1.5,0.2,1.3,2.1,6.83
82,Ivan Rakitic Sevilla,34, M(C),,26(9),2188,4,6,0.9,1.2,0.2,1,-,0.3,0.9,6.83
83,José Giménez Atletico,27, D(CR),,24,2047,1,1,0.8,0.2,0.3,0.9,0.1,-,0.4,6.82
84,Eduardo Camavinga Real Madrid,19, DMC,,13(13),1233,2,1,0.5,0.5,0.8,1.1,-,0.4,0.6,6.82
85,Yeray Álvarez Athletic Bilbao,27, D(C),,21(1),1860,-,-,0.3,0.2,0.1,0.6,-,0.1,0.5,6.82
86,Alfonso Espino Cadiz,30, D(L),,37,3330,2,2,0.7,1,0.6,1.2,0.2,0.6,1.2,6.82
87,Santi Mina Celta Vigo,26, AM(LR),FW,30(3),2380,7,3,1.8,0.6,0.4,1.2,0.3,1,1.9,6.82
