,name,age,position1,position2,Apps,Mins,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,Rating
0,Zlatan Ibrahimovic PSG,41, FW,,32(1),2774,26,11,4.9,2.1,0.8,1.3,1.2,2.1,2.6,7.79
1,Loic Perrin Saint-Etienne,37, D(C),,34,2981,6,1,0.6,0.2,0.3,0.8,0.1,0.1,0.2,7.73
2,Yassine Jebbour Rennes,31, D(LR),,2,180,-,1,-,2.0,0.5,1.5,-,1.5,2.5,7.61
3,Nemanja Pejcinovic Nice,35, D(CR),,14(1),1324,1,-,0.4,0.1,0.4,1.2,-,0.3,0.3,7.52
4,Jérémy Toulalan Monaco,39, D(C),M(C),29,2504,1,1,0.7,0.4,1.1,2.3,-,0.7,0.9,7.51
5,Mathieu Bodmer Nice,39, D(C),M(C),27,2306,2,1,0.6,0.3,0.2,0.6,-,0.3,0.4,7.48
6,Layvin Kurzawa Monaco,30, D(L),M(L),28,2406,5,3,1.4,0.7,1.2,0.8,0.2,1.3,1.4,7.44
7,James Rodríguez Monaco,31, AM(CLR),FW,30(4),2644,9,12,2.7,2.5,1.3,2.4,0.4,1.6,1.5,7.44
8,Sèrge Aurier Toulouse,29, D(CLR),M(R),34,3045,6,6,1.7,1.0,1.4,1.6,0.2,2.2,1.3,7.42
9,Thiago Silva PSG,38, D(C),,28,2386,3,-,0.9,0.2,0.3,0.9,-,0.3,0.3,7.42
10,Aristote Ndongala Nantes,28, Midfielder,,1,90,-,-,-,-,-,1.0,-,1.0,-,7.39
11,Marko Basa Lille,39, D(C),,32,2789,2,2,0.8,0.4,0.5,0.9,-,0.2,0.2,7.38
12,Christophe Jallet PSG,39, D(LR),M(L),13,1085,-,-,0.6,1.5,0.2,0.2,-,0.4,0.6,7.37
13,Faouzi Ghoulam Saint-Etienne,31, D(L),,16(1),1466,1,4,0.9,0.8,0.7,1.5,-,0.2,0.8,7.36
14,Rémy Cabella Montpellier,32, M(CLR),FW,36(1),3206,14,5,2.7,2.2,1.2,2.8,0.4,2.0,1.6,7.36
15,Grégory Sertic Bordeaux,33, D(C),M(C),29(1),2582,3,10,1.8,1.7,0.4,1.5,-,0.5,1,7.36
16,Grzegorz Krychowiak Reims,32, D(C),M(C),33(2),2830,4,1,1,0.6,0.6,1.7,-,0.9,0.6,7.34
17,João Moutinho Monaco,36, M(C),,31,2564,1,8,1.4,1.9,0.5,1.1,-,0.9,1,7.3
18,Lucas Digne PSG,29, D(CL),M(L),15,1336,-,1,0.7,1,1,1.2,0.5,0.9,0.7,7.3
19,Idrissa Gueye Lille,33, M(C),,37,3330,1,1,1.1,0.9,1.1,1.5,-,1.2,0.9,7.29
20,David Ospina Nice,34, GK,,29,2572,-,-,-,-,-,0.5,-,-,-,7.28
21,Thiago Motta PSG,40, M(C),,31(1),2544,3,2,0.5,1.5,0.3,1.4,-,0.8,0.6,7.28
22,André Ayew Marseille,32, M(CLR),FW,24(1),2121,6,3,2.3,1.1,1.2,2.2,0.2,1.2,1,7.28
23,Florent Chaigneau Lorient,38, GK,,11(1),962,-,-,-,-,-,0.1,-,-,-,7.27
24,Simon Kjaer Lille,33, D(C),,34,3036,-,1,0.7,0.2,0.1,0.7,-,0.2,0.1,7.27
25,Papy Djilobodji Nantes,33, D(C),DMC,28,2426,3,-,0.7,0.1,0.3,0.9,0.1,0.3,0.4,7.26
26,Souleymane Diawara Marseille,43, D(C),,19(1),1708,1,-,0.5,0.3,0.2,0.9,0.1,0.3,0.3,7.26
27,Nicolas Douchez PSG,42, GK,,1,90,-,-,-,-,-,-,-,-,-,7.26
28,Moustapha Bayal Sall Saint-Etienne,36, D(C),,31(1),2815,1,1,0.4,0.3,0.1,0.7,0.1,0.3,0.3,7.24
29,Bruno Ecuele Manga Lorient,34, D(CR),,35,3085,1,-,0.5,-,0.3,1,-,0.2,0.4,7.23
30,Gueida Fofana Lyon,31, D(R),DMC,24(1),2137,2,1,1.2,0.7,1.2,1.0,-,1.2,0.7,7.23
31,Maxime Gonalons Lyon,33, D(C),M(C),36,3188,-,2,0.6,0.6,0.6,1.4,-,0.9,0.7,7.23
32,Lamine Sané Bordeaux,35, D(C),M(C),36,3240,-,-,0.6,0.1,0.2,1.3,0.1,0.3,0.3,7.22
33,Jérémy Morel Marseille,38, D(CL),,20,1666,-,1,0.3,1.0,0.5,0.7,-,1.2,0.5,7.22
34,Lucas Moura PSG,30, AM(CLR),FW,18(18),1936,5,11,1.7,1.5,2.4,1.3,0.1,2.3,1.4,7.22
35,Maxwell PSG,41, D(L),,23(1),2089,3,2,0.3,1.4,0.5,0.9,0.3,0.5,0.8,7.22
36,Stoppila Sunzu Sochaux,33, D(C),,17,1530,4,1,0.8,0.2,0.3,0.7,0.1,0.1,0.4,7.21
37,Sylvain Armand Rennes,42, D(CL),,32,2796,-,-,0.2,0.2,0.2,0.4,-,0.1,0.2,7.21
38,Clément Grenier Lyon,31, M(CL),,26(2),2249,4,5,2.8,1.9,1.1,1.0,0.1,1.8,1.9,7.19
39,Marco Verratti PSG,30, M(C),,23(6),1996,-,4,0.4,0.8,1.2,1.9,-,2.0,0.4,7.19
40,Théo Pellenard Bordeaux,28, D(L),,3,270,-,-,-,1.0,0.7,0.7,-,1.3,1.7,7.18
41,Lucas Mendes Marseille,32, D(CL),,21(1),1893,2,1,0.5,0.1,-,1.0,-,0.3,0.3,7.18
42,Ola Toivonen Rennes,36, AM(C),FW,14(1),1234,7,1,1.9,1.2,0.3,1.7,0.6,1.1,0.8,7.18
43,Nicolas Nkoulou Marseille,32, D(C),,37,3330,2,-,0.2,0.1,0.2,0.7,-,0.1,0.2,7.18
44,Dimitar Berbatov Monaco,41, AM(C),FW,9(3),767,6,4,1.8,1.2,0.1,1.3,1.3,1.4,1.1,7.17
45,Franck Béria Lille,39, D(CLR),,26,2245,-,-,0.4,0.5,0.7,1.7,0.2,1,1.0,7.17
46,Edinson Cavani PSG,35, AM(LR),FW,25(5),2299,16,2,3.2,0.8,0.6,1.0,0.9,1.4,1.4,7.16
47,Ryad Boudebouz Sochaux,32, M(CLR),FW,2,180,1,-,2,1.5,1,1.0,-,1.5,1.5,7.15
48,Hilton Montpellier,45, D(C),,30,2655,3,-,0.4,0.1,0.2,1.4,-,0.1,0.3,7.14
49,Sébastien Squillaci SC Bastia,42, D(C),,31,2751,3,-,0.4,0.2,-,1.2,-,-,0.3,7.13
50,Alexandre Lacazette Lyon,31, M(CLR),FW,35(1),2910,15,3,2.3,1.1,1.4,1.5,0.2,1.8,1.9,7.13
51,Olivier Veigneau Nantes,37, D(L),,24(3),2180,-,1,0.3,0.6,1.0,0.9,-,0.9,0.7,7.13
52,Francois Clerc Saint-Etienne,39, D(R),,29,2552,2,1,0.4,0.8,0.3,0.7,0.2,0.5,0.4,7.13
53,Gregory van der Wiel PSG,34, D(CR),M(R),24(1),2158,-,4,0.2,0.7,0.4,0.8,0.1,0.9,1.0,7.13
54,Ricardo Carvalho Monaco,44, D(C),,37,3330,-,2,0.2,0.2,0.1,0.7,-,0.1,0.3,7.13
55,Benjamin Corgnet Saint-Etienne,35, M(CLR),FW,23(5),1818,7,2,1.9,1.0,1.0,1.8,0.1,1.2,1.6,7.13
56,Aldo Angoula Evian,41, D(C),,19(1),1718,1,-,0.5,0.2,0.1,0.5,0.1,0.1,0.5,7.12
57,Clément Chantôme Toulouse,35, M(C),,24(3),2154,2,4,0.7,1.9,0.6,2.1,0.1,1.5,1.3,7.12
58,Romain Hamouma Saint-Etienne,35, M(CLR),FW,29(5),2495,9,4,1.4,1.4,1.6,1.8,0.3,1.7,1.8,7.12
59,Aymen Abdennour Toulouse,33, D(C),,15,1324,-,-,0.8,0.4,0.4,1.1,-,0.3,0.7,7.12
60,Alex PSG,40, D(C),,30(1),2612,2,-,0.5,0.1,-,0.2,-,-,0.4,7.11
61,Jordan Ayew Sochaux,31, AM(CLR),FW,16(1),1367,5,1,2,1.5,2.2,2.1,0.5,3.1,2.6,7.11
62,Blaise Matuidi PSG,35, M(CL),,28(8),2555,5,2,0.8,0.7,0.8,1.1,0.2,1.1,1.1,7.11
63,Gaëtan Bong Valenciennes,34, D(L),,1,90,-,-,-,-,-,-,-,-,-,7.11
64,Aymen Abdennour Monaco,33, D(C),,6,540,-,-,0.5,0.2,0.8,0.5,-,0.2,0.3,7.1
65,Salomon Kalou Lille,37, AM(CLR),FW,36(2),3116,16,6,2.6,1.4,2,1.2,1.5,3.7,2.5,7.1
66,Miguel Lopes Lyon,35, D(CR),,19,1661,-,1,0.3,0.5,0.7,0.7,0.1,0.7,0.7,7.1
67,Cheikh M'Bengue Rennes,34, D(CL),M(L),25,2108,-,1,0.1,0.5,0.4,1.1,-,0.8,0.7,7.1
68,Mounir Obbadi Monaco,39, M(C),,28(3),2445,3,2,0.9,1.4,0.3,0.8,0.1,0.8,0.6,7.09
69,Issa Cissokho Nantes,37, D(LR),M(R),35,3150,-,4,0.3,0.7,1.1,1.2,-,0.7,0.9,7.09
70,Lucas Orbán Bordeaux,33, D(CL),,27,2325,-,1,0.1,0.5,0.1,1.4,-,0.4,0.4,7.09
71,Romain Genevois Nice,35, D(CR),,29(3),2638,-,-,0.2,0.1,0.3,0.8,-,0.3,0.5,7.09
72,Aïssa Mandi Reims,31, D(CLR),,33,2919,-,2,0.5,0.7,0.6,0.8,-,0.7,0.6,7.09
73,Youssouf Sabaly Evian,29, D(LR),M(R),36,3113,-,2,0.4,0.5,0.9,1.2,0.1,1.4,1.0,7.08
74,Mariano Bordeaux,36, D(R),M(R),38,3303,-,3,0.4,1.1,1.1,0.6,-,0.4,0.8,7.08
75,Mathieu Valbuena Marseille,38, M(CLR),,31(3),2541,3,6,1.4,2.6,1.5,3.0,0.4,2.5,1.8,7.08
76,Julian Palmieri SC Bastia,35, D(L),M(L),27(1),2324,-,4,0.3,0.8,1.4,1.1,-,0.7,0.6,7.07
77,Henri Bedimo Lyon,38, D(L),,35(1),3146,1,10,0.4,1.2,1.6,1.2,-,1.3,1.2,7.07
78,Chaker Alhadhur Nantes,30, D(LR),,14(1),1242,-,2,0.3,0.6,0.3,0.9,0.2,0.5,0.5,7.07
79,Landry N'Guémo Bordeaux,36, M(C),,20(3),1777,1,2,0.9,0.3,0.6,1.7,-,1.0,1.0,7.07
80,Johny Placide Reims,34, GK,,4,360,-,-,0.3,0.3,-,0.3,-,-,-,7.07
81,Yohann Pelé Sochaux,40, GK,,15,1350,-,-,-,-,0.1,0.3,-,-,-,7.07
82,Florent Balmont Lille,42, DMC,,34(1),2854,-,7,1.2,2.3,0.7,2.0,-,1.9,0.9,7.06
83,André-Pierre Gignac Marseille,36, FW,,30(5),2723,16,3,3.2,1,1.1,1.1,1.2,1.1,2.1,7.06
84,Mathieu Coutadeur Lorient,36, M(C),,13(4),1171,1,1,0.6,0.7,0.5,1.1,-,0.8,0.6,7.06
85,Daniel Wass Evian,33, D(LR),M(CLR),37(1),3220,9,3,1.7,1,0.4,1.3,0.2,0.8,1.2,7.06
86,Timothée Kolodziejczak Nice,31, D(CL),M(L),34,3024,2,1,0.5,0.6,0.5,0.5,-,0.4,0.6,7.06
87,Fabinho Monaco,29, D(CR),DMC,21(5),1913,-,-,0.5,0.6,1,1.3,-,0.9,0.6,7.06
88,Koffi Djidji Nantes,29, D(CL),,9(1),770,1,-,0.6,-,0.2,0.4,-,0.1,0.5,7.06
89,David Rozehnal Lille,42, D(C),DMC,10(7),1090,-,-,0.4,0.1,-,1.2,-,-,0.1,7.05
90,Benoît Costil Rennes,35, GK,,38,3420,-,-,-,0.1,0.1,0.1,-,-,-,7.05
91,Paul-Georges Ntep Rennes,30, AM(LR),FW,7(3),652,5,-,1.1,0.8,2.2,1.0,0.3,1.4,1.9,7.05
92,Franck Signorino Reims,41, D(L),M(L),24(1),2122,1,1,0.2,0.5,0.4,1.0,-,0.6,0.7,7.05
93,Jonathan Zebina Toulouse,44, D(C),,17(3),1599,-,-,0.4,0.2,0.9,0.8,0.1,0.2,0.4,7.05
94,Pape Souaré Lille,32, D(L),M(L),33,2879,3,-,0.6,0.6,0.3,1.4,0.4,0.8,0.8,7.05
95,Henrique Bordeaux,39, D(C),,31,2741,2,-,0.4,0.1,0.1,0.6,-,0.3,0.4,7.04
96,Benjamin Stambouli Montpellier,32, D(CR),M(C),37,3330,2,1,0.6,0.7,0.9,0.7,-,1,0.7,7.03
97,Daniel Congré Montpellier,37, D(CLR),,30(3),2657,1,1,0.4,0.3,0.1,0.7,0.1,0.1,0.3,7.03
98,Jonathan Brison Saint-Etienne,39, D(LR),,14(3),1247,-,-,0.2,0.3,0.6,1.2,0.1,0.4,0.5,7.02
99,Mehdi Zeffane Lyon,30, D(LR),M(R),7(1),567,-,-,0.4,0.4,0.5,0.1,-,0.1,0.8,7.02
100,Carlão Sochaux,36, D(C),M(C),26(1),2226,1,2,0.2,0.2,0.3,1.6,-,0.1,0.2,7.01
101,Anthony Weber Reims,35, D(C),,33,2855,-,-,0.4,0.2,0.3,0.5,-,0.2,0.2,7.01
102,Mevlüt Erdinç Rennes,35, FW,,4,335,1,-,3.0,0.3,1.5,1.8,0.3,1.5,1.8,7.01
103,Yoann Gourcuff Lyon,36, M(CL),,14(4),1069,3,5,1.6,1.4,0.7,0.6,0.1,1.8,1.2,7.01
104,Rio Mavuba Lille,38, M(C),,32(1),2760,1,2,0.2,0.7,0.4,1.3,-,0.3,0.5,7.01
105,Julien Faussurier Sochaux,35, D(LR),M(R),34(3),3047,-,3,0.1,0.8,0.3,0.3,-,0.5,0.6,7.01
106,Max-Alain Gradel Saint-Etienne,34, M(CLR),FW,10(8),978,5,5,1.7,1.3,1.3,1.3,0.3,1.3,1.5,7.0
107,Kévin Théophile-Catherine Rennes,33, D(CLR),,3,270,-,-,1.0,0.3,0.3,0.3,-,0.7,0.3,6.99
108,Kassim Abdallah Marseille,35, D(R),,9(1),814,-,2,0.1,0.9,0.5,0.3,-,0.3,0.9,6.99
109,Benoît Trémoulinas Saint-Etienne,36, D(L),M(L),12,1080,-,-,0.5,1.9,0.6,1.7,0.1,1.1,1.0,6.99
110,Gabriel Cichero Nantes,38, D(C),,4(1),387,-,-,0.6,0.2,0.6,1.0,-,-,0.4,6.99
111,Jean Makoun Rennes,39, M(C),,30,2511,1,3,0.4,0.7,0.5,1.2,-,1.1,0.6,6.99
112,Mamadou Samassa Guingamp,32, GK,,19,1710,-,-,-,-,-,0.2,-,-,-,6.98
113,Didier Digard Nice,36, M(C),,28(1),2498,-,1,1,0.7,1,1.5,-,1.4,1.3,6.98
114,Christophe Kerbrat Guingamp,36, D(C),,36,3240,-,-,0.2,0.2,0.1,1.3,0.1,0.1,0.3,6.98
115,Floyd Ayité Reims,33, M(CLR),FW,22(10),2020,5,4,1.8,1.7,1.6,1.6,0.3,2,2,6.98
116,Rudy Mater Valenciennes,42, D(R),,25,1984,-,-,0.7,0.5,0.6,1.0,0.1,0.9,0.9,6.97
117,Marquinhos PSG,28, D(CR),DMC,17(4),1652,2,-,0.4,0.1,-,0.8,-,0.1,0.3,6.97
118,Yannick Carrasco Monaco,29, M(CLR),FW,14(4),1167,3,3,1.7,1.2,1.4,1.3,0.3,1.2,2.1,6.97
119,Mickaël Tacalfred Reims,41, D(C),,34,2996,-,-,0.1,0.1,0.2,0.5,-,0.3,0.1,6.97
120,Dimitri Payet Marseille,35, M(CLR),FW,30(6),2520,8,5,1.7,1.8,1,0.9,0.1,1.5,0.9,6.97
121,Benjamin Mendy Marseille,28, D(L),DMC,18(6),1730,1,4,0.4,1,1,0.6,-,0.5,0.8,6.97
122,Kossi Agassa Reims,44, GK,,34,3060,-,-,-,-,-,0.4,-,-,-,6.97
123,Abel Aguilar Toulouse,37, M(C),,27(1),2451,1,-,0.6,0.5,-,1.2,-,0.9,0.5,6.96
124,Jérémy Sorbon Guingamp,39, D(C),,37,3330,1,-,0.2,0.1,0.1,0.7,-,0.2,0.2,6.96
125,Younousse Sankharé Guingamp,33, M(C),,35(1),3002,3,3,0.6,0.9,1.2,1.9,0.1,1.4,0.7,6.96
126,Ludovic Obraniak Bordeaux,37, M(CLR),,20(1),1700,4,2,1.8,1.6,0.2,1.0,0.5,1.1,1.2,6.96
127,Djibril Sidibé Lille,30, D(CLR),M(R),15(5),1354,-,-,0.9,0.8,0.5,1.5,-,1,0.9,6.96
128,Lucas Deaux Nantes,33, D(C),DMC,34(2),3010,1,1,0.4,0.6,0.6,0.8,-,0.9,1.1,6.95
129,Roy Contout Sochaux,37, M(LR),,32(1),2726,5,3,1.6,1.1,1.9,1.1,0.2,2.2,2.2,6.95
130,Wesley Lautoa Lorient,35, D(C),DMC,34,2889,1,1,0.4,0.3,0.2,0.8,-,0.7,0.6,6.95
131,Henri Saivet Bordeaux,32, M(CLR),FW,30(3),2721,6,6,1.8,1.2,0.8,1.2,0.2,1.6,1.6,6.95
132,Cédric Carrasso Bordeaux,40, GK,,36,3190,-,-,-,-,-,0.2,-,-,-,6.95
133,Abdelhamid El Kaoutari Montpellier,32, D(CL),,29(1),2542,-,-,0.2,0.2,0.2,1.3,-,0.3,0.4,6.95
134,Benjamin André AC Ajaccio,32, D(R),M(CLR),35(1),3070,4,5,1.1,1.1,0.6,2.6,0.1,2.2,2.3,6.95
135,Teddy Mezague Montpellier,32, D(C),,6(3),644,-,1,0.1,0.2,0.6,0.3,-,-,0.3,6.95
136,Lionel Mathis Guingamp,41, DMC,,30(1),2682,-,-,0.6,0.7,0.3,2.5,-,0.8,0.6,6.94
137,Fabien Lemoine Saint-Etienne,35, M(C),,32(3),2815,2,2,0.7,0.8,0.4,0.7,-,1.2,0.7,6.94
138,Tiemoué Bakayoko Rennes,28, DMC,,19(5),1727,1,-,0.5,0.3,0.5,1.8,-,1.1,0.4,6.94
139,Danijel Subasic Monaco,38, GK,,35,3150,-,-,-,-,-,0.1,-,-,-,6.94
140,Nolan Roux Lille,34, AM(LR),FW,29(1),2358,9,4,2.6,0.9,0.5,1.5,0.8,1.7,1.7,6.94
141,Jacques-Alaixys Romao Marseille,38, D(C),M(C),36,3214,1,-,0.4,0.3,0.3,1.7,-,0.5,0.4,6.93
142,Jean-Daniel Akpa Akpro Toulouse,30, D(R),M(CLR),18(4),1483,1,2,0.6,0.6,1.6,1.4,0.1,1.6,1.6,6.93
143,Maxime Dupé Nantes,29, GK,,4,360,-,-,-,0.3,-,0.3,-,-,-,6.93
144,Radamel Falcao Monaco,36, FW,,16(1),1394,9,-,2.9,0.5,0.8,2.2,1.1,2.2,2.5,6.93
145,Mickaël Malsa Sochaux,27, DMC,,4,348,-,1,0.8,0.3,-,1.3,-,0.3,1.3,6.92
146,Florian Thauvin Marseille,29, M(CLR),FW,25(6),2096,8,3,2.6,1.0,1.5,1.1,0.2,2.7,2,6.92
147,Florian Marange Sochaux,36, D(CL),,15,1345,1,-,0.7,0.7,0.3,0.6,0.1,0.4,0.3,6.92
148,Issiaga Sylla Toulouse,28, D(LR),M(L),26(6),2445,3,1,0.9,0.7,0.8,0.6,0.3,1.1,1.3,6.92
149,Bakary Koné Lyon,34, D(C),,18(6),1749,2,1,0.4,0.2,0.1,0.6,-,0.1,0.1,6.92
150,Étienne Didot Toulouse,39, M(C),,28(5),2466,1,3,0.4,1.8,0.4,1.5,0.1,1,1,6.92
151,Uros Spajic Toulouse,29, D(C),,32,2591,-,1,0.5,0.1,0.3,1.6,-,0.4,0.5,6.91
152,Kassim Abdallah Evian,35, D(R),,10(1),891,-,1,0.1,0.8,0.8,0.2,-,0.5,0.1,6.91
153,Geoffrey Kondogbia Monaco,29, D(C),DMC,17(9),1569,1,2,0.7,0.5,1,1.4,-,1.2,0.9,6.9
154,Tongo Doumbia Valenciennes,33, M(C),,34(2),3005,4,3,1.4,0.5,1,1.9,0.1,1.9,1.3,6.9
155,Ali Ahamada Toulouse,31, GK,,21,1890,-,-,-,-,-,0.1,-,-,-,6.9
156,Morgan Sanson Montpellier,28, M(CLR),,28(4),2469,1,2,1,0.9,1.3,1.7,0.1,2.4,1.6,6.9
157,Mevlüt Erdinç Saint-Etienne,35, FW,,19(8),1670,11,2,2.6,0.8,0.4,0.7,0.6,1.1,1.5,6.89
158,Cheick Diabaté Bordeaux,34, FW,,18(7),1692,12,-,2.6,0.6,0.3,1.4,1.1,2,2.4,6.89
159,Salvatore Sirigu PSG,35, GK,,37,3330,-,-,-,-,-,0.1,-,-,-,6.89
160,Majeed Waris Valenciennes,31, AM(LR),FW,16,1388,9,3,2.5,1.3,1.3,2.1,0.6,2.2,2.8,6.89
161,Vincent Aboubakar Lorient,30, AM(R),FW,33(2),2928,16,7,2.5,1.1,1.2,1.1,0.7,3.2,2.3,6.88
162,Wissam Ben Yedder Toulouse,32, AM(C),FW,35(3),3013,16,5,2.3,1,0.4,0.9,0.8,1.8,2.1,6.88
163,Samuel Umtiti Lyon,28, D(CL),,27(1),2344,-,-,0.3,0.1,0.5,0.6,-,0.1,0.3,6.88
164,Jesper Hansen Evian,37, GK,,22,1980,-,-,-,-,-,0.1,-,-,-,6.88
165,Stéphane Ruffier Saint-Etienne,36, GK,,38,3420,-,-,-,-,-,0.1,-,-,-,6.88
166,Dusan Veskovac Toulouse,36, D(C),,14,1260,-,1,-,0.1,0.3,0.6,-,0.1,0.2,6.88
167,Romaric SC Bastia,39, D(C),M(C),32(2),2841,4,3,1,0.9,0.4,1.1,-,0.8,0.6,6.88
168,Antoine Devaux Reims,37, M(C),,30(5),2755,2,1,0.8,0.9,0.3,0.8,-,1,1.1,6.87
169,Banel Nicolita Nantes,37, M(R),,12(5),1051,1,4,0.8,1.2,0.4,1.3,0.5,0.9,1.8,6.87
170,Rémy Riou Nantes,35, GK,,34,3060,-,-,-,-,-,0.2,-,-,-,6.86
171,Jean-Armel Kana-Biyik Rennes,33, D(C),,21,1741,1,-,0.3,0.1,0.5,0.6,-,0.6,0.2,6.86
172,Bafétimbi Gomis Lyon,37, FW,,29(4),2462,14,1,2.6,0.5,0.6,1.5,1.1,1.7,2.8,6.86
173,Anders Konradsen Rennes,32, DMC,,21(3),1823,1,1,0.8,0.5,0.5,0.9,-,1.5,1.5,6.86
174,Eric Abidal Monaco,43, D(C),,26,2311,-,-,0.1,0.1,0.3,0.3,-,0.3,0.2,6.86
175,Nicolas Isimat-Mirin Monaco,30, D(C),,5(1),479,-,-,0.3,-,-,0.5,-,-,-,6.86
176,Rod Fanni Marseille,40, D(CR),,21(1),1845,-,2,0.4,0.4,1,0.5,0.1,0.9,0.7,6.86
177,Anthony Lopes Lyon,32, GK,,32,2822,-,-,-,-,-,0.1,-,-,-,6.86
178,Siaka Tiéné Montpellier,40, D(L),M(L),22(5),1985,4,2,0.9,0.8,0.3,0.9,-,0.5,0.8,6.86
179,Wahbi Khazri SC Bastia,31, M(CLR),FW,26(6),2265,6,2,2.3,1.3,0.9,1.3,0.3,2.5,1.8,6.86
180,Raphaël Guerreiro Lorient,28, D(L),M(CL),33,2970,-,1,0.7,0.7,1.1,0.8,-,1,0.8,6.85
181,Vincent Enyeama Lille,40, GK,,38,3420,-,-,-,-,-,-,-,-,0.1,6.85
182,Serge Gakpé Nantes,35, AM(LR),FW,32(4),2772,8,4,2.2,1.1,1.2,0.9,0.3,1.9,2,6.85
183,Ricardo Faty AC Ajaccio,36, D(C),DMC,19(1),1674,2,3,0.8,0.4,0.6,1.1,-,0.5,1.4,6.85
184,Nicolas Benezet Evian,31, AM(CLR),,18(11),1727,3,2,1,1.2,1,1.5,0.3,1.6,1.4,6.85
185,Maxime Baca Lorient,39, D(LR),,16(4),1540,-,1,0.1,0.5,0.3,1.2,0.1,0.3,0.4,6.85
186,Yann Jouffre Lorient,38, M(CR),FW,27(4),2348,6,7,1.8,1.6,0.5,1,0.1,2.3,1.2,6.85
187,Reynald Lemaître Guingamp,39, D(L),,21(1),1764,-,2,0.1,0.8,0.3,1,-,0.5,0.3,6.85
188,Kévin Olimpa Bordeaux,34, GK,,1(1),140,-,-,-,-,-,-,-,-,-,6.85
189,Ronald Zubar AC Ajaccio,37, D(C),,15,1255,1,-,0.5,0.1,-,1.1,0.1,0.1,0.3,6.85
190,Adrien Rabiot PSG,27, DMC,M(L),12(13),1179,2,-,0.9,0.5,0.4,1.0,-,0.8,0.6,6.85
191,Jaroslav Plasil Bordeaux,40, M(C),,4,347,-,-,1.3,1.0,0.3,1.3,-,0.8,0.8,6.85
192,Oswaldo Vizcarrondo Nantes,38, D(C),,35(1),3113,1,1,0.3,0.2,-,0.4,-,0.1,0.1,6.85
193,Jonathan Mensah Evian,32, D(CR),,22(4),1829,1,-,0.5,0.2,0.1,0.5,-,0.2,0.2,6.85
194,Petrus Boumal Sochaux,29, D(L),DMC,6(1),567,-,-,0.6,0.9,0.6,0.3,-,1.0,1.0,6.84
195,Pavle Ninkov Toulouse,37, D(R),M(R),13(6),1103,-,2,0.6,0.7,1.2,1.0,0.2,0.8,1.7,6.84
196,Prince Oniangué Reims,34, M(C),,29(6),2580,10,2,1.7,0.5,0.3,0.8,0.1,1.0,0.9,6.84
197,John Boye Rennes,35, D(C),,8(2),729,-,-,-,0.1,0.2,0.6,-,0.5,0.5,6.84
198,Olivier Sorlin Evian,43, M(C),,37,3297,-,1,0.5,0.6,0.2,0.6,-,0.4,0.4,6.84
199,Vincent Pajot Rennes,32, M(C),,12(2),1076,1,1,0.7,0.9,0.2,1.4,0.5,0.9,0.8,6.84
200,Gary Kagelmacher Valenciennes,34, D(CR),,31,2753,-,1,0.3,0.1,0.1,0.9,0.1,0.2,0.3,6.83
201,Dorian Lévêque Guingamp,32, D(LR),,13(5),1258,-,-,0.3,0.4,0.4,0.6,0.2,0.6,1.1,6.83
202,Sébastien Corchia Sochaux,32, D(R),M(R),33,2919,3,2,1.3,0.9,0.3,1.9,0.2,0.9,0.9,6.83
203,Nicolas Maurice-Belay Bordeaux,37, M(CL),FW,30(4),2551,3,4,0.9,1.4,1.5,1.2,0.2,1.4,1.4,6.83
204,Ryad Boudebouz SC Bastia,32, M(CLR),FW,27(5),2481,3,6,1.5,2.0,1.0,1.5,0.1,1.7,1.5,6.83
205,Mario Lemina Lorient,29, DMC,,4,311,-,-,1.3,1.0,2.3,1.5,-,3.0,2.0,6.83
206,Benoit Cheyrou Marseille,41, M(C),,21(5),1786,2,-,1.0,0.8,0.8,0.4,-,0.8,0.4,6.83
207,Mathieu Deplagne Montpellier,31, D(CLR),,21(1),1900,-,2,0.3,0.4,0.3,0.7,-,0.3,0.5,6.82
208,Mathieu Peybernes Sochaux,32, D(C),,12(3),1143,-,-,0.2,0.1,0.2,1.3,-,0.1,0.5,6.82
209,Benjamin Angoua Valenciennes,35, D(CR),,15(1),1395,1,-,0.3,0.1,0.1,0.3,0.1,0.3,0.1,6.82
