,name,age,position1,position2,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating
0,Zlatan Ibrahimovic PSG,41, FW,,32(1),2774,11,2.1,44.7,76.4,0.2,2.8,0.3,7.79
1,Loic Perrin Saint-Etienne,37, D(C),,34,2981,1,0.2,38.1,84.9,-,4.3,-,7.73
2,Yassine Jebbour Rennes,31, D(LR),,2,180,1,2.0,49.5,85.9,1,2.0,-,7.61
3,Nemanja Pejcinovic Nice,35, D(CR),,14(1),1324,-,0.1,50.5,87.2,-,4.3,-,7.52
4,Jérémy Toulalan Monaco,39, D(C),M(C),29,2504,1,0.4,65.7,82.6,0.1,3.4,0.1,7.51
5,Mathieu Bodmer Nice,39, D(C),M(C),27,2306,1,0.3,46.1,84.0,-,5.4,-,7.48
6,Layvin Kurzawa Monaco,30, D(L),M(L),28,2406,3,0.7,36.4,77.4,0.9,1.0,-,7.44
7,James Rodríguez Monaco,31, AM(CLR),FW,30(4),2644,12,2.5,46.2,81.1,1.5,3.3,0.3,7.44
8,Sèrge Aurier Toulouse,29, D(CLR),M(R),34,3045,6,1.0,46.4,76.8,1.1,1.6,0.1,7.42
9,Thiago Silva PSG,38, D(C),,28,2386,-,0.2,66.3,92.7,-,7.1,-,7.42
10,Aristote Ndongala Nantes,28, Midfielder,,1,90,-,-,37.0,62.2,-,2.0,-,7.39
11,Marko Basa Lille,39, D(C),,32,2789,2,0.4,41.2,91.1,-,2.9,-,7.38
12,Christophe Jallet PSG,39, D(LR),M(L),13,1085,-,1.5,50.3,89.0,0.9,2.0,-,7.37
13,Faouzi Ghoulam Saint-Etienne,31, D(L),,16(1),1466,4,0.8,29.7,72.1,0.7,1.4,0.1,7.36
14,Rémy Cabella Montpellier,32, M(CLR),FW,36(1),3206,5,2.2,41.0,79.5,1.4,1.2,0.2,7.36
15,Grégory Sertic Bordeaux,33, D(C),M(C),29(1),2582,10,1.7,50.0,85.7,1.2,5.3,-,7.36
16,Grzegorz Krychowiak Reims,32, D(C),M(C),33(2),2830,1,0.6,49.2,80.3,0.1,4.8,-,7.34
17,João Moutinho Monaco,36, M(C),,31,2564,8,1.9,63.6,85.8,1.5,4.5,0.3,7.3
18,Lucas Digne PSG,29, D(CL),M(L),15,1336,1,1,47.1,90.7,0.8,1.3,0.1,7.3
19,Idrissa Gueye Lille,33, M(C),,37,3330,1,0.9,56.8,85.8,0.2,3.2,-,7.29
20,David Ospina Nice,34, GK,,29,2572,-,-,14.3,61.8,-,3.1,-,7.28
21,Thiago Motta PSG,40, M(C),,31(1),2544,2,1.5,85.9,92.5,0.8,6.6,0.2,7.28
22,André Ayew Marseille,32, M(CLR),FW,24(1),2121,3,1.1,37.7,79.1,0.3,1.0,-,7.28
23,Florent Chaigneau Lorient,38, GK,,11(1),962,-,-,12.5,49.3,-,3.5,-,7.27
24,Simon Kjaer Lille,33, D(C),,34,3036,1,0.2,42.1,78.3,-,6.4,0.1,7.27
25,Papy Djilobodji Nantes,33, D(C),DMC,28,2426,-,0.1,37.8,75.3,0.1,4.2,-,7.26
26,Souleymane Diawara Marseille,43, D(C),,19(1),1708,-,0.3,34.5,85.2,0.1,3.6,-,7.26
27,Nicolas Douchez PSG,42, GK,,1,90,-,-,13.0,92.3,-,1.0,-,7.26
28,Moustapha Bayal Sall Saint-Etienne,36, D(C),,31(1),2815,1,0.3,39.1,83.3,-,4.4,-,7.24
29,Bruno Ecuele Manga Lorient,34, D(CR),,35,3085,-,-,34.6,77.9,-,3.3,-,7.23
30,Gueida Fofana Lyon,31, D(R),DMC,24(1),2137,1,0.7,53.4,86.2,0.2,3.5,0.2,7.23
31,Maxime Gonalons Lyon,33, D(C),M(C),36,3188,2,0.6,51.8,87.4,-,7.0,-,7.23
32,Lamine Sané Bordeaux,35, D(C),M(C),36,3240,-,0.1,40.8,84.9,-,5.2,-,7.22
33,Jérémy Morel Marseille,38, D(CL),,20,1666,1,1.0,36.8,81.0,0.9,2.3,-,7.22
34,Lucas Moura PSG,30, AM(CLR),FW,18(18),1936,11,1.5,24.4,86.6,1,0.6,0.1,7.22
35,Maxwell PSG,41, D(L),,23(1),2089,2,1.4,61.0,89.1,0.9,2.0,-,7.22
36,Stoppila Sunzu Sochaux,33, D(C),,17,1530,1,0.2,25.0,71.5,-,2.1,-,7.21
37,Sylvain Armand Rennes,42, D(CL),,32,2796,-,0.2,45.1,85.4,-,4.6,-,7.21
38,Clément Grenier Lyon,31, M(CL),,26(2),2249,5,1.9,48.9,77.1,1.5,3.7,-,7.19
39,Marco Verratti PSG,30, M(C),,23(6),1996,4,0.8,77.7,91.3,0.1,6.3,0.2,7.19
40,Théo Pellenard Bordeaux,28, D(L),,3,270,-,1.0,49.7,80.5,1,2.7,-,7.18
41,Lucas Mendes Marseille,32, D(CL),,21(1),1893,1,0.1,36.8,87.8,-,3.9,-,7.18
42,Ola Toivonen Rennes,36, AM(C),FW,14(1),1234,1,1.2,24.6,74.0,-,1.8,0.3,7.18
43,Nicolas Nkoulou Marseille,32, D(C),,37,3330,-,0.1,34.9,88.2,-,3.8,-,7.18
44,Dimitar Berbatov Monaco,41, AM(C),FW,9(3),767,4,1.2,24.7,77.4,0.3,0.3,0.1,7.17
45,Franck Béria Lille,39, D(CLR),,26,2245,-,0.5,36.6,72.7,0.4,0.6,-,7.17
46,Edinson Cavani PSG,35, AM(LR),FW,25(5),2299,2,0.8,23.9,85.5,0.3,0.9,0.1,7.16
47,Ryad Boudebouz Sochaux,32, M(CLR),FW,2,180,-,1.5,40.0,76.3,3,3.0,-,7.15
48,Hilton Montpellier,45, D(C),,30,2655,-,0.1,33.2,68.7,-,5.3,-,7.14
49,Sébastien Squillaci SC Bastia,42, D(C),,31,2751,-,0.2,31.7,82.0,-,2.7,-,7.13
50,Alexandre Lacazette Lyon,31, M(CLR),FW,35(1),2910,3,1.1,21.3,77.0,0.4,0.7,-,7.13
51,Olivier Veigneau Nantes,37, D(L),,24(3),2180,1,0.6,30.3,71.3,0.3,1.0,0.2,7.13
