,name,age,position1,position2,Apps,Mins,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,Rating
0,Neymar PSG,30, AM(CLR),FW,20,1788,19,13,4.5,3.5,7.1,5.2,0.5,2.9,3.4,8.95
1,Florian Thauvin Marseille,29, M(CLR),FW,35,2966,22,11,3.7,2.2,3.4,1.5,0.5,2.5,2.3,7.93
2,Nabil Fekir Lyon,29, AM(CLR),FW,28(2),2481,18,8,3,2,3,3.5,0.6,2.5,2.4,7.86
3,Adama Traoré Monaco,27, M(CR),,2(1),189,3,-,2,0.3,1,2.0,-,1.7,2,7.77
4,Edinson Cavani PSG,35, AM(LR),FW,30(2),2589,28,6,3.3,1.2,0.5,0.6,0.8,0.4,1.1,7.69
5,Jean-Christophe Bouet Amiens,39, Goalkeeper,,1,90,-,-,-,-,-,1.0,-,-,-,7.69
6,Kylian Mbappé PSG,23, AM(LR),FW,24(3),2097,13,8,2.9,1.9,2.9,1.4,0.9,2.2,2.4,7.54
7,Dimitri Payet Marseille,35, M(CLR),FW,28(3),2358,6,13,1.9,3.9,1.5,1.7,0.1,1.6,1.7,7.54
8,Mathieu Debuchy Saint-Etienne,37, D(CR),M(R),15,1316,4,-,1.3,0.9,0.4,0.9,0.1,0.7,1.5,7.53
9,Fabinho Monaco,29, D(CR),DMC,34,3060,7,3,0.7,1.1,1.1,1.9,-,0.6,0.7,7.51
10,Kylian Mbappé Monaco,23, AM(LR),FW,1,75,-,-,3,-,4,1,2,1,1.0,7.51
11,Malcom Bordeaux,25, AM(CLR),,32(3),2867,12,7,2.1,2.5,2.7,2.6,0.2,1.9,2.1,7.46
12,Dani Alves PSG,39, D(R),M(CR),23(2),2063,1,7,1.1,1.9,1.1,1.4,0.2,1.2,0.8,7.45
13,Bertrand Traoré Lyon,27, AM(R),FW,27(4),2292,13,4,2.6,0.8,1.7,1.1,0.3,1.3,2.5,7.43
14,Tanguy Ndombélé Amiens,25, M(C),,3,237,-,-,1.7,1.3,4.7,1.7,-,2.7,2.0,7.43
15,Houssem Aouar Lyon,24, M(CL),,27(5),2438,6,5,1.6,1.2,2.6,1.4,0.2,1.7,1.6,7.41
16,Memphis Depay Lyon,28, AM(CL),FW,28(8),2564,19,13,2.9,2.1,1.6,1.4,0.3,1.8,2.5,7.4
17,David Alcibiade Nantes,31, Defender,,2(1),207,-,1,0.7,0.7,-,0.7,0.3,0.3,0.3,7.38
18,Ángel Di María PSG,34, M(CLR),FW,26(4),2122,11,6,3.2,1.7,1.6,0.5,0.5,1.1,1.4,7.37
19,Enock Kwateng Nantes,25, D(CR),M(R),1,90,-,-,-,-,-,-,-,-,1.0,7.35
20,Rémy Cabella Saint-Etienne,32, M(CLR),FW,25(1),2261,7,6,2.2,1.9,2.4,2.6,0.2,2.4,1.8,7.34
21,Seydou Sy Monaco,26, GK,,2(1),256,-,-,-,-,-,-,-,-,-,7.34
22,Jorge Monaco,26, D(L),M(L),22,1922,1,2,0.3,0.6,1,2,0.1,1,1.5,7.32
23,Naïm Sliti Dijon,30, AM(CL),,26(5),2297,7,6,1.9,1.9,3.4,2.1,0.3,2.3,2.4,7.31
24,Jessy Moulin Saint-Etienne,36, GK,,3(1),304,-,-,-,-,-,0.5,-,-,-,7.3
25,Marco Verratti PSG,30, M(C),,20(2),1724,-,3,0.3,1.3,1.9,2.4,-,1.6,0.9,7.28
26,Benjamin André Rennes,32, D(R),M(CLR),34,3016,3,3,0.9,1,1,1.4,-,1.6,1.9,7.26
27,Tanguy Ndombélé Lyon,25, M(C),,28(4),2364,-,6,0.8,1.4,2.5,2.2,-,1.5,1.8,7.25
28,Mario Balotelli Nice,32, FW,,26(2),2279,18,1,3.9,1.2,1.1,2.6,0.8,1.6,1.9,7.24
29,Júlio Tavares Dijon,33, AM(LR),FW,23(3),2056,12,2,2,1,0.4,1.1,0.5,0.7,2,7.22
30,Luiz Gustavo Marseille,35, D(C),M(C),34,3023,5,1,1.7,0.4,1.1,1.2,-,0.8,0.7,7.22
31,Maxime Poundjé Bordeaux,30, D(L),,19,1704,-,1,0.8,0.8,1.8,0.7,0.2,0.9,0.9,7.21
32,Nordi Mukiele Montpellier,25, D(CR),M(R),31(2),2791,-,1,0.6,1.1,1.2,2.0,-,0.8,1.3,7.2
33,Marcelo Lyon,35, D(C),,35,3107,3,1,0.6,0.2,0.1,0.2,-,0.1,0.4,7.18
34,Dimitri Liénard Strasbourg,34, D(L),M(CL),29(4),2606,5,5,1.6,1.8,1.0,1.1,-,1.4,1.7,7.17
35,Yuri Berchiche PSG,32, D(L),M(L),19(3),1714,2,4,0.5,0.7,0.6,1.3,0.1,0.3,0.9,7.16
36,Benjamin Bourigeaud Rennes,28, M(CLR),,35(2),3106,10,7,1.8,2.6,0.6,0.4,0.1,1.0,1.4,7.16
37,Clément Grenier Guingamp,31, M(CL),,14(1),1211,5,4,1.8,2.3,1.5,1.1,0.1,1.3,1.9,7.16
38,Radamel Falcao Monaco,36, FW,,25(1),2140,18,4,2.7,0.6,0.7,1.9,0.3,2.2,3.3,7.15
39,Mariano Díaz Lyon,29, FW,,30(4),2518,18,4,2.9,0.9,0.9,0.3,0.7,1.4,1.8,7.15
40,Allan Saint-Maximin Nice,25, AM(CLR),FW,26(4),2265,3,7,1.3,1.5,3.6,1.3,0.2,2.5,2,7.15
41,Jordan Amavi Marseille,28, D(L),M(L),24(3),2192,-,6,0.7,0.8,1.6,0.8,-,1,1.1,7.15
42,Djibril Sidibé Monaco,30, D(CLR),M(R),25(2),2157,2,7,0.7,1.2,0.8,1.4,-,0.7,1.4,7.14
43,Anthony Walongwa Nantes,29, D(C),,1,90,-,-,-,-,-,-,-,-,-,7.14
44,Alassane Plea Nice,29, AM(CLR),FW,34(1),3042,16,5,3.1,0.9,1.9,1.7,0.4,1.7,1.8,7.14
45,Matthieu Dossevi Metz,34, M(CR),FW,30,2516,1,11,1.1,2.9,2.4,1.2,0.2,1.8,3.1,7.13
46,Frédéric Guilbert Caen,27, D(CLR),M(R),36,3240,1,2,0.4,0.4,0.6,1,-,1.1,1.2,7.13
47,Ellyes Skhiri Montpellier,27, DMC,,35,3052,4,1,1.1,0.9,1.1,0.9,-,0.6,0.9,7.13
48,Max-Alain Gradel Toulouse,34, M(CLR),FW,27(2),2418,8,1,2.4,1.6,2.7,1.6,0.3,2.1,3.3,7.13
49,Gaël Kakuta Amiens,31, M(CLR),FW,36,3092,6,6,1.5,1.8,2.5,1.8,0.2,3.5,3,7.12
50,Layvin Kurzawa PSG,30, D(L),M(L),19(1),1707,2,1,1.1,0.6,0.9,0.6,-,0.8,1.4,7.12
51,Léo Dubois Nantes,28, D(LR),M(R),34,3025,3,4,1.3,1.7,1.1,0.9,0.1,0.9,1.5,7.12
52,Kamil Glik Monaco,34, D(C),,36,3240,3,3,0.7,0.2,0.1,0.9,0.1,0.1,0.3,7.12
53,Hamari Traoré Rennes,30, D(R),M(R),30,2640,-,1,0.5,0.6,0.8,1.2,0.1,0.2,1.0,7.12
