,name,age,position1,position2,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating
0,Neymar PSG,30, AM(CLR),FW,20,1788,13,3.5,66.8,79.6,1.1,2.1,1.1,8.95
1,Florian Thauvin Marseille,29, M(CLR),FW,35,2966,11,2.2,45.8,78.2,1.2,1.5,0.3,7.93
2,Nabil Fekir Lyon,29, AM(CLR),FW,28(2),2481,8,2,37.9,85.3,1.3,1.0,0.1,7.86
3,Adama Traoré Monaco,27, M(CR),,2(1),189,-,0.3,24.0,84.7,-,1.0,0.3,7.77
4,Edinson Cavani PSG,35, AM(LR),FW,30(2),2589,6,1.2,15.9,80.2,-,0.4,0.2,7.69
5,Jean-Christophe Bouet Amiens,39, Goalkeeper,,1,90,-,-,26.0,42.3,-,8.0,-,7.69
6,Kylian Mbappé PSG,23, AM(LR),FW,24(3),2097,8,1.9,24.7,83.1,0.4,0.3,0.3,7.54
7,Dimitri Payet Marseille,35, M(CLR),FW,28(3),2358,13,3.9,45.3,80.6,2.5,3.0,0.6,7.54
8,Mathieu Debuchy Saint-Etienne,37, D(CR),M(R),15,1316,-,0.9,37.9,74.5,0.9,1.3,-,7.53
9,Fabinho Monaco,29, D(CR),DMC,34,3060,3,1.1,58.2,86.3,0.1,4.7,0.1,7.51
10,Kylian Mbappé Monaco,23, AM(LR),FW,1,75,-,-,27.0,70.4,-,1.0,-,7.51
11,Malcom Bordeaux,25, AM(CLR),,32(3),2867,7,2.5,38.6,82.1,1.5,1.8,0.1,7.46
12,Dani Alves PSG,39, D(R),M(CR),23(2),2063,7,1.9,72.0,87.8,1.2,4.2,0.3,7.45
13,Bertrand Traoré Lyon,27, AM(R),FW,27(4),2292,4,0.8,32.2,82.7,0.1,1.2,0.1,7.43
14,Tanguy Ndombélé Amiens,25, M(C),,3,237,-,1.3,36.7,78.2,-,1.7,0.3,7.43
15,Houssem Aouar Lyon,24, M(CL),,27(5),2438,5,1.2,48.5,85.6,-,1.4,0.2,7.41
16,Memphis Depay Lyon,28, AM(CL),FW,28(8),2564,13,2.1,31.0,79.7,1.3,0.9,0.1,7.4
17,David Alcibiade Nantes,31, Defender,,2(1),207,1,0.7,23.7,73.2,0.3,2.0,0.3,7.38
18,Ángel Di María PSG,34, M(CLR),FW,26(4),2122,6,1.7,35.9,79.4,1.1,1.9,0.2,7.37
19,Enock Kwateng Nantes,25, D(CR),M(R),1,90,-,-,33.0,63.6,-,1.0,-,7.35
20,Rémy Cabella Saint-Etienne,32, M(CLR),FW,25(1),2261,6,1.9,56.7,82.3,0.6,2.1,0.2,7.34
21,Seydou Sy Monaco,26, GK,,2(1),256,-,-,26.3,60.8,-,8.0,-,7.34
22,Jorge Monaco,26, D(L),M(L),22,1922,2,0.6,34.0,77.8,0.6,1.5,-,7.32
23,Naïm Sliti Dijon,30, AM(CL),,26(5),2297,6,1.9,25.6,73.1,1.1,1.2,0.1,7.31
24,Jessy Moulin Saint-Etienne,36, GK,,3(1),304,-,-,31.3,52.8,-,8.8,-,7.3
25,Marco Verratti PSG,30, M(C),,20(2),1724,3,1.3,92.7,91.2,0.1,4.9,0.5,7.28
26,Benjamin André Rennes,32, D(R),M(CLR),34,3016,3,1,54.6,79.0,0.1,2.2,-,7.26
27,Tanguy Ndombélé Lyon,25, M(C),,28(4),2364,6,1.4,47.3,89.4,0.1,1.4,0.2,7.25
28,Mario Balotelli Nice,32, FW,,26(2),2279,1,1.2,27.4,76.5,0.1,1.9,0.2,7.24
29,Júlio Tavares Dijon,33, AM(LR),FW,23(3),2056,2,1,20.1,60.3,0.1,0.1,-,7.22
30,Luiz Gustavo Marseille,35, D(C),M(C),34,3023,1,0.4,57.1,89.9,0.1,3.3,-,7.22
31,Maxime Poundjé Bordeaux,30, D(L),,19,1704,1,0.8,35.2,78.6,0.7,1.4,0.1,7.21
32,Nordi Mukiele Montpellier,25, D(CR),M(R),31(2),2791,1,1.1,45.5,78.7,0.7,3.0,0.1,7.2
33,Marcelo Lyon,35, D(C),,35,3107,1,0.2,63.7,87.6,-,5.9,-,7.18
34,Dimitri Liénard Strasbourg,34, D(L),M(CL),29(4),2606,5,1.8,41.6,79.9,2.3,4.2,-,7.17
35,Yuri Berchiche PSG,32, D(L),M(L),19(3),1714,4,0.7,45.7,89.4,0.4,0.8,-,7.16
36,Benjamin Bourigeaud Rennes,28, M(CLR),,35(2),3106,7,2.6,39.8,80.2,2.4,2.3,-,7.16
37,Clément Grenier Guingamp,31, M(CL),,14(1),1211,4,2.3,44.7,74.6,1.4,2.5,0.1,7.16
38,Radamel Falcao Monaco,36, FW,,25(1),2140,4,0.6,21.2,78.8,0.1,0.2,-,7.15
39,Mariano Díaz Lyon,29, FW,,30(4),2518,4,0.9,13.8,72.3,-,0.1,0.1,7.15
40,Allan Saint-Maximin Nice,25, AM(CLR),FW,26(4),2265,7,1.5,27.8,78.5,0.5,0.9,-,7.15
41,Jordan Amavi Marseille,28, D(L),M(L),24(3),2192,6,0.8,40.7,83.6,0.4,1.8,0.1,7.15
42,Djibril Sidibé Monaco,30, D(CLR),M(R),25(2),2157,7,1.2,51.0,85.3,0.4,1.5,0.1,7.14
43,Anthony Walongwa Nantes,29, D(C),,1,90,-,-,19.0,68.4,-,1.0,-,7.14
44,Alassane Plea Nice,29, AM(CLR),FW,34(1),3042,5,0.9,29.1,79.6,-,1.0,0.1,7.14
45,Matthieu Dossevi Metz,34, M(CR),FW,30,2516,11,2.9,28.7,78.4,2.6,1.1,-,7.13
46,Frédéric Guilbert Caen,27, D(CLR),M(R),36,3240,2,0.4,29.5,74.9,0.7,1.9,-,7.13
