,name,age,position1,position2,Apps,Mins,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,Rating
0,Kylian Mbappé PSG,23, AM(LR),FW,34(1),3032,28,17,4.2,2.0,3.2,1.5,1.1,1.6,3.2,8.04
1,Andy Delort Montpellier,30, AM(R),FW,3,270,2,1,4.7,3.0,0.3,1.0,-,0.7,3.3,7.82
2,Lionel Messi PSG,35, AM(CR),FW,24(2),2153,6,14,3.4,2.4,2.5,1.3,0.4,1.6,1.8,7.77
3,Neymar PSG,30, AM(CLR),FW,22,1861,13,6,2.5,2.8,2.6,3.2,0.5,3.0,3.7,7.65
4,Tetê Lyon,22, AM(R),,7(2),585,2,5,1.9,1.4,2.4,2.0,0.3,1.2,1.6,7.48
5,Gaëtan Laborde Montpellier,28, AM(CLR),FW,4,342,3,-,3.5,1.0,0.3,0.8,-,0.8,2.0,7.47
6,Benjamin Bourigeaud Rennes,28, M(CLR),,38,3215,11,12,1.3,3.2,0.2,0.2,0.1,0.5,1.1,7.44
7,Dimitri Payet Marseille,35, M(CLR),FW,28(3),2597,12,10,2.2,3.2,0.9,1.4,0.1,1.1,1.4,7.44
8,Martin Terrier Rennes,25, AM(CL),FW,37,2805,21,3,2.4,1.1,0.8,1.1,0.2,0.6,1.6,7.41
9,Téji Savanier Montpellier,30, M(C),,28(1),2422,8,7,2.8,2.1,2.6,2.7,0.1,1.2,2.9,7.4
10,Mamadou Mbow Reims,22, Defender,,1,90,-,-,-,-,1,-,-,-,-,7.33
11,Aurélien Tchouaméni Monaco,22, DMC,,33(2),2933,3,2,1.6,0.6,1.1,1.7,0.1,0.9,0.5,7.32
12,Sofiane Boufal Angers,28, AM(CLR),FW,28(1),2345,8,4,2.2,1.9,3.1,2.8,0.5,2.6,3.8,7.27
13,Danilo Barbosa Nice,26, D(C),DMC,1,90,-,-,-,-,-,-,-,-,4,7.26
14,Lucas Paquetá Lyon,25, AM(CR),FW,32(3),2713,9,6,2.5,1.2,2.3,1.8,0.2,2.2,3.2,7.24
15,Jonathan Clauss Lens,29, D(R),M(R),35(2),3063,5,11,1.1,2,0.8,0.4,0.1,0.4,1.3,7.22
16,Marco Verratti PSG,29, M(C),,23(1),1951,2,2,0.3,1.3,1.9,2,-,0.9,1.2,7.21
17,Bruno Guimarães Lyon,24, DMC,,19(1),1642,-,3,0.6,1.8,1.9,3,0.1,1.4,1.3,7.21
18,Moussa Dembele Lyon,26, FW,,25(5),2209,21,4,2.9,0.9,0.8,0.6,0.3,1.5,3.1,7.21
19,Romain Faivre Brest,24, AM(CLR),,20(1),1801,7,5,1.8,1.8,2,1.3,-,1.5,2.8,7.2
