,name,age,position1,position2,Apps,Mins,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Rating
0,Hernanes Inter,37, M(C),,13(1),1142,2.5,0.9,1.6,-,0.4,0.5,0.2,-,7.76
1,Albano Bizzarri Genoa,44, GK,,1,90,-,-,-,-,-,-,-,-,7.76
2,Juan Cuadrado Fiorentina,34, D(R),M(CLR),31(1),2702,1.8,0.8,1.3,-,0.5,1,-,-,7.71
3,Paul Pogba Juventus,29, M(CL),,33(3),3068,2.3,1,2.4,-,1.1,1,0.2,-,7.65
4,Giorgio Chiellini Juventus,38, D(C),,31,2775,2.5,2.1,1.3,0.4,4.7,0.9,0.5,-,7.62
5,Carlos Tevez Juventus,38, AM(CL),FW,30(4),2605,1,0.1,0.9,-,0.1,0.5,-,-,7.62
6,Medhi Benatia Roma,35, D(C),,32(1),2860,2.1,2.8,1.8,0.5,6.3,0.3,0.6,-,7.59
7,Andrea Pirlo Juventus,43, M(C),,29(1),2467,1.4,1.3,0.8,-,0.5,1.6,0.2,-,7.56
8,Marco Sportiello Atalanta,30, GK,,3,270,0.3,-,-,-,1,-,-,-,7.54
9,Miralem Pjanic Roma,32, M(C),,32(3),2704,2.1,1.2,1.4,-,0.5,1.3,0.1,-,7.54
10,Alessandro Lucarelli Parma Calcio 1913,45, D(C),,34,3005,2.9,2.9,1.9,0.8,7.4,0.9,0.8,-,7.52
11,Adel Taarabt AC Milan,33, M(CL),FW,12(2),1080,0.9,0.6,1.1,-,-,1.2,-,-,7.47
12,Arturo Vidal Juventus,35, M(CR),,28(4),2441,4.1,1.2,2.3,0.1,0.5,1.7,0.1,-,7.46
13,Alessandro Diamanti Bologna,39, M(CR),FW,19,1688,2.4,0.5,2.2,-,0.6,0.9,0.1,-,7.43
14,Kevin Strootman Roma,32, DMC,,24(1),2005,3.3,1.1,1.5,-,1.5,2.0,0.3,-,7.42
15,Rodrigo Palacio Inter,40, AM(CLR),FW,36(1),3170,1.1,0.4,0.8,-,1,0.6,-,-,7.41
16,Hugo Campagnaro Inter,42, D(CR),,20(1),1729,2.0,2.8,0.5,0.4,4.7,1.0,0.4,-,7.41
17,Ricardo Álvarez Inter,34, M(CR),,25(4),2115,2.5,0.6,1.6,-,0.5,0.7,-,-,7.4
18,Daniele De Rossi Roma,39, D(C),M(C),31(1),2724,1.6,2.3,0.9,-,2.4,0.9,0.8,-,7.4
19,Giuseppe Rossi Fiorentina,35, FW,,19(2),1527,0.7,0.3,0.6,-,0.1,0.3,0.1,-,7.38
20,Pavol Bajza Parma Calcio 1913,31, Goalkeeper,,2(1),221,-,-,-,-,0.7,-,-,-,7.36
21,Gervinho Roma,35, M(LR),FW,30(3),2730,0.8,0.5,0.3,-,0.1,0.4,-,-,7.35
