,name,age,position1,position2,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating
0,Hernanes Inter,37, M(C),,13(1),1142,4,2.6,46.4,83.7,1.6,3.1,0.1,7.76
1,Albano Bizzarri Genoa,44, GK,,1,90,-,-,34.0,61.8,-,9.0,-,7.76
2,Juan Cuadrado Fiorentina,34, D(R),M(CLR),31(1),2702,5,1.9,39.8,85.6,0.6,2.0,0.1,7.71
3,Paul Pogba Juventus,29, M(CL),,33(3),3068,7,1.4,42.4,83.8,0.4,2.6,0.3,7.65
4,Giorgio Chiellini Juventus,38, D(C),,31,2775,3,0.6,68.3,91.0,-,5.2,-,7.62
5,Carlos Tevez Juventus,38, AM(CL),FW,30(4),2605,7,1.7,30.4,82.0,0.5,1.1,0.1,7.62
6,Medhi Benatia Roma,35, D(C),,32(1),2860,-,0.1,48.6,88.6,-,3.3,-,7.59
7,Andrea Pirlo Juventus,43, M(C),,29(1),2467,6,2.3,69.0,88.5,2.1,9.6,0.4,7.56
8,Marco Sportiello Atalanta,30, GK,,3,270,-,-,26.0,50.0,-,9.0,-,7.54
9,Miralem Pjanic Roma,32, M(C),,32(3),2704,6,2.1,63.0,88.3,0.7,3.4,0.3,7.54
10,Alessandro Lucarelli Parma Calcio 1913,45, D(C),,34,3005,-,0.1,45.3,86.1,0.1,4.4,-,7.52
11,Adel Taarabt AC Milan,33, M(CL),FW,12(2),1080,1,1.4,40.9,85.0,0.5,3.4,0.2,7.47
12,Arturo Vidal Juventus,35, M(CR),,28(4),2441,5,1.5,46.0,83.7,0.3,3.7,0.2,7.46
13,Alessandro Diamanti Bologna,39, M(CR),FW,19,1688,2,2.6,38.1,73.9,2.4,3.6,-,7.43
14,Kevin Strootman Roma,32, DMC,,24(1),2005,6,1.9,58.7,88.4,0.3,2.9,0.2,7.42
15,Rodrigo Palacio Inter,40, AM(CLR),FW,36(1),3170,7,1.3,29.9,80.4,0.4,1.2,0.1,7.41
16,Hugo Campagnaro Inter,42, D(CR),,20(1),1729,2,0.6,52.7,87.1,0.3,4.1,-,7.41
17,Ricardo Álvarez Inter,34, M(CR),,25(4),2115,8,1.7,36.1,88.6,1.1,1.9,0.1,7.4
18,Daniele De Rossi Roma,39, D(C),M(C),31(1),2724,1,0.9,73.8,89.4,-,9.6,0.2,7.4
19,Giuseppe Rossi Fiorentina,35, FW,,19(2),1527,3,1.2,21.5,82.5,0.2,0.7,0.2,7.38
20,Pavol Bajza Parma Calcio 1913,31, Goalkeeper,,2(1),221,-,-,18.0,42.6,-,4.3,-,7.36
21,Gervinho Roma,35, M(LR),FW,30(3),2730,10,1.5,27.2,85.6,0.1,0.3,0.1,7.35
22,Giandomenico Mesto Napoli,40, D(R),M(R),10(1),824,-,0.5,34.2,85.6,0.3,2.5,-,7.35
23,Marco Parolo Parma Calcio 1913,37, M(C),,36,3195,6,1.2,38.2,80.7,0.2,1.9,0.1,7.34
24,Antonio Candreva Lazio,35, M(CLR),,35(2),3082,6,2.1,34.5,83.2,1.9,2.8,0.1,7.34
25,Bryan Cristante AC Milan,27, D(C),M(C),2(1),150,1,1,28.7,84.9,0.3,3.3,-,7.33
26,Dejan Stojanovic Bologna,29, GK,,1,90,-,-,51.0,31.4,-,7.0,-,7.33
27,Allan Udinese,31, DMC,,30(3),2645,3,1.1,46.1,83.8,0.2,4.4,0.1,7.33
28,Stefan Savic Fiorentina,31, D(C),,31,2790,-,0.1,57.0,89.2,-,3.8,-,7.32
29,Francesco Totti Roma,46, AM(CL),FW,20(6),1675,10,2.5,40.3,78.4,1,4.8,0.4,7.32
30,Radja Nainggolan Roma,34, M(C),,16(1),1418,3,1.2,67.7,88.1,0.1,7.2,0.3,7.32
31,Luca Antei Sassuolo,30, D(C),,22,1933,1,0.2,29.5,74.4,-,2.1,-,7.32
32,Juan Iturbe Verona,29, AM(LR),,29(4),2508,4,1.2,20.4,73.3,0.8,0.5,0.2,7.31
33,Castán Roma,36, D(C),,36,3148,1,0.2,48.1,88.2,-,4.3,-,7.31
34,Mario Balotelli AC Milan,32, FW,,25(5),2294,6,1.1,21.0,72.5,0.2,0.9,-,7.31
35,Luca Cigarini Atalanta,36, M(C),,28(5),2500,7,2.4,61.0,83.9,2,6.1,0.2,7.31
36,Juan Camilo Zuñiga Napoli,36, D(LR),M(L),4(2),409,2,1.5,51.3,88.6,0.2,1.3,-,7.3
37,Kwadwo Asamoah Juventus,33, D(L),M(CL),32(2),2761,3,1.1,36.4,84.7,0.4,1.8,-,7.3
38,Luca Toni Verona,45, FW,,34,3010,7,0.9,17.9,60.9,0.1,0.2,0.1,7.3
39,Miguel Britos Napoli,37, D(CL),,15(1),1315,-,0.1,51.1,88.0,-,5.1,-,7.3
40,Radja Nainggolan Cagliari,34, M(C),,17,1528,-,1.2,53.6,83.9,0.3,6.1,0.1,7.29
41,Esteban Cambiasso Inter,42, D(C),M(C),32,2713,2,1.3,49.1,83.1,0.5,5.1,0.1,7.29
42,Riccardo Montolivo AC Milan,37, M(C),,27(2),2413,4,1.5,61.2,85.1,0.8,8.4,0.1,7.29
43,Alessio Cerci Torino,35, M(R),FW,35(2),3018,10,1.6,20.0,74.4,1.3,0.9,0.2,7.29
44,Jorginho Verona,30, DMC,,18,1611,3,1.4,63.3,86.1,0.2,5.1,-,7.28
45,Adil Rami AC Milan,36, D(C),,16(2),1484,1,0.2,40.2,86.0,0.2,8.2,-,7.28
46,Gonzalo Rodríguez Fiorentina,38, D(C),,33,2942,1,0.4,50.6,85.8,-,7.2,0.1,7.27
47,Federico Balzaretti Roma,40, D(L),,10(1),914,-,0.3,49.1,88.9,0.6,1.9,-,7.27
48,Nicola Sansone Sassuolo,31, AM(LR),FW,10(2),913,3,0.8,19.4,74.2,0.3,0.8,0.2,7.27
49,Walter Samuel Inter,44, D(C),,13(1),1169,-,0.3,50.4,85.2,0.1,6.3,-,7.26
50,Boukary Dramé Chievo,37, D(L),M(L),26,2181,3,0.8,34.7,79.7,0.5,1.4,-,7.26
51,Cristián Zapata AC Milan,36, D(C),,20,1793,-,0.2,49.2,89.2,-,6.8,-,7.26
52,Fredy Guarín Inter,36, M(CR),,26(6),2209,6,1.4,28.7,71.1,0.9,1.9,0.1,7.26
53,Andrea Ranocchia Inter,34, D(C),,23(1),2098,-,-,37.4,83.9,-,3.5,-,7.25
54,Giuseppe Vives Torino,42, DMC,M(L),33,2826,2,0.9,53.6,85.6,0.1,6.6,0.2,7.25
55,Shkodran Mustafi Sampdoria,30, D(CR),,32(1),2834,1,0.3,40.4,83.6,0.1,4.1,-,7.24
56,Gökhan Inler Napoli,38, DMC,,30(2),2632,2,0.8,63.5,86.8,-,5.7,0.1,7.24
57,Davide Astori Cagliari,35, D(C),,34,3016,2,0.2,51.6,84.2,0.1,6.0,-,7.23
58,Thomas Manfredini Genoa,42, D(C),,15,1249,-,0.1,36.4,84.2,0.1,4.5,-,7.23
59,Philippe Mexes AC Milan,40, D(C),,22,1942,-,0.2,51.0,87.9,-,9.4,-,7.23
60,Fernando Llorente Juventus,37, FW,,29(5),2504,5,1.5,24.9,72.5,-,0.8,0.1,7.21
61,Borja Valero Fiorentina,37, M(CL),,31(1),2752,9,2.5,59.9,87.8,1.2,4.3,0.2,7.21
62,Juan Jesus Inter,31, D(CL),,27,2354,-,0.3,45.7,79.6,0.2,3.5,-,7.21
63,Dries Mertens Napoli,35, AM(CLR),FW,21(12),1912,5,1.6,22.4,76.3,0.9,0.8,0.2,7.21
64,Pablo Barrientos Catania,37, AM(CLR),,27(1),2289,4,1.7,39.9,72.6,0.5,1.1,0.1,7.2
65,Daniele Gastaldello Sampdoria,39, D(C),,31(1),2635,-,0.2,36.1,86.0,-,6.0,-,7.2
66,Ciro Immobile Torino,32, FW,,29(4),2591,3,1.0,19.2,71.6,0.2,1.3,0.1,7.2
67,José Callejón Napoli,35, M(LR),FW,32(5),2851,6,1.3,33.1,82.3,0.5,1.0,0.1,7.2
68,Giuseppe Biava Lazio,45, D(C),,19(1),1662,-,0.1,24.3,87.2,-,2.0,-,7.2
69,Antonio Cassano Parma Calcio 1913,40, AM(CL),FW,33(1),2677,6,2.7,41.2,69.4,1.7,1.4,0.3,7.19
70,Thomas Heurtaux Udinese,34, D(CR),,31(1),2668,1,0.3,36.1,78.5,0.1,2.1,-,7.19
71,Rolando Inter,37, D(C),,28(1),2573,-,0.2,44.7,87.5,-,5.6,0.1,7.19
72,Daniele Portanova Genoa,43, D(C),,21,1817,-,0.1,28.5,85.8,-,3.0,-,7.19
73,Dodô Roma,30, D(L),M(L),15(4),1359,1,0.6,38.2,85.0,0.6,0.5,0.1,7.19
74,Danilo Udinese,38, D(C),,36,3240,-,0.2,48.7,78.1,0.1,5.7,-,7.19
75,Rômulo Verona,35, D(R),M(CR),29(3),2631,8,1.7,34.7,85.3,1.5,0.9,0.1,7.19
76,Alberto Aquilani Fiorentina,38, M(C),,31,2600,1,0.6,54.7,87.3,0.1,5.8,-,7.17
77,Stefano Okaka Sampdoria,33, FW,,9(4),866,3,1.2,15.0,78.5,0.2,0.4,0.4,7.17
78,Cesare Natali Bologna,43, D(C),,32,2632,1,0.2,33.5,81.7,-,4.0,-,7.16
79,Raúl Albiol Napoli,37, D(C),,30(2),2644,2,0.3,51.2,84.4,-,5.2,-,7.16
