,name,age,position1,position2,Apps,Mins,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Rating
0,Mattia Zaccagni Verona,27, AM(CL),FW,2,180,1.5,2,0.5,-,-,0.5,-,-,8.47
1,Luca Gemello Torino,22, Goalkeeper,,1,90,-,-,-,-,-,-,-,-,7.71
2,Domenico Berardi Sassuolo,28, AM(R),FW,33,2838,1,0.9,1.6,-,0.7,1.3,0.1,-,7.43
3,Rafael Leão AC Milan,23, AM(L),FW,31(3),2621,0.5,0.4,0.7,-,0.2,0.3,-,-,7.37
4,Sergej Milinkovic-Savic Lazio,27, AM(C),,36(1),3111,1.8,0.9,1.5,-,1.1,1,0.2,-,7.36
5,Lorenzo Pellegrini Roma,26, M(CL),,27(1),2300,1.3,1,1.6,-,0.7,1.6,-,-,7.34
6,Dusan Vlahovic Fiorentina,22, FW,,21,1862,0.2,-,0.9,-,0.7,0.4,0.1,-,7.33
7,Ciro Immobile Lazio,32, FW,,31,2718,0.3,0.1,1.2,-,0.5,0.5,-,-,7.31
8,Luis Muriel Atalanta,31, AM(CL),FW,17(10),1543,0.6,0.1,0.5,-,0.2,0.6,-,-,7.3
9,Hakan Çalhanoglu Inter,28, M(CLR),FW,33(1),2509,1.2,0.7,1.1,-,0.3,0.9,0.1,-,7.28
10,Wisdom Amey Bologna,17, Defender,,1,72,3.0,3.0,1.0,-,1.0,1.0,-,-,7.27
11,Victor Osimhen Napoli,23, FW,,23(4),1993,0.4,0.1,1.4,-,0.6,0.1,0.1,-,7.22
12,Ivan Perisic Inter,33, M(CLR),FW,35,2844,1.1,1.3,0.8,-,0.9,0.6,0.2,-,7.22
13,Paulo Dybala Juventus,28, AM(CR),FW,26(3),2074,1.0,0.3,0.6,-,0.1,0.9,-,-,7.22
14,Bremer Torino,25, D(C),,33,2895,1.5,3.2,2.0,0.6,4.0,0.3,0.7,-,7.22
15,Gianluca Caprari Verona,29, AM(CLR),FW,33(2),2755,1.2,0.1,1.2,-,0.1,1.0,-,-,7.2
16,Juan Cuadrado Juventus,34, D(R),M(CLR),28(5),2496,1.5,0.9,0.6,-,0.9,0.8,0.2,-,7.19
17,Lautaro Martínez Inter,25, FW,,28(7),2302,0.6,0.5,1.1,-,0.2,0.1,-,-,7.18
18,Tammy Abraham Roma,24, FW,,36(1),3099,0.7,0.1,1.0,-,0.7,0.4,0.1,-,7.17
19,Theo Hernández AC Milan,24, D(L),M(L),30(2),2713,1.7,0.7,1.1,0.3,0.8,0.3,0.1,-,7.16
20,Marcelo Brozovic Inter,29, M(CR),,35,2951,2.2,1.1,1.2,-,0.9,1,0.3,-,7.13
21,Nicolò Barella Inter,25, AM(C),,36,2933,1.8,0.6,0.8,-,0.2,0.7,0.1,-,7.13
22,Fabián Ruiz Napoli,26, M(CL),,29(3),2398,1.7,0.7,0.7,-,1,1.2,-,-,7.1
23,Lorenzo Insigne Napoli,31, AM(CL),FW,28(4),2311,0.7,0.6,0.6,-,-,1.1,-,-,7.09
24,Wladimiro Falcone Sampdoria,27, GK,,9(1),855,-,0.1,-,-,0.8,-,-,-,7.08
25,Kalidou Koulibaly Napoli,31, D(C),,27,2406,1.4,1.1,1,0.7,3.1,0.5,0.9,-,7.08
26,Edin Dzeko Inter,36, FW,,27(9),2476,0.4,0.1,0.8,-,1,0.5,0.1,-,7.07
27,Duván Zapata Atalanta,31, FW,,20(4),1732,0.3,0.1,1.2,-,0.2,0.2,-,-,7.06
28,André-Frank Zambo Anguissa Napoli,26, M(C),,21(4),1925,2,1.0,1.5,-,1.2,1,0.2,-,7.05
29,Giovanni Di Lorenzo Napoli,29, D(CLR),M(R),33,2873,1.8,1.2,1.1,0.2,1.2,0.8,0.3,-,7.04
30,Gerard Deulofeu Udinese,28, AM(CLR),FW,31(3),2628,0.3,0.3,0.7,-,0.1,0.6,-,-,7.04
31,Sandro Tonali AC Milan,22, DMC,,31(5),2608,1.5,0.9,1.3,-,0.5,0.6,0.2,-,7.02
32,Felipe Anderson Lazio,29, M(CLR),FW,33(5),2900,1.9,0.5,1.1,-,0.4,1.9,0.2,-,7.02
33,Nicolás González Fiorentina,24, M(CLR),FW,26(7),2361,0.6,0.6,0.9,-,0.1,0.6,0.1,-,7.02
34,Mattia Zaccagni Lazio,27, AM(CL),FW,21(8),1881,1.1,0.7,1.0,-,0.1,0.3,0.1,-,7.01
35,Abdelhamid Sabiri Sampdoria,25, AM(CL),FW,9(5),895,2.4,0.5,1.5,-,0.2,1.3,0.1,-,7.0
36,José Luis Palomino Atalanta,32, D(C),,30(4),2674,2.3,2.9,1.1,0.7,2.3,0.5,0.6,-,7.0
37,Henrikh Mkhitaryan Roma,33, M(CLR),FW,29(2),2505,1.5,0.7,1.3,-,0.8,1.1,0.1,-,6.99
38,Olivier Giroud AC Milan,35, FW,,22(7),1905,0.5,0.1,1.1,-,0.7,0.5,0.1,-,6.99
39,Fikayo Tomori AC Milan,24, D(CR),,30(1),2719,2.4,1.5,0.6,0.5,2.5,0.3,0.7,-,6.98
40,Mário Rui Napoli,31, D(L),M(L),34,3002,2,1.2,0.9,0.3,1.3,1.3,0.2,-,6.98
41,Milan Djuric Salernitana,32, FW,,23(10),2173,-,0.1,0.7,-,1,0.1,-,-,6.97
42,Luis Alberto Lazio,29, AM(CL),FW,27(7),2363,0.9,0.4,0.4,-,0.2,1.3,0.1,-,6.96
43,Francesco Bardi Bologna,30, GK,,2,178,-,-,-,-,-,-,-,-,6.96
44,Federico Chiesa Juventus,24, M(CLR),FW,11(3),868,1.9,0.3,0.6,-,0.1,1,-,-,6.94
45,Bryan Cristante Roma,27, D(C),M(C),29(5),2674,2.3,1.2,1.2,0.1,1.3,0.9,0.1,1,6.94
46,Antonio Candreva Sampdoria,35, M(CLR),,36,3132,0.8,0.9,0.5,-,0.3,1,0.1,-,6.94
47,Franck Kessié AC Milan,25, M(C),,25(6),2312,1.3,0.7,1.2,0.1,0.7,0.3,0.3,-,6.94
48,Danilo Juventus,31, D(CLR),DMC,22,1895,1.7,1.5,0.9,0.3,2.1,0.5,0.5,-,6.93
49,Sergio Romero Venezia,35, GK,,16,1440,0.1,0.1,0.1,-,1.3,-,-,-,6.93
50,Mike Maignan AC Milan,27, GK,,32,2880,0.1,-,-,-,0.5,-,-,-,6.92
51,Robin Gosens Atalanta,28, D(L),M(CL),5(1),462,1.2,1.5,0.5,-,0.2,0.7,-,-,6.92
52,Antonin Barak Verona,27, AM(C),,27(2),2348,0.6,0.2,0.9,-,0.8,0.4,0.2,-,6.91
53,Ruslan Malinovskyi Atalanta,29, M(CR),FW,19(11),1603,0.6,0.2,1.3,-,-,0.5,0.1,-,6.91
54,Luca Lezzerini Venezia,27, GK,,6,496,-,-,-,-,-,-,-,-,6.9
55,Simone Verdi Salernitana,30, AM(CLR),FW,11(4),838,0.8,0.2,0.7,-,-,0.7,-,-,6.9
56,Alessandro Bastoni Inter,23, D(C),,29(2),2323,1.4,1.1,1,0.2,1.8,0.5,0.4,-,6.9
57,Pedro Lazio,35, M(CLR),FW,25(7),2043,1.1,0.2,1,-,0.3,1,0.1,-,6.89
58,Hamed Traorè Sassuolo,22, AM(CLR),,21(10),1780,1,0.4,1,-,0.1,1.2,0.1,-,6.89
59,Giovanni Simeone Verona,27, AM(R),FW,32(3),2669,0.8,0.2,1.6,-,0.6,0.9,0.1,-,6.89
