,name,age,position1,position2,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating
0,Mattia Zaccagni Verona,27, AM(CL),FW,2,180,-,2.5,30.0,83.3,3,0.5,0.5,8.47
1,Luca Gemello Torino,22, Goalkeeper,,1,90,-,-,33.0,39.4,-,7.0,-,7.71
2,Domenico Berardi Sassuolo,28, AM(R),FW,33,2838,14,2.5,38.9,74.8,0.8,3.1,0.3,7.43
3,Rafael Leão AC Milan,23, AM(L),FW,31(3),2621,8,1.3,20.7,74.8,0.4,1.0,0.1,7.37
4,Sergej Milinkovic-Savic Lazio,27, AM(C),,36(1),3111,11,1.4,62.2,81.4,0.3,2.6,0.1,7.36
5,Lorenzo Pellegrini Roma,26, M(CL),,27(1),2300,5,2.4,32.9,77.7,2,1.9,0.1,7.34
6,Dusan Vlahovic Fiorentina,22, FW,,21,1862,2,1,18.0,70.6,0.2,1.0,0.1,7.33
7,Ciro Immobile Lazio,32, FW,,31,2718,2,0.9,27.9,78.0,0.1,0.6,0.1,7.31
8,Luis Muriel Atalanta,31, AM(CL),FW,17(10),1543,8,2.2,24.9,75.6,1.1,0.7,0.1,7.3
9,Hakan Çalhanoglu Inter,28, M(CLR),FW,33(1),2509,12,2.6,47.5,86.8,2.1,3.1,0.1,7.28
10,Wisdom Amey Bologna,17, Defender,,1,72,-,-,29.0,69.0,-,3.0,-,7.27
11,Victor Osimhen Napoli,23, FW,,23(4),1993,2,0.6,12.0,70.5,-,0.3,-,7.22
12,Ivan Perisic Inter,33, M(CLR),FW,35,2844,7,1.6,33.3,76.3,1.1,1.8,-,7.22
13,Paulo Dybala Juventus,28, AM(CR),FW,26(3),2074,5,1.3,36.3,84.3,0.6,2.3,0.1,7.22
14,Bremer Torino,25, D(C),,33,2895,1,0.2,43.3,81.6,-,2.6,-,7.22
15,Gianluca Caprari Verona,29, AM(CLR),FW,33(2),2755,7,1.8,32.9,80.5,0.7,0.9,0.2,7.2
16,Juan Cuadrado Juventus,34, D(R),M(CLR),28(5),2496,4,1.8,49.2,88.7,1.3,3.9,-,7.19
