number,name,position,age,nation,team,value
1,Kylian Mbapp?,Centre-Forward,23,France,Paris Saint-Germain,¢æ160.00m
2,Erling Haaland,Centre-Forward,22,Norway,Manchester City,¢æ150.00m
3,Vinicius Junior,Left Winger,22,Brazil,Real Madrid,¢æ100.00m
4,Phil Foden,Central Midfield,22,England,Manchester City,¢æ90.00m
5,Mohamed Salah,Right Winger,30,Egypt,Liverpool FC,¢æ90.00m
6,Harry Kane,Centre-Forward,29,England,Tottenham Hotspur,¢æ90.00m
7,Du?an Vlahovi?,Centre-Forward,22,Serbia,Juventus FC,¢æ85.00m
8,Bruno Fernandes,Attacking Midfield,27,Portugal,Manchester United,¢æ85.00m
9,Kevin De Bruyne,Attacking Midfield,31,Belgium,Manchester City,¢æ85.00m
10,Pedri,Central Midfield,19,Spain,FC Barcelona,¢æ80.00m
11,Jude Bellingham,Central Midfield,19,England,Borussia Dortmund,¢æ80.00m
12,Declan Rice,Defensive Midfield,23,England,West Ham United,¢æ80.00m
13,Rodri,Defensive Midfield,26,Spain,Manchester City,¢æ80.00m
14,Christopher Nkunku,Second Striker,24,France,RB Leipzig,¢æ80.00m
15,Trent Alexander-Arnold,Right-Back,23,England,Liverpool FC,¢æ80.00m
16,Bernardo Silva,Attacking Midfield,28,Portugal,Manchester City,¢æ80.00m
17,Joshua Kimmich,Defensive Midfield,27,Germany,Bayern Munich,¢æ80.00m
18,Lautaro Mart?nez,Centre-Forward,24,Argentina,Inter Milan,¢æ75.00m
19,Jadon Sancho,Left Winger,22,England,Manchester United,¢æ75.00m
20,Mason Mount,Attacking Midfield,23,England,Chelsea FC,¢æ75.00m
21,R?ben Dias,Centre-Back,25,Portugal,Manchester City,¢æ75.00m
22,Heung-min Son,Left Winger,30,"Korea, South",Tottenham Hotspur,¢æ75.00m
23,Neymar,Left Winger,30,Brazil,Paris Saint-Germain,¢æ75.00m
24,Florian Wirtz,Attacking Midfield,19,Germany,Bayer 04 Leverkusen,¢æ70.00m
25,Jo?o F?lix,Second Striker,22,Portugal,Atl?tico de Madrid,¢æ70.00m
26,Alphonso Davies,Left-Back,21,Canada,Bayern Munich,¢æ70.00m
27,Federico Valverde,Central Midfield,24,Uruguay,Real Madrid,¢æ70.00m
28,Rafael Le?o,Left Winger,23,Portugal,AC Milan,¢æ70.00m
29,Matthijs de Ligt,Centre-Back,23,Netherlands,Bayern Munich,¢æ70.00m
30,Kai Havertz,Attacking Midfield,23,Germany,Chelsea FC,¢æ70.00m
31,Sergej Milinkovi?-Savi?,Central Midfield,27,Serbia,SS Lazio,¢æ70.00m
32,Nicol? Barella,Central Midfield,25,Italy,Inter Milan,¢æ70.00m
33,Jack Grealish,Left Winger,26,England,Manchester City,¢æ70.00m
34,Sadio Man?,Left Winger,30,Senegal,Bayern Munich,¢æ70.00m
35,Marquinhos,Centre-Back,28,Brazil,Paris Saint-Germain,¢æ70.00m
36,Raheem Sterling,Left Winger,27,England,Chelsea FC,¢æ70.00m
37,Romelu Lukaku,Centre-Forward,29,Belgium,Inter Milan,¢æ70.00m
38,Jamal Musiala,Attacking Midfield,19,Germany,Bayern Munich,¢æ65.00m
39,Luis D?az,Left Winger,25,Colombia,Liverpool FC,¢æ65.00m
40,Bukayo Saka,Right Midfield,20,England,Arsenal FC,¢æ65.00m
41,Victor Osimhen,Centre-Forward,23,Nigeria,SSC Napoli,¢æ65.00m
42,Achraf Hakimi,Right-Back,23,Morocco,Paris Saint-Germain,¢æ65.00m
43,Federico Chiesa,Right Winger,24,Italy,Juventus FC,¢æ65.00m
44,Andrew Robertson,Left-Back,28,Scotland,Liverpool FC,¢æ65.00m
45,Milan Skriniar,Centre-Back,27,Slovakia,Inter Milan,¢æ65.00m
46,Jo?o Cancelo,Left-Back,28,Portugal,Manchester City,¢æ65.00m
47,Serge Gnabry,Right Winger,27,Germany,Bayern Munich,¢æ65.00m
48,Leon Goretzka,Central Midfield,27,Germany,Bayern Munich,¢æ65.00m
49,Gavi,Central Midfield,18,Spain,FC Barcelona,¢æ60.00m
50,Reece James,Right-Back,22,England,Chelsea FC,¢æ60.00m
51,Ansu Fati,Left Winger,19,Spain,FC Barcelona,¢æ60.00m
52,Aur?lien Tchouameni,Defensive Midfield,22,France,Real Madrid,¢æ60.00m
53,Rodrygo,Right Winger,21,Brazil,Real Madrid,¢æ60.00m
54,Jules Kound?,Centre-Back,23,France,FC Barcelona,¢æ60.00m
55,?der Milit?o,Centre-Back,24,Brazil,Real Madrid,¢æ60.00m
56,Moussa Diaby,Left Winger,23,France,Bayer 04 Leverkusen,¢æ60.00m
57,Mikel Oyarzabal,Left Winger,25,Spain,Real Sociedad,¢æ60.00m
58,Diogo Jota,Left Winger,25,Portugal,Liverpool FC,¢æ60.00m
59,Frenkie de Jong,Central Midfield,25,Netherlands,FC Barcelona,¢æ60.00m
60,Alessandro Bastoni,Centre-Back,23,Italy,Inter Milan,¢æ60.00m
61,Wilfred Ndidi,Defensive Midfield,25,Nigeria,Leicester City,¢æ60.00m
62,Marcus Rashford,Left Winger,24,England,Manchester United,¢æ60.00m
63,Kingsley Coman,Right Winger,26,France,Bayern Munich,¢æ60.00m
64,Fabinho,Defensive Midfield,28,Brazil,Liverpool FC,¢æ60.00m
65,Leroy San?,Left Winger,26,Germany,Bayern Munich,¢æ60.00m
66,Thibaut Courtois,Goalkeeper,30,Belgium,Real Madrid,¢æ60.00m
67,Eduardo Camavinga,Central Midfield,19,France,Real Madrid,¢æ55.00m
68,Darwin N??ez,Centre-Forward,23,Uruguay,Liverpool FC,¢æ55.00m
69,Fabi?n Ruiz,Central Midfield,26,Spain,SSC Napoli,¢æ55.00m
70,Theo Hern?ndez,Left-Back,24,France,AC Milan,¢æ55.00m
71,Youri Tielemans,Central Midfield,25,Belgium,Leicester City,¢æ55.00m
72,Virgil van Dijk,Centre-Back,31,Netherlands,Liverpool FC,¢æ55.00m
73,David Alaba,Centre-Back,30,Austria,Real Madrid,¢æ55.00m
74,Ronald Ara?jo,Centre-Back,23,Uruguay,FC Barcelona,¢æ50.00m
