,name,age,position1,position2,Apps,Mins,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Rating
0,Lionel Messi Argentina,35, AM(CR),FW,7,694,1.6,0.3,0.9,-,-,0.4,-,-,8.52
1,James Rodríguez Colombia,31, AM(CLR),FW,4(1),400,1.2,0.2,2,-,0.2,1.4,0.2,-,8.43
2,Arjen Robben Netherlands,38, M(CLR),FW,7,692,0.3,0.1,1.4,-,-,0.6,-,-,8.37
3,Neymar Brazil,30, AM(CLR),FW,5,459,1.4,0.2,1.6,-,-,1.2,0.2,-,8.22
4,Miralem Pjanic Bosnia and Herzegovina,32, M(C),,3,270,1.7,1.3,0.7,-,-,1.3,-,-,8.2
5,Alexis Sánchez Chile,33, M(CLR),FW,4,391,1.3,1.3,1.8,-,-,1.3,-,-,8.17
6,Ricardo Rodríguez Switzerland,30, D(CL),M(L),4,390,5.0,2.5,0.8,0.5,3.8,0.8,0.8,-,8.12
7,Bacary Sagna France,39, D(CR),,1,90,4.0,3.0,-,-,5,-,-,-,8.1
8,John Brooks USA,29, D(C),,0(1),45,2.0,2.0,-,-,7,-,2,-,8.05
9,Juanfran Spain,37, D(R),,1,90,3.0,5.0,1,-,-,1,-,-,8.0
10,Raúl Albiol Spain,37, D(C),,1,90,3,5,-,-,5,-,-,-,7.99
11,Thomas Müller Germany,33, M(CLR),FW,7,682,1,0.3,2,-,0.1,0.9,0.3,-,7.98
12,Karim Benzema France,34, FW,,5,450,0.4,0.2,0.4,-,0.2,0.6,-,-,7.91
13,Stefan de Vrij Netherlands,30, D(C),,7,679,3.7,3.6,1.4,0.1,7.1,0.7,0.6,-,7.9
14,Tim Howard USA,43, GK,,4,390,-,-,-,-,1.8,-,-,-,7.9
15,Ángel Di María Argentina,34, M(CLR),FW,5,423,1.4,-,0.6,-,0.4,2.2,-,-,7.89
16,Kevin De Bruyne Belgium,31, M(CLR),FW,4,390,4,2,1,-,0.5,2.8,-,-,7.85
17,Mats Hummels Germany,33, D(C),,6,509,2.7,1.8,0.8,0.7,4.8,1,0.7,-,7.81
18,Diego Benaglio Switzerland,39, GK,,4,390,0.3,-,-,-,2.3,0.3,-,-,7.8
19,Mario Mandzukic Croatia,36, M(L),FW,2,180,0.5,-,1.5,-,-,0.5,-,-,7.8
20,Ron Vlaar Netherlands,37, D(C),,7,692,2.4,3,0.7,1,9,0.7,0.7,-,7.75
21,Xherdan Shaqiri Switzerland,31, M(CLR),,4,387,0.8,0.5,3.3,-,-,0.8,-,-,7.74
22,Toni Kroos Germany,32, M(C),,7,690,2.1,0.6,1.1,-,0.4,1,-,-,7.72
