,name,age,position1,position2,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating
0,Lionel Messi Argentina,35, AM(CR),FW,7,694,1,3.3,41.3,80.3,1.3,2,0.6,8.52
1,James Rodríguez Colombia,31, AM(CLR),FW,4(1),400,2,2.2,39.4,76.1,1.6,2.4,0.2,8.43
2,Arjen Robben Netherlands,38, M(CLR),FW,7,692,1,2.4,30.1,86.7,1.9,1.1,0.1,8.37
3,Neymar Brazil,30, AM(CLR),FW,5,459,1,2.6,32.4,79.0,2,1.8,0.2,8.22
4,Miralem Pjanic Bosnia and Herzegovina,32, M(C),,3,270,1,4,66.0,88.9,3.3,3,-,8.2
5,Alexis Sánchez Chile,33, M(CLR),FW,4,391,1,1.8,34.0,73.5,1.3,1.5,0.5,8.17
6,Ricardo Rodríguez Switzerland,30, D(CL),M(L),4,390,2,1.5,36.5,81.5,1,1,-,8.12
7,Bacary Sagna France,39, D(CR),,1,90,-,2,45.0,91.1,3,2,-,8.1
8,John Brooks USA,29, D(C),,0(1),45,-,-,10.0,90.0,-,-,-,8.05
9,Juanfran Spain,37, D(R),,1,90,1,1,51.0,80.4,-,3,-,8.0
10,Raúl Albiol Spain,37, D(C),,1,90,-,-,39.0,79.5,-,4,-,7.99
11,Thomas Müller Germany,33, M(CLR),FW,7,682,3,2.3,37.1,75.4,0.6,0.6,-,7.98
12,Karim Benzema France,34, FW,,5,450,2,2.6,26.8,81.3,0.2,0.4,0.6,7.91
13,Stefan de Vrij Netherlands,30, D(C),,7,679,-,0.1,54.0,85.7,-,6,-,7.9
14,Tim Howard USA,43, GK,,4,390,-,-,33.3,68.4,-,9,-,7.9
15,Ángel Di María Argentina,34, M(CLR),FW,5,423,-,2,48.4,76.9,2.8,3.6,0.2,7.89
16,Kevin De Bruyne Belgium,31, M(CLR),FW,4,390,2,4,45.8,80.3,1.8,5.3,0.3,7.85
17,Mats Hummels Germany,33, D(C),,6,509,-,-,48.2,87.5,-,3,0.2,7.81
18,Diego Benaglio Switzerland,39, GK,,4,390,-,-,25.3,45.5,-,6.3,-,7.8
19,Mario Mandzukic Croatia,36, M(L),FW,2,180,-,1.5,18.5,67.6,-,-,-,7.8
