,name,age,position1,position2,Apps,Mins,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,Rating
0,Eden Hazard Belgium,31, M(CLR),FW,6,518,3,2,2.8,2.5,6.7,4.5,-,2.2,2.2,8.51
1,Yerry Mina Colombia,27, D(C),,3,301,3,-,1,0.3,0.3,1.7,-,-,0.3,8.35
2,Isco Spain,30, M(CLR),FW,4,391,1,-,2.3,2.3,5.8,4.8,0.8,2.8,2,8.29
3,Neymar Brazil,30, AM(CLR),FW,5,450,2,1,5.2,4.6,4.4,5.2,1.2,5.4,4,8.25
4,Essam El Hadary Egypt,49, Goalkeeper,,1,90,-,-,-,-,-,-,-,-,-,8.23
5,Kieran Trippier England,31, D(LR),M(R),6,577,1,1,0.5,4,0.8,1,0.2,0.5,1,8.03
6,Lionel Messi Argentina,35, AM(CR),FW,4,360,1,2,4.5,2.5,5.8,4,-,4,2.3,7.87
7,Oussama Haddadi Tunisia,30, D(CL),M(L),1,90,-,1,-,3,-,-,1,-,-,7.77
8,Wilfred Ndidi Nigeria,25, D(C),DMC,3,270,-,-,1,0.7,1,2.3,-,0.3,1.3,7.77
9,Kylian Mbappé France,23, AM(LR),FW,6(1),534,4,-,1.1,1.3,4.6,2,0.1,2,3,7.75
10,Eden Hazard Belgium,31, M(CLR),FW,6,518,3,2,2.8,2.5,6.7,4.5,-,2.2,2.2,8.51
11,Yerry Mina Colombia,27, D(C),,3,301,3,-,1,0.3,0.3,1.7,-,-,0.3,8.35
12,Isco Spain,30, M(CLR),FW,4,391,1,-,2.3,2.3,5.8,4.8,0.8,2.8,2,8.29
13,Neymar Brazil,30, AM(CLR),FW,5,450,2,1,5.2,4.6,4.4,5.2,1.2,5.4,4,8.25
14,Essam El Hadary Egypt,49, Goalkeeper,,1,90,-,-,-,-,-,-,-,-,-,8.23
15,Kieran Trippier England,31, D(LR),M(R),6,577,1,1,0.5,4,0.8,1,0.2,0.5,1,8.03
16,Lionel Messi Argentina,35, AM(CR),FW,4,360,1,2,4.5,2.5,5.8,4,-,4,2.3,7.87
17,Oussama Haddadi Tunisia,30, D(CL),M(L),1,90,-,1,-,3,-,-,1,-,-,7.77
18,Wilfred Ndidi Nigeria,25, D(C),DMC,3,270,-,-,1,0.7,1,2.3,-,0.3,1.3,7.77
19,Kylian Mbappé France,23, AM(LR),FW,6(1),534,4,-,1.1,1.3,4.6,2,0.1,2,3,7.75
20,Edinson Cavani Uruguay,35, AM(LR),FW,4,344,3,-,4,0.5,1.8,1.5,-,2.3,2.5,7.75
21,Harry Kane England,29, AM(C),FW,6,574,6,-,2.3,0.7,0.3,3.5,0.7,1.2,1.3,7.73
22,Douglas Costa Brazil,32, M(CLR),,0(2),77,-,1,2,2.5,4,-,-,0.5,1.5,7.73
23,Lovre Kalinic Croatia,32, GK,,1,90,-,-,-,-,-,1,-,-,-,7.73
24,Cristiano Ronaldo Portugal,37, M(L),FW,4,360,4,-,5.3,1,1.8,3.5,0.3,1.5,2.8,7.73
25,Adnan Januzaj Belgium,27, AM(CLR),,1,86,1,-,4,1,3,1,-,2,2,7.67
26,Casemiro Brazil,30, DMC,,4,330,-,-,1,1,1.5,0.5,-,0.3,0.5,7.66
27,Kevin De Bruyne Belgium,31, M(CLR),FW,6,540,1,2,2.2,3.8,0.8,0.5,-,1.8,1.3,7.65
28,Rafal Kurzawa Poland,29, Midfielder,,1,80,-,1,2,2,1,2,-,2,1,7.61
29,Aleksandr Golovin Russia,26, M(CLR),,4,403,1,2,0.8,1.5,1.3,1,-,2.5,2.5,7.61
30,Jo Hyeon-Woo South Korea,30, Goalkeeper,,3,270,-,-,-,-,-,0.3,-,-,-,7.6
31,Philippe Coutinho Brazil,30, M(CLR),,5,436,2,2,4.6,2.6,1.2,1.4,-,1.6,1.8,7.6
32,Lukasz Fabianski Poland,37, GK,,1,90,-,-,-,-,-,-,-,-,-,7.57
33,Andreas Granqvist Sweden,37, D(C),,5,450,2,-,1.2,0.8,0.4,1.2,-,-,0.2,7.54
34,Mario Mandzukic Croatia,36, M(L),FW,6,609,3,1,2,1.3,0.3,2,0.5,1.3,1.5,7.53
35,Kendall Waston Costa Rica,34, D(C),,1,90,1,-,1,-,-,1,-,-,-,7.53
36,Peter Etebo Nigeria,26, M(CL),FW,3,270,-,-,2.3,1.7,5.3,3.7,-,2,1.3,7.52
37,José Giménez Uruguay,27, D(CR),,4,360,1,-,0.8,0.3,0.3,0.3,-,-,0.3,7.52
38,Antoine Griezmann France,31, AM(CLR),FW,7,571,4,2,3.1,1.4,1.1,1.6,0.3,1.1,1.1,7.51
