,Unnamed: 0,name,age,position1,position2,Apps,Mins,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,Rating
0,0,Kevin De Bruyne Man City,31, M(CLR),FW,25(5),2205,15,8,2.6,2.9,1.0,0.9,0.1,0.7,1.3,7.63
1,1,Mohamed Salah Liverpool,30, AM(CLR),FW,30(5),2763,23,13,4.0,1.8,1.5,0.7,0.3,2.3,2.8,7.54
2,2,Trent Alexander-Arnold Liverpool,23, D(R),M(R),32,2854,2,12,1.6,2.8,0.6,0.2,0.3,0.6,1.3,7.52
3,3,Son Heung-Min Tottenham,30, M(CLR),FW,35,3021,23,7,2.5,2.1,1.5,1,0.5,1.3,2.1,7.51
4,4,Kenedy Chelsea,26, D(L),M(LR),1,59,-,1,1.0,2.0,1.0,-,-,3.0,2.0,7.46
5,5,Harry Kane Tottenham,29, AM(C),FW,36(1),3232,17,9,3.6,1.4,1.5,1.5,0.4,1.6,2.6,7.45
6,6,Luis Díaz Liverpool,25, AM(L),,11(2),964,4,3,2.9,1.5,2.4,1.1,0.2,2.0,2.1,7.44
7,7,Rodri Man City,26, DMC,,33,2887,7,2,1.4,0.9,0.4,0.6,-,0.7,0.5,7.43
8,8,Ben Chilwell Chelsea,25, D(L),M(L),6(1),541,3,1,1.9,1.4,0.4,2.1,0.3,0.4,1.9,7.42
9,9,João Cancelo Man City,28, D(LR),M(R),36,3228,1,7,2.3,1.1,1.6,0.7,0.1,0.7,1.3,7.42
10,10,Kieran Trippier Newcastle,31, D(LR),M(R),5(1),430,2,-,0.3,1.2,0.2,0.5,-,0.2,0.2,7.38
11,11,Christian Eriksen Brentford,30, M(CLR),FW,10(1),938,1,4,2,2.7,0.7,0.3,-,0.8,1.6,7.37
12,12,Joël Matip Liverpool,31, D(C),,31,2790,3,3,1.1,0.4,0.3,0.4,-,0.2,0.4,7.36
13,13,Sadio Mané Liverpool,30, AM(CLR),FW,32(2),2825,16,2,2.9,1.2,1.4,1.5,0.6,1.7,3.1,7.3
14,14,Phil Foden Man City,22, AM(CLR),FW,24(4),2133,9,5,2,1.4,1.3,0.8,0.5,1.2,1.7,7.29
15,15,Ivan Toney Brentford,26, FW,,32(1),2908,12,5,2.7,1.3,0.7,2.4,0.8,1.3,3.3,7.28
16,16,Bernardo Silva Man City,28, M(CLR),FW,33(2),2861,8,4,1.3,1.7,1.5,0.9,0.3,0.7,1.5,7.27
17,17,Danny Ward Leicester,29, GK,,1,90,-,-,-,-,-,-,-,-,-,7.25
18,18,Rodrigo Bentancur Tottenham,25, M(C),,16(1),1367,-,4,0.8,0.9,0.8,0.8,-,0.8,0.7,7.24
19,19,Reece James Chelsea,22, D(CR),DMC,22(4),1868,5,9,1.4,1.8,1.4,1.2,0.2,0.8,1,7.24
20,20,Ilkay Gündogan Man City,31, M(C),,20(7),1856,8,4,2.0,1.4,0.9,0.4,0.1,0.7,0.9,7.24
