,Unnamed: 0.1,name,age,position1,position2,Apps,Mins,Tackles,Inter,Clear,Blocks,Rating,WC_Rating,Country
0,0,Salif Sané ,32, D(C),DMC,32,2880,1.8,1.8,7.3,0.9,7.34,6.79,Senegal
1,1,Mats Hummels ,33, D(C),,25(1),2213,2.4,2.1,2.2,0.5,7.27,7.05,Germany
2,2,Joshua Kimmich ,27, D(CR),DMC,26(3),2334,1.1,0.7,1.1,0.2,7.23,6.87,Germany
3,3,Jérôme Boateng ,34, D(CR),,19,1644,1.4,1.1,2.6,0.6,7.14,6.4,Germany
4,4,Benjamin Pavard ,26, D(CLR),M(R),34,3060,1.6,2.1,5.4,1.0,7.1,7.08,France
5,5,Jonas Hector ,32, D(L),M(CL),20,1761,2.4,1.4,2.5,0.3,7.0,6.92,Germany
6,6,Corentin Tolisso ,28, D(R),M(CR),17(9),1529,1.3,0.6,0.3,0.1,6.99,6.42,France
7,7,Niklas Süle ,27, D(CR),,20(7),1919,1.3,1.2,2.0,0.6,6.9,6.57,Germany
8,8,Marvin Plattenhardt ,30, D(L),M(L),33,2970,1.7,0.8,2.2,0.2,6.85,6.27,Germany
9,9,Sebastian Rudy ,32, D(R),M(CR),16(9),1509,2.0,0.7,0.2,0.0,6.84,6.27,Germany
10,10,Ludwig Augustinsson ,28, D(L),M(L),29,2535,1.6,1.3,1.5,0.1,6.73,6.81,Sweden
11,11,Denis Zakaria ,25, D(C),DMC,29(1),2308,2.5,1.5,1.2,0.3,6.73,6.21,Switzerland
12,12,Steven Zuber ,31, D(L),M(CLR),17(3),1441,2.0,0.9,1.1,0.2,6.7,6.78,Switzerland
13,13,Carlos Salcedo ,29, D(CR),,17(3),1608,1.3,1.1,4.4,0.6,6.68,6.7,Mexico
14,14,Fernandinho ,37, D(CR),DMC,33(1),2885,1.8,1.4,1.9,0.2,7.44,6.31,Brazil
15,15,Jan Vertonghen ,35, D(CL),,36,3205,1.8,1.7,4.7,0.3,7.26,6.88,Belgium
16,16,Phil Jones ,30, D(CR),DMC,23,1975,1.1,1.8,5.6,0.7,7.21,6.48,England
17,17,Fabian Delph ,32, D(L),M(CL),21(1),1746,2.1,1.4,1.6,0.0,7.16,6.53,England
18,18,Nicolás Otamendi ,34, D(C),,33(1),2968,1.7,1.4,3.6,0.3,7.13,6.98,Argentina
19,19,Ashley Young ,37, D(LR),M(LR),28(2),2448,1.8,1.9,2.4,0.2,7.12,6.8,England
20,20,Harry Maguire ,29, D(C),,38,3420,1.7,1.3,4.6,0.7,7.08,7.22,England
21,21,Kyle Walker ,32, D(CR),M(R),32,2787,1.5,0.9,2.1,0.1,7.05,7.01,England
22,22,Vincent Kompany ,36, D(C),,17,1397,1.2,0.9,4.2,0.5,7.04,6.71,Belgium
23,23,Kieran Trippier ,32, D(LR),M(R),21(3),1914,2.2,0.8,1.9,0.3,7.04,8.03,England
24,24,Granit Xhaka ,30, D(L),M(C),37(1),3266,2.1,1.0,1.7,0.2,7.02,6.84,Switzerland
25,25,Trent Alexander-Arnold ,24, D(R),M(R),18(1),1576,1.9,1.5,2.1,0.3,7.02,6.66,England
26,26,Dejan Lovren ,33, D(C),,24(5),2125,0.9,1.3,4.9,0.5,6.99,6.72,Croatia
27,27,Ahmed Hegazy ,31, D(C),,38,3387,1.5,1.6,7.1,1.0,6.98,6.92,Egypt
28,28,Eric Dier ,28, D(CR),DMC,32(2),2827,1.8,1.4,2.4,0.3,6.96,6.33,England
29,29,Jordan Henderson ,32, D(C),M(CLR),25(2),2173,1.9,1.1,0.7,0.1,6.95,6.63,England
30,30,Davinson Sánchez ,26, D(C),,29(2),2535,1.2,1.2,5.1,0.3,6.94,6.95,Colombia
31,31,Antonio Rüdiger ,29, D(CR),,25(2),2336,1.1,0.9,3.7,0.6,6.92,6.67,Germany
32,32,Danilo ,31, D(CLR),DMC,13(10),1342,1.9,0.8,1.2,0.3,6.91,6.58,Brazil
33,33,John Stones ,28, D(CR),,16(2),1306,0.8,1.1,2.3,0.3,6.89,7.28,England
34,34,Gary Cahill ,36, D(C),,24(3),2084,1.1,1.0,4.6,0.5,6.87,7.02,England
35,35,Maya Yoshida ,34, D(CR),,23(1),2051,1.1,1.7,5.4,0.6,6.86,6.82,Japan
36,36,Cheikhou Kouyaté ,32, D(CR),DMC,32(1),2803,2.2,1.0,1.5,0.3,6.8,6.29,Senegal
37,37,Andreas Christensen ,26, D(C),DMC,23(4),2071,1.0,1.4,3.9,0.6,6.8,6.68,Denmark
38,38,Zanka ,32, D(C),,38,3420,1.4,2.0,6.3,0.5,6.71,6.59,Denmark
39,39,Toby Alderweireld ,33, D(CR),,13(1),1177,1.4,0.3,3.6,0.4,6.68,6.93,Belgium
40,40,Victor Lindelöf ,28, D(CR),,13(4),1284,1.0,0.8,3.8,0.6,6.66,6.62,Sweden
41,41,Filipe Luís ,37, D(L),,19(1),1660,4.2,1.8,1.6,0.4,7.45,7.09,Brazil
42,42,Lucas Hernández ,26, D(CL),,24(3),2117,3.4,1.5,2.9,0.4,7.24,6.97,France
43,43,Jordi Alba ,33, D(L),M(L),30(3),2745,1.9,2.1,1.5,0.2,7.22,6.66,Spain
44,44,Gerard Piqué ,35, D(C),,29(1),2633,1.0,1.0,4.1,0.9,7.16,7.09,Spain
45,45,Sime Vrsaljko ,30, D(LR),M(R),19(2),1697,2.3,1.7,2.6,0.4,7.09,7.03,Croatia
46,46,Sergio Ramos ,36, D(CR),,26,2292,1.5,1.8,3.2,0.5,7.09,6.82,Spain
47,47,Diego Godín ,36, D(C),,28(2),2554,1.7,2.0,4.7,0.7,7.07,7.28,Uruguay
48,48,Marcelo ,34, D(L),M(L),26(2),2262,1.9,1.1,0.5,0.1,7.07,7.16,Brazil
49,49,Daniel Carvajal ,30, D(R),,25,2223,2.4,1.5,1.4,0.6,7.06,6.73,Spain
50,50,Samuel Umtiti ,28, D(CL),,24(1),2189,2.0,1.5,2.8,0.7,7.03,6.78,France
51,51,Jefferson Lerma ,28, D(R),DMC,25(1),2138,2.0,1.9,1.4,0.4,6.99,6.22,Colombia
52,52,José Giménez ,27, D(CR),,17(6),1684,1.7,1.3,4.2,0.7,6.95,7.52,Uruguay
53,53,Andrés Guardado ,36, D(L),M(CL),25(4),2267,1.4,0.8,0.9,0.2,6.91,6.64,Mexico
54,54,Lucas Vázquez ,31, D(R),M(R),16(17),1670,1.5,0.2,0.2,0.1,6.91,6.23,Spain
55,55,Nacho ,32, D(CLR),,22(5),2073,2.0,1.7,1.8,0.3,6.9,7.21,Spain
56,56,Celso Borges ,34, D(C),M(C),26(6),2307,1.9,1.1,1.1,0.2,6.89,6.77,Costa Rica
57,57,Raphaël Varane ,29, D(C),,27,2324,1.0,1.2,4.0,0.4,6.85,7.14,France
58,58,Fabian Schär ,30, D(C),,25,2220,2.4,1.8,5.6,0.8,6.82,6.79,Switzerland
59,59,Simon Kjaer ,33, D(C),,18(2),1572,1.8,1.6,5.3,0.5,6.82,6.78,Denmark
60,60,Gabriel Mercado ,35, D(CR),,25(1),2124,2.2,1.6,3.0,0.8,6.8,6.86,Argentina
61,61,Johan Mojica ,30, D(L),M(L),22(8),2132,1.4,1.1,1.0,0.1,6.74,6.69,Colombia
62,62,Thomas Vermaelen ,36, D(CL),,12(2),1018,0.9,1.3,2.0,0.2,6.73,6.33,Belgium
63,63,Miguel Layún ,34, D(LR),M(CLR),11(5),1181,1.8,0.9,2.3,0.3,6.73,6.71,Mexico
64,64,Carlos Sánchez ,36, D(C),M(C),13(1),1123,1.8,1.3,1.7,0.4,6.68,6.9,Uruguay
