,name,age,position1,position2,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating,WC_Rating,Country
0,Thiago ,31, M(C),,12(7),1243,2,1.5,67.7,91.5,0.1,5.8,0,7.36,6.7,Spain
1,Thomas Delaney ,31, DMC,,31(1),2796,4,0.9,39,71.9,0.3,2.6,0,7.06,7,Denmark
2,Leon Goretzka ,27, M(CR),,21(5),1983,2,0.7,32.7,79.8,0.3,1.6,0,7.03,6.62,Germany
3,Shinji Kagawa ,33, M(CL),,12(7),1166,1,1.2,38.3,87.5,0.5,1.8,0,6.81,6.7,Japan
4,Koo Ja-Cheol ,33, M(CLR),,23(5),2051,0,0.4,27.9,80.3,0,0.9,0,6.68,6.39,South Korea
5,Philippe Coutinho ,30, M(CLR),,13(1),1116,6,2.9,49.3,78.8,1.4,2.7,0.4,8.03,7.6,Brazil
6,Paul Pogba ,29, M(CL),,25(2),2151,10,1.4,63.7,85.3,0.1,4.1,0.2,7.48,7.49,France
7,Mesut Özil ,34, M(CLR),,24(2),2164,8,3.2,69.6,86.5,1,2.2,0.3,7.25,6.93,Germany
8,N'Golo Kanté ,31, DMC,,34,2998,1,1.2,63.3,89.3,0.1,2.6,0.1,7.25,7.04,France
9,Nemanja Matic ,34, DMC,,35(1),3119,1,0.7,72.3,87.7,0.1,4.9,0,7.2,6.86,Serbia
10,Ruben Loftus-Cheek ,26, M(CLR),,21(3),1875,3,1.1,30.1,82.4,0.1,1,0,7.08,6.89,England
11,Jóhann Gudmundsson ,32, AM(CLR),,32(3),2840,8,1.9,23,73.7,1.8,1.2,0,7.02,6.67,Iceland
12,Badou Ndiaye ,32, M(C),,13,1140,1,0.5,26,82.2,0.1,1.6,0,7.02,6.86,Senegal
13,Luka Milivojevic ,31, DMC,,35(1),3082,1,0.6,45.9,80.2,0.4,3.4,0,7.01,6.77,Serbia
14,Willian ,34, AM(CLR),,20(16),1883,7,1.7,25.7,80.2,0.6,1.1,0.1,7.01,6.96,Brazil
15,Idrissa Gueye ,33, M(C),,32(1),2757,1,0.5,47.5,84.7,0.1,2.2,0,6.95,6.52,Senegal
16,Marouane Fellaini ,34, M(C),,5(11),613,0,0.3,24.6,85.2,0,0.7,0,6.94,7.15,Belgium
17,Mousa Dembélé ,35, M(CR),,21(7),1886,0,0.6,50.8,92.2,0,1.3,0,6.9,6.4,Belgium
18,Xherdan Shaqiri ,31, M(CLR),,36,3049,7,2.1,29.3,79.5,1.6,2.1,0.2,6.87,7.1,Switzerland
19,João Mário ,29, M(CLR),,12(1),1027,1,1.2,33.8,81.3,0.8,0.8,0.1,6.74,6.64,Portugal
20,Ilkay Gündogan ,32, M(C),,15(15),1510,1,0.7,46.7,91.7,0.1,1.1,0.1,6.73,6.53,Germany
21,Philippe Coutinho ,30, M(CLR),,16(2),1304,5,1.6,45.2,86.9,0.8,0.9,0.4,7.66,7.6,Brazil
22,Casemiro ,30, DMC,,30,2601,3,0.8,58.2,88.4,0.1,5.1,0.1,7.49,7.66,Brazil
23,Toni Kroos ,32, M(C),,26(1),2268,7,2.4,76.7,93.1,1.7,6.2,0.1,7.47,7.47,Germany
24,Luka Modric ,37, M(C),,23(3),1976,6,1.5,59.5,89.9,0.1,4.8,0.3,7.29,7.48,Croatia
25,Sergio Busquets ,34, DMC,,30(1),2600,4,0.8,72.3,90.5,0,4.7,0,7.25,7.02,Spain
26,Ivan Rakitic ,34, M(C),,31(4),2839,5,0.8,71.3,90.3,0.4,4.1,0.2,7.12,7.33,Croatia
27,Koke ,30, M(CLR),,33(2),2764,4,1.5,56.8,85.2,0.9,3.5,0.2,7.08,6.65,Spain
28,Éver Banega ,34, M(C),,25(6),2397,3,2.1,68.8,86.8,1.1,5.3,0.1,7.08,7.11,Argentina
29,Andrés Iniesta ,38, M(CL),,25(5),1843,2,0.6,50.7,88.2,0.2,3.3,0.2,6.91,6.94,Spain
30,Steven Nzonzi ,33, M(C),,26(1),2216,2,0.5,68.6,88,0.1,2.1,0,6.89,6.53,France
31,Paulinho ,34, M(CR),,21(13),1941,2,0.4,35.9,87.8,0,0.7,0.1,6.87,6.78,Brazil
32,Adnan Januzaj ,27, AM(CLR),,18(10),1580,5,1.3,16.9,80.5,0.6,0.8,0.1,6.86,7.67,Belgium
33,Fayçal Fajr ,34, M(CLR),,26(5),2384,4,1.1,30.1,75,1.1,4.7,0.1,6.84,6.28,Morocco
34,Mateo Kovacic ,28, M(CL),,10(11),989,1,0.5,37.7,93.7,0,1.9,0,6.73,6.71,Croatia
35,Takashi Inui ,34, AM(CLR),,31(3),2640,2,0.8,24.7,80.4,0.3,0.9,0.1,6.64,7.05,Japan
36,Ellyes Skhiri ,27, DMC,,35,3052,1,0.9,44.8,86.2,0,3.5,0,7.13,6.52,Tunisia
37,João Moutinho ,36, M(C),,31(2),2801,6,1.7,57.4,86.3,0.8,3.8,0.2,7.11,6.96,Portugal
38,Thomas Lemar ,26, AM(CLR),,27(3),2383,8,1.8,37.2,84.8,1.5,2.1,0.1,7.1,6.65,France
39,Youri Tielemans ,25, M(C),,18(9),1567,1,0.6,30.1,81.8,0.1,1.8,0.1,6.84,6.81,Belgium
40,Saîf-Eddine Khaoui ,27, AM(CR),,21(11),1960,2,1,19.7,71.6,0.8,0.6,0,6.81,6.27,Tunisia
41,Douglas Costa ,32, M(CLR),,18(13),1793,12,1.9,30.2,84,1,1.9,0,7.45,7.73,Brazil
42,Sergej Milinkovic-Savic ,27, AM(C),,33(2),2850,3,1.5,50,79.9,0.1,2.4,0.3,7.39,6.6,Serbia
43,Marcelo Brozovic ,29, M(CR),,21(10),1924,9,2,53.7,87.9,1,4.2,0.2,7.2,6.75,Croatia
44,Lucas Torreira ,26, DMC,,36,3185,1,1,60.8,87.2,0.8,2.5,0,7.17,6.86,Uruguay
45,Milan Badelj ,33, M(C),,27,2355,1,1.6,64.9,83.2,0.3,4.1,0.1,7.12,7.06,Croatia
46,Sami Khedira ,35, M(C),,24(2),1922,2,0.6,36.6,87.2,0.1,1.4,0,6.91,6.54,Germany
47,Lucas Biglia ,36, DMC,,24(4),2043,1,0.9,58.7,91,0,4.5,0,6.88,6.23,Argentina
48,Matías Vecino ,31, M(C),,25(4),2137,2,0.8,55.1,88.3,0,1.7,0.1,6.83,6.82,Uruguay
49,Blaise Matuidi ,35, M(CL),,27(5),2355,1,0.5,42.1,91.6,0.1,1.3,0,6.8,6.77,France
50,Valon Behrami ,37, M(C),,18(2),1407,1,0.5,25.1,82.3,0.1,1,0,6.77,6.61,Switzerland
51,Blerim Dzemaili ,36, M(C),,14(1),1196,0,0.7,31.5,79,0.1,1.4,0.1,6.75,6.64,Switzerland
