,name,age,position1,position2,Apps,Mins,Tackles,Inter,Clear,Blocks,Rating,WC_Rating
2,Joshua Kimmich ,27, D(CR),DMC,28,2478,1.4,1.9,0.9,0.3,7.6,0
7,Nico Schlotterbeck ,22, D(C),,32,2789,2.3,1.8,4.6,1,7.39,0
9,Alphonso Davies ,21, D(L),M(LR),20(2),1744,1.5,1,0.9,0,7.31,0
16,David Raum ,24, D(L),M(LR),31(1),2762,1.6,0.8,1.1,0.2,7.16,0
25,Nicolas Höfler ,32, D(C),DMC,30,2604,2.4,1.5,1.4,0.7,7.09,0
29,Evan Ndicka ,23, D(CL),,32,2858,1.9,1.5,4.1,0.6,7.06,0
30,Danilo Soares ,30, D(L),M(L),30,2568,3.6,2.1,2.1,0.3,7.06,0
31,Timo Hübers ,26, D(C),,20,1742,2.3,2.6,4.6,1,7.06,0
32,Willi Orbán ,29, D(C),,30,2646,1.1,1.5,4,0.8,7.06,0
33,Konstantinos Mavropanos ,24, D(C),,31,2711,1.8,2.2,5.4,0.7,7.05,0
34,Josko Gvardiol ,20, D(CL),,28(1),2413,1.6,1.8,1.9,0.4,7.04,0
37,Borna Sosa ,24, D(L),M(L),28,2500,0.8,0.9,2,0.1,7.02,0
44,Dayot Upamecano ,23, D(C),,25(3),2210,2.4,1.1,2.4,0.4,6.98,0
45,Alexander Hack ,28, D(C),,24(4),2078,1.9,1.8,3.4,0.5,6.97,0
46,Jonas Hector ,32, D(L),M(CL),30,2556,2.5,1.7,2.1,0.3,6.97,0
47,Christopher Trimmel ,35, D(CR),M(R),23(2),1996,2,1.4,2.7,0.1,6.97,0
49,Anthony Losilla ,36, D(C),DMC,32,2847,2,2.2,1.6,0.3,6.96,0
50,Angeliño ,25, D(L),M(L),26(3),2299,1,1,1.1,0.1,6.95,0
53,Jonathan Tah ,26, D(C),,33,2882,0.8,1.3,4.7,0.6,6.94,0
54,Lucas Hernández ,26, D(CL),,25,2041,2,1.1,1.8,0.4,6.94,0
64,Thomas Meunier ,30, D(R),M(R),17,1406,1.7,0.7,1.4,0.1,6.88,0
65,Mohamed Simakan ,22, D(CR),,23(5),2013,1.7,1.4,1.6,0.4,6.88,0
66,Jeremie Frimpong ,21, D(R),M(R),25,2062,1.3,0.7,1.3,0.2,6.88,0
67,Maximilian Mittelstädt ,25, D(L),M(CL),16(8),1494,2.2,1.9,1.4,0.2,6.88,0
68,Mats Hummels ,33, D(C),,20(3),1768,1.5,1.4,2.8,0.6,6.88,0
70,Florian Grillitsch ,27, D(C),M(CL),16(2),1495,2.1,1.6,2,0.4,6.87,0
71,Benjamin Pavard ,26, D(CLR),M(R),24(1),2080,1.4,1.4,2,0.6,6.87,0
72,Philipp Lienhart ,26, D(C),,32,2871,0.8,1.6,4.9,0.7,6.87,0
73,Emre Can ,28, D(CLR),DMC,19(5),1691,1.5,1.5,1.6,0.4,6.86,0
74,Reece Oxford ,23, D(C),DMC,30,2694,0.9,2.4,5.6,1.1,6.86,0
75,Ramy Bensebaïni ,27, D(CL),DMC,21(1),1930,1.9,1.8,3.2,0.3,6.86,0
78,Edmond Tapsoba ,23, D(C),,19(3),1813,1.6,1.3,3.1,0.7,6.84,0
80,Aarón Martín ,25, D(L),M(L),25(3),2296,1.9,0.7,1.2,0.1,6.84,0
81,Maxence Lacroix ,22, D(C),,29,2497,2,2.1,4.8,0.6,6.83,0
82,Paul Jaeckel ,24, D(C),DMC,22(2),2045,2.1,2.4,3.3,0.4,6.83,0
90,Raphaël Guerreiro ,28, D(L),M(CL),21(2),1803,1.5,1.1,0.6,0.1,6.82,0
91,Ridle Baku ,24, D(R),M(CR),28(6),2450,1.8,0.6,1.3,0,6.81,0
92,Niklas Süle ,26, D(CR),,19(9),1835,1,1,1.7,0.4,6.81,0
93,Daniel Caligiuri ,34, D(R),M(CLR),24(4),2014,1.6,0.6,1.1,0.2,6.81,0
95,Lukas Kübler ,29, D(R),M(R),27(2),2338,2.1,1.5,2.3,0.3,6.8,0
98,Denis Zakaria ,25, D(C),DMC,15(1),1395,1.4,1.2,1.3,0.3,6.8,0
99,Silvan Widmer ,29, D(R),M(R),33,2925,1.8,1.3,1.6,0.5,6.79,0
100,Amos Pieper ,24, D(C),,27,2382,2.1,1.9,4.9,0.9,6.79,0
107,Christian Günter ,29, D(L),M(L),34,3060,1,0.5,1.4,0.2,6.78,0
109,Guilherme Ramos ,25, D(C),,9(4),903,1.9,2.1,3.8,0.6,6.77,0
110,Cédric Brunner ,28, D(CR),,26(1),2188,1.9,1.6,2.9,0.4,6.77,0
111,Matthias Ginter ,28, D(CR),DMC,26(1),2268,1.3,1.2,2.7,0.4,6.77,0
