,name,age,position1,position2,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating,WC_Rating
0,Florian Wirtz ,19, AM(C),,22(2),1864,10,2.5,33.8,78.7,0.6,1.3,0.5,7.41,0
1,Jonas Hofmann ,30, M(CLR),,24(2),2082,5,2.7,42.0,81.8,1.8,1.5,0.1,7.2,0
2,Moussa Diaby ,23, M(CLR),,32,2773,12,1.9,28.2,77.2,0.7,0.9,0.2,7.2,0
3,Jude Bellingham ,19, M(CLR),,32,2795,8,1.2,46.4,83.7,0.1,2.0,0.2,7.12,0
4,Vincenzo Grifo ,29, AM(CL),,33(1),2792,7,1.9,36.5,79.4,1.5,2.3,0.1,7.1,0
5,Leon Goretzka ,27, M(CR),,19,1407,3,1.5,43.8,83.9,0.2,1.5,0.0,7.08,0
6,Manu Koné ,21, DMC,,25(1),2107,0,0.5,43.9,85.5,0.0,0.9,0.0,6.99,0
7,Maximilian Arnold ,28, M(CR),,34,2996,2,1.7,49.1,83.2,1.7,5.0,0.1,6.99,0
8,Ellyes Skhiri ,27, DMC,,20(2),1820,1,0.7,43.0,84.6,0.0,2.2,0.0,6.98,0
9,Kerem Demirbay ,29, M(C),,23(6),2053,4,1.6,43.0,81.6,1.5,4.0,0.1,6.98,0
10,Jamal Musiala ,19, M(CL),,12(18),1458,5,0.9,23.0,84.8,0.0,0.3,0.1,6.94,0
11,Anton Stach ,23, DMC,,20(9),1864,6,1.1,31.0,72.7,0.6,1.4,0.0,6.93,0
12,Wataru Endo ,29, DMC,,33,2902,2,0.7,47.2,80.7,0.1,1.8,0.1,6.93,0
13,Patrick Wimmer ,21, AM(R),,27(4),2067,6,1.4,21.4,58.6,0.6,0.5,0.1,6.92,0
14,Florian Kainz ,29, AM(CLR),,31(1),2347,4,1.5,24.9,70.1,1.7,1.4,0.0,6.88,0
15,Mahmoud Dahoud ,26, M(C),,20(2),1665,3,1.3,46.7,79.8,0.5,1.9,0.3,6.85,0
16,Dominik Szoboszlai ,21, AM(CL),,15(16),1538,8,1.3,27.5,81.0,1.2,1.0,0.1,6.82,0
17,Amadou Haidara ,24, M(CLR),,15(5),1327,1,0.4,38.7,84.1,0.1,1.6,0.1,6.82,0
18,Salih Özcan ,24, M(C),,26(5),2310,0,0.6,42.7,84.1,0.2,1.8,0.0,6.79,0
19,Robert Andrich ,27, M(C),,21(5),1821,2,0.5,38.3,81.1,0.0,1.3,0.2,6.78,0
20,Florian Neuhaus ,25, M(C),,23(5),2038,4,0.7,38.5,80.8,0.1,2.2,0.2,6.78,0
21,Salih Özcan ,24, M(C),,26(5),2310,0,0.6,42.7,84.1,0.2,1.8,0.0,6.79,0
22,Robert Andrich ,27, M(C),,21(5),1821,2,0.5,38.3,81.1,0.0,1.3,0.2,6.78,0
23,Florian Neuhaus ,25, M(C),,23(5),2038,4,0.7,38.5,80.8,0.1,2.2,0.2,6.78,0
24,Ansgar Knauff ,20, M(R),,8(4),760,1,0.8,20.5,62.6,0.5,0.2,0.1,6.76,0
25,Grischa Prömel ,27, M(C),,28(1),2428,1,0.5,32.2,75.9,0.0,1.6,0.0,6.75,0
26,Niklas Dorsch ,24, DMC,,27(3),2328,0,0.5,35.7,83.4,0.3,3.8,0.1,6.74,0
27,Xaver Schlager ,24, M(C),,13(1),1047,1,0.4,29.6,76.6,0.1,1.1,0.1,6.71,0
28,Paulinho ,22, AM(CLR),,14(10),1219,2,0.9,20.0,82.0,0.3,0.2,0.0,6.71,0
29,Suat Serdar ,25, M(CLR),,27(3),2230,0,0.8,19.1,71.4,0.0,1.2,0.1,6.7,0
30,Diadié Samassékou ,26, DMC,,21(3),1665,0,0.4,29.6,80.3,0.0,1.4,0.0,6.68,0
31,Djibril Sow ,25, DMC,,28(3),2422,3,0.6,39.1,82.9,0.1,2.0,0.1,6.67,0
32,Charles Aránguiz ,33, M(C),,16(10),1576,3,0.7,41.2,84.7,0.1,2.8,0.1,6.67,0
33,Santiago Ascacíbar ,25, DMC,,27(1),2381,1,0.4,41.3,82.5,0.0,1.7,0.0,6.66,0
34,Max Christiansen Greuther Fuerth,25, DMC,,22(5),2056,0,0.4,34.4,79.3,0.1,1.6,0.0,6.63,0
35,Exequiel Palacios ,23, M(C),,12(11),1094,2,0.3,33.8,86.4,0.1,2.0,0.2,6.61,0
36,Maximilian Eggestein ,25, M(CR),,26(5),2205,2,0.7,29.7,74.4,0.1,0.9,0.0,6.6,0
37,Dennis Geiger ,24, M(C),,17(3),1385,2,1.2,36.8,85.6,0.8,2.3,0.1,6.6,0
38,Leandro Barreiro ,22, DMC,,20(11),1790,2,0.5,16.8,71.6,0.0,0.4,0.1,6.6,0
39,Genki Haraguchi ,31, M(CLR),,23(7),1770,6,0.8,17.7,73.8,0.1,0.7,0.0,6.6,0
40,Dejan Ljubicic ,24, M(CR),,22(8),1975,1,0.9,21.7,73.8,0.4,0.9,0.0,6.59,0
41,Kevin Kampl ,31, M(CLR),,25(2),1913,1,0.6,55.3,91.4,0.1,1.7,0.1,6.58,0
42,Kevin Schade ,20, M(R),,7(14),826,1,0.3,7.9,56.4,0.1,0.0,0.0,6.58,0
43,Dominik Kohr ,28, DMC,,19(3),1626,3,0.5,37.9,74.3,0.0,1.4,0.1,6.58,0
44,Arne Maier ,23, M(C),,21(8),1871,6,1.1,25.8,77.1,1.1,2.3,0.0,6.57,0
45,Alessandro Schöpf ,28, M(CLR),,27(4),2407,0,1.4,32.4,79.9,0.5,1.0,0.0,6.54,0
46,Orel Mangala ,24, M(C),,22(6),1863,3,1.0,27.9,83.6,0.0,0.8,0.0,6.53,0
47,Timothy Tillman Greuther Fuerth,23, AM(C),,23(6),2018,2,1.0,22.0,76.7,0.5,0.6,0.1,6.53,0
