,Rating,name,age,position1,Apps,Mins,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch
0,7.63,Kevin De Bruyne Man City,31, M(CLR),25(5),2205,15,8,2.6,2.9,1.0,0.9,0.1,0.7,1.3
1,7.54,Mohamed Salah Liverpool,30, AM(CLR),30(5),2763,23,13,4.0,1.8,1.5,0.7,0.3,2.3,2.8
2,7.52,Trent Alexander-Arnold Liverpool,23, D(R),32,2854,2,12,1.6,2.8,0.6,0.2,0.3,0.6,1.3
3,7.51,Son Heung-Min Tottenham,30, M(CLR),35,3021,23,7,2.5,2.1,1.5,1,0.5,1.3,2.1
4,7.46,Kenedy Chelsea,26, D(L),1,59,-,1,1.0,2.0,1.0,-,-,3.0,2.0
5,7.45,Harry Kane Tottenham,29, AM(C),36(1),3232,17,9,3.6,1.4,1.5,1.5,0.4,1.6,2.6
6,7.44,Luis Díaz Liverpool,25, AM(L),11(2),964,4,3,2.9,1.5,2.4,1.1,0.2,2.0,2.1
7,7.43,Rodri Man City,26, DMC,33,2887,7,2,1.4,0.9,0.4,0.6,-,0.7,0.5
8,7.42,Ben Chilwell Chelsea,25, D(L),6(1),541,3,1,1.9,1.4,0.4,2.1,0.3,0.4,1.9
9,7.42,João Cancelo Man City,28, D(LR),36,3228,1,7,2.3,1.1,1.6,0.7,0.1,0.7,1.3
10,7.38,Kieran Trippier Newcastle,31, D(LR),5(1),430,2,-,0.3,1.2,0.2,0.5,-,0.2,0.2
11,7.37,Christian Eriksen Brentford,30, M(CLR),10(1),938,1,4,2,2.7,0.7,0.3,-,0.8,1.6
12,7.36,Joël Matip Liverpool,31, D(C),31,2790,3,3,1.1,0.4,0.3,0.4,-,0.2,0.4
13,7.3,Sadio Mané Liverpool,30, AM(CLR),32(2),2825,16,2,2.9,1.2,1.4,1.5,0.6,1.7,3.1
14,7.29,Phil Foden Man City,22, AM(CLR),24(4),2133,9,5,2,1.4,1.3,0.8,0.5,1.2,1.7
15,7.28,Ivan Toney Brentford,26, FW,32(1),2908,12,5,2.7,1.3,0.7,2.4,0.8,1.3,3.3
16,7.27,Bernardo Silva Man City,28, M(CLR),33(2),2861,8,4,1.3,1.7,1.5,0.9,0.3,0.7,1.5
17,7.25,Danny Ward Leicester,29, GK,1,90,-,-,-,-,-,-,-,-,-
18,7.24,Rodrigo Bentancur Tottenham,25, M(C),16(1),1367,-,4,0.8,0.9,0.8,0.8,-,0.8,0.7
19,7.24,Reece James Chelsea,22, D(CR),22(4),1868,5,9,1.4,1.8,1.4,1.2,0.2,0.8,1
20,7.24,Ilkay Gündogan Man City,31, M(C),20(7),1856,8,4,2.0,1.4,0.9,0.4,0.1,0.7,0.9
21,7.23,Ferran Torres Man City,22, AM(LR),4,305,2,1,3.3,0.3,1.0,0.3,0.3,0.5,1.0
22,7.23,Andrew Robertson Liverpool,28, D(L),29,2541,3,10,0.6,1.9,0.4,0.3,0.1,0.5,0.8
23,7.2,Raheem Sterling Man City,27, M(CLR),23(7),2127,13,5,1.9,1.4,1.8,1.2,0.3,1.8,2.1
24,7.19,Gabriel Jesus Man City,25, AM(LR),21(7),1880,8,8,2.3,1.4,1.6,0.9,0.4,1.0,2.4
25,7.19,Dejan Kulusevski Tottenham,22, AM(CR),14(4),1267,5,8,1.4,1.4,1.4,0.8,0.2,1.0,2.1
26,7.19,Mason Mount Chelsea,23, M(CLR),27(5),2365,11,10,2.4,1.8,0.6,0.7,0.2,1.1,2.2
27,7.18,Virgil van Dijk Liverpool,31, D(C),34,3060,3,1,1.0,0.3,0.2,0.2,-,0.1,0.1
28,7.17,John McGinn Aston Villa,27, M(C),35,3092,3,4,1.2,1.5,1.3,2.3,-,0.8,1.4
29,7.16,Jack Grealish Man City,26, AM(CL),22(4),1917,3,3,1.7,2.0,1.5,2.1,0.2,1.1,1.2
30,7.16,Zack Steffen Man City,27, GK,1,90,-,-,-,-,-,-,-,-,-
31,7.16,Pierre-Emile Højbjerg Tottenham,27, M(C),36,3199,2,2,0.9,0.7,1.2,1.1,-,0.6,0.9
32,7.14,Jarrod Bowen West Ham,25, AM(CLR),34(2),2993,12,10,2.2,1.1,1.4,1.2,0.4,1.4,1.8
33,7.11,Cristiano Ronaldo Man Utd,37, M(L),27(3),2459,18,3,3.7,0.9,0.7,0.6,1.1,1,1.7
34,7.1,John Stones Man City,28, D(CR),12(2),1118,1,-,0.6,0.3,0.6,0.4,-,0.1,0.3
35,7.1,Declan Rice West Ham,23, D(C),35(1),3178,1,4,0.7,0.7,1.4,0.3,-,0.6,0.7
36,7.1,Thiago Liverpool,31, M(C),17(8),1538,1,4,1,1.2,0.8,0.5,-,0.5,0.6
37,7.1,Marcos Alonso Chelsea,31, D(CL),25(3),2173,4,4,1.5,1.5,0.5,1,0.1,0.9,1.5
38,7.09,Allan Saint-Maximin Newcastle,25, AM(CLR),31(4),2812,5,5,1.8,1.4,4.3,1.4,0.4,2.6,3.4
39,7.09,Conor Gallagher Crystal Palace,22, AM(C),33(1),2851,8,3,1.5,1.1,1.3,1.9,0.1,1.5,1.8
40,7.09,Diogo Jota Liverpool,25, AM(CLR),27(8),2373,15,4,2.6,1.1,0.8,1.1,0.1,0.9,1.8
41,7.08,Thiago Silva Chelsea,37, D(C),28(4),2651,3,-,0.6,0.2,0.2,0.4,-,0.1,0.2
42,7.07,Moisés Caicedo Brighton,20, M(C),8,664,1,1,1.3,0.5,0.9,1.4,0.1,1.3,1.3
43,7.06,Bukayo Saka Arsenal,20, D(L),36(2),2996,11,7,2.6,1.8,1.1,1.6,0.4,1.2,2.2
44,7.06,James Maddison Leicester,25, AM(CLR),28(7),2468,12,8,2.1,1.4,0.9,1.8,0.1,0.9,1.2
45,7.05,Mateo Kovacic Chelsea,28, M(CL),16(9),1557,2,5,0.9,1.1,1.5,0.8,-,0.9,0.7
46,7.05,Oleksandr Zinchenko Man City,25, D(L),10(5),1045,-,4,0.8,1.1,0.5,0.1,0.1,0.4,0.7
