,name,age,position1,position2,Apps,Mins,Tackles,Inter,Clear,Blocks,Rating,WC_Rating
94,Manuel Riemann ,33, GK,,30,2700,0,0,0.7,0,6.81,0
97,Lukás Hrádecky ,32, GK,,32,2880,0,0,0.7,0,6.8,0
104,Marvin Schwäbe ,27, GK,,21,1890,0,0,0.8,0,6.78,0
121,Yann Sommer ,33, GK,,32,2880,0,0.1,0.6,0,6.75,0
124,Manuel Neuer ,36, GK,,28,2511,0.1,0,0.5,0,6.74,0
131,Stefan Ortega ,29, GK,,33,2970,0,0,0.3,0,6.73,0
138,Mark Flekken ,29, GK,,32,2880,0,0.1,0.6,0,6.71,0
145,Koen Casteels ,30, GK,,28,2520,0,0,0.7,0,6.7,0
158,Gregor Kobel ,24, GK,,29,2566,0,0,1.1,0,6.68,0
160,Kevin Trapp ,32, GK,,32,2880,0,0,0.7,0,6.67,0
169,Oliver Baumann ,32, GK,,33,2970,0,0,0.8,0,6.66,0
177,Robin Zentner ,27, GK,,32,2880,0.1,0.1,1.1,0,6.64,0
215,Péter Gulácsi ,32, GK,,33,2967,0,0,0.6,0,6.58,0
225,Timo Horn ,29, GK,,13,1170,0,0,0.9,0,6.56,0
234,Andreas Linde Greuther Fuerth,29, GK,,12,1080,0,0.1,0.2,0,6.54,0
235,Rafal Gikiewicz ,34, GK,,34,3060,0.1,0.1,0.8,0,6.54,0
279,Andreas Luthe ,35, GK,,27,2430,0,0,0.7,0,6.45,0
295,Alexander Schwolow ,30, GK,,25,2176,0,0.1,1,0,6.43,0
49,Sergio Romero ,35, GK,,16,1440,0.1,0.1,1.3,0,6.93,0
50,Mike Maignan ,27, GK,,32,2880,0.1,0,0.5,0,6.92,0
63,Guglielmo Vicario ,25, GK,,38,3420,0,0,0.8,0,6.87,0
64,Lukasz Skorupski ,31, GK,,36,3240,0,0,1.1,0,6.86,0
84,David Ospina ,33, GK,,31,2790,0,0,0.5,0,6.82,0
102,Samir Handanovic ,38, GK,,37,3330,0,0,0.5,0,6.79,0
112,Ivan Provedel Spezia,28, GK,,31,2762,0,0.1,1.1,0,6.76,0
131,Wojciech Szczesny ,32, GK,,33,2970,0,0,0.6,0,6.73,0
177,Luigi Sepe ,31, GK,,16,1394,0,0.1,0.4,0,6.67,0
179,Emil Audero ,25, GK,,29,2562,0.1,0.1,0.9,0,6.66,0
206,Andrea Consigli ,35, GK,,37,3322,0,0,0.8,0,6.61,0
212,Pietro Terracciano ,32, GK,,31(1),2860,0,0.1,1.3,0,6.6,0
214,Rui Patrício ,34, GK,,38,3420,0,0,0.3,0,6.6,0
219,Salvatore Sirigu ,35, GK,,37,3330,0,0,0.6,0,6.59,0
228,Juan Musso ,28, GK,,33,2932,0,0,0.7,0,6.58,0
239,Alessio Cragno ,28, GK,,35,3150,0.1,0,0.7,0,6.57,0
256,Marco Silvestri ,31, GK,,35,3150,0,0,0.5,0,6.55,0
257,Thomas Strakosha ,27, GK,,23,2070,0,0,0.7,0,6.55,0
269,Niki Mäenpää ,37, GK,,16(1),1485,0,0,1.2,0,6.53,0
302,Lorenzo Montipò ,26, GK,,34,3060,0,0,1,0,6.49,0
320,Vid Belec ,32, GK,,21(2),1936,0,0,0.7,0,6.47,0
94,Jeremías Ledesma ,29, GK,,38,3420,0.1,0,1.3,0,6.8,0
100,Thibaut Courtois ,30, GK,,36,3240,0,0,0.4,0,6.79,0
109,Diego López ,40, GK,,36,3179,0,0,1.1,0,6.78,0
112,Edgar Badia ,30, GK,,24,2160,0,0,1.3,0,6.77,0
117,Bono ,31, GK,,31,2790,0,0,0.7,0,6.76,0
133,Luís Maximiano ,23, GK,,35,3137,0.1,0,0.6,0,6.73,0
140,Stole Dimitrievski ,28, GK,,30(1),2771,0,0,1.1,0,6.72,0
144,Sergio Herrera ,29, GK,,36,3240,0.1,0,0.8,0,6.71,0
145,Gerónimo Rulli ,30, GK,,32,2880,0,0,1,0,6.71,0
147,Giorgi Mamardashvili ,21, GK,,18,1620,0,0,1.1,0,6.71,0
154,Álex Remiro ,27, GK,,35,3150,0,0,0.9,0,6.7,0
169,Rui Silva ,28, GK,,21(1),1963,0,0,0.8,0,6.68,0
192,David Soria ,29, GK,,38,3415,0,0,1.2,0,6.64,0
195,Matías Dituro ,35, GK,,38,3420,0,0,0.7,0,6.64,0
218,Kiko Casilla ,35, GK,,14,1260,0,0.1,0.7,0,6.61,0
224,Unai Simón ,25, GK,,34,3060,0,0,0.4,0,6.6,0
248,Jasper Cillessen ,33, GK,,17,1458,0,0.1,0.8,0,6.56,0
287,Marc-André ter Stegen ,30, GK,,35,3150,0,0,0.6,0,6.51,0
298,Fernando Pacheco ,30, GK,,34,3054,0.1,0,0.7,0,6.49,0
308,Aitor Fernández ,31, GK,,13,1167,0.2,0,0.7,0,6.49,0
322,Manolo Reina ,37, GK,,23,1892,0,0,0.5,0,6.47,0
107,Alisson ,29, GK,,36,3240,0.1,0,1.3,0,6.88,0
128,José Sá ,29, GK,,37,3286,0.1,0.1,1.1,0,6.84,0
138,Nick Pope ,30, GK,,36,3240,0,0.1,1.3,0,6.82,0
144,David Raya ,26, GK,,24,2160,0,0,0.7,0,6.8,0
151,Hugo Lloris ,35, GK,,38,3420,0,0,0.9,0,6.79,0
167,Lukasz Fabianski ,37, GK,,37,3330,0,0,0.6,0,6.76,0
187,Kasper Schmeichel ,35, GK,,37,3330,0,0,0.7,0,6.73,0
202,Fraser Forster ,34, GK,,19,1710,0.1,0,1.8,0,6.71,0
210,Vicente Guaita ,35, GK,,30,2656,0,0,0.7,0,6.7,0
218,Ederson ,29, GK,,37,3330,0.1,0,0.6,0,6.69,0
221,Édouard Mendy ,30, GK,,34,3060,0,0,0.7,0,6.68,0
228,Martin Dúbravka ,33, GK,,26,2340,0,0,0.5,0,6.66,0
242,Aaron Ramsdale ,24, GK,,34,3060,0.1,0,1.1,0,6.65,0
246,David de Gea ,31, GK,,38,3420,0,0,0.6,0,6.64,0
251,Robert Sánchez ,24, GK,,37,3330,0.1,0,0.6,0,6.63,0
253,Emiliano Martínez ,29, GK,,36,3240,0,0,0.3,0,6.63,0
254,Illan Meslier ,22, GK,,38,3385,0,0,1.2,0,6.63,0
256,Alex McCarthy ,32, GK,,17,1530,0,0,0.7,0,6.63,0
264,Jordan Pickford ,28, GK,,35,3150,0,0,1,0,6.6,0
278,Daniel Bachmann ,28, GK,,12,1080,0,0.1,0.7,0,6.58,0
54,Jonas Omlin ,28, GK,,29,2589,0.1,0,0.7,0,6.93,0
79,Predrag Rajkovic ,26, GK,,38,3420,0.1,0,1.2,0,6.85,0
109,Walter Benítez ,29, GK,,37,3330,0,0,0.6,0,6.79,0
111,Keylor Navas ,35, GK,,21,1858,0,0,0.6,0,6.78,0
116,Alban Lafont ,23, GK,,38,3420,0.1,0,1.5,0,6.77,0
136,Anthony Lopes ,31, GK,,34,2984,0,0.1,0.5,0,6.74,0
168,Gianluigi Donnarumma ,23, GK,,17,1530,0,0,0.6,0,6.69,0
201,Léo Jardim ,27, GK,,17,1530,0,0.1,0.9,0,6.66,0
215,Marco Bizot ,31, GK,,38,3420,0.1,0,1,0,6.63,0
219,Matz Sels Strasbourg,30, GK,,37,3330,0,0,1.2,0,6.62,0
233,Alexander Nübel ,25, GK,,38,3420,0,0,0.4,0,6.61,0
242,Dogan Alemdar ,19, GK,,12,1080,0,0,0.9,0,6.6,0
247,Pau López ,27, GK,,29,2610,0,0,0.7,0,6.59,0
