Column1,Unnamed: 0,name,age,position1,position2,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating,WC_Rating,Country
1,1,Jonas Hofmann,30, M(CLR),,24(2),2082,5,2.7,42,81.8,1.8,1.5,0.1,7.2,0,Germany
3,3,Jude Bellingham,19, M(CLR),,32,2795,8,1.2,46.4,83.7,0.1,2,0.2,7.12,0,England
5,5,Leon Goretzka,27, M(CR),,19,1407,3,1.5,43.8,83.9,0.2,1.5,0,7.08,0,Germany
10,10,Jamal Musiala,19, M(CL),,12(18),1458,5,0.9,23,84.8,0,0.3,0.1,6.94,0,Germany
12,12,Wataru Endo,29, DMC,,33,2902,2,0.7,47.2,80.7,0.1,1.8,0.1,6.93,0,Japan
31,31,Djibril Sow,25, DMC,,28(3),2422,3,0.6,39.1,82.9,0.1,2,0.1,6.67,0,Switzerland
35,35,Exequiel Palacios,23, M(C),,12(11),1094,2,0.3,33.8,86.4,0.1,2,0.2,6.61,0,Argentina
55,55,Rodri,26, DMC,,33,2887,2,0.9,86.8,91.8,0.1,5.5,0.1,7.43,0,Spain
56,56,Rodrigo Bentancur,25, M(C),,16(1),1367,4,0.9,59.2,90,0.2,2.2,0.1,7.24,0,Uruguay
58,58,Mason Mount,23, M(CLR),,27(5),2365,10,1.8,34.8,85.4,1.3,0.7,0.2,7.19,0,England
60,60,Pierre-Emile H©ªjbjerg,27, M(C),,36,3199,2,0.7,70.3,89.7,0.1,3.7,0.1,7.16,0,Denmark
62,62,Conor Gallagher,22, AM(C),,33(1),2851,3,1.1,30.9,81.2,1.1,1.4,0,7.09,0,England
63,63,James Maddison,25, AM(CLR),,28(7),2468,8,1.4,27.3,80.7,0.6,1.5,0.1,7.06,0,England
66,66,Bruno Fernandes,27, M(CLR),,35(1),3120,6,2.5,52.8,78.3,1.1,3.3,0.3,7.03,0,Portugal
75,75,Hakim Ziyech,29, M(CLR),,14(9),1317,3,1.3,27.5,81.2,0.8,1,0,6.92,0,Morocco
77,77,Youri Tielemans,25, M(C),,29(3),2634,4,1.2,53.4,83.5,0.4,2.3,0.1,6.9,0,Belgium
79,79,Fred,29, M(C),,24(4),2036,4,1,48,84.1,0,2.2,0.2,6.87,0,Brazil
116,116,Casemiro,30, DMC,,31(1),2576,3,0.8,61.3,86,0.1,5.5,0.2,7.26,0,Brazil
120,120,Pedri,19, AM(C),,10(2),891,1,1.3,48.3,86.5,0.6,3,0.2,7.12,0,Spain
121,121,Sergio Busquets,34, DMC,,36,3202,0,0.9,76.9,87.6,0.1,5.6,0.1,7.05,0,Spain
128,128,Carlos Soler,25, M(CLR),,28(4),2485,5,1.7,25.8,74.4,1.3,1.7,0.1,6.93,0,Spain
131,131,Marco Asensio,26, AM(CLR),,19(12),1729,0,1,25.9,87.7,0.4,0.9,0,6.89,0,Spain
137,137,Eduardo Camavinga,19, DMC,,13(13),1233,1,0.5,32.4,90,0,2,0.1,6.82,0,France
140,140,William Carvalho,30, DMC,,20(13),1806,3,0.7,39.8,88,0,2.3,0.1,6.8,0,Portugal
142,142,Gavi,18, AM(CL),,28(6),2331,5,0.6,35.2,89.3,0.2,1,0.2,6.79,0,Spain
146,146,Federico Valverde,24, M(CLR),,19(12),1832,1,0.8,37,89.7,0,1.5,0.1,6.76,0,Uruguay
154,154,Thomas Delaney,30, DMC,,15(11),1545,1,0.4,30.3,78.3,0,2,0,6.69,0,Denmark
161,161,Koke,30, M(CLR),,29(2),2512,2,0.8,55.6,86.5,0.2,2.3,0.1,6.66,0,Spain
162,162,Rodrygo,21, AM(CLR),,17(16),1528,4,0.8,19,86.1,0.2,0.2,0,6.66,0,Brazil
167,167,Iddrisu Baba,26, DMC,,23(3),1945,1,0.4,29.7,79.8,0,2,0,6.63,0,Ghana
187,187,Rodri,22, AM(R),,10(11),882,2,0.8,19.2,82.9,0,0.6,0.1,6.47,0,Spain
199,199,Lovro Majer,24, AM(CR),,21(8),1841,8,1.6,33,81,0.8,1.6,0.1,7.06,0,Croatia
201,201,Kamaldeen Sulemana,20, AM(L),,11(9),1018,2,1.1,16,80.3,0.4,1.3,0,7,0,Ghana
230,230,Leandro Paredes,28, DMC,,10(5),842,2,0.5,62.2,95.8,0,2.5,0,6.73,0,Argentina
233,233,Youssouf Fofana,23, DMC,,23(10),2187,4,0.6,35.4,76.3,0.1,1.6,0.1,6.72,0,France
268,268,Amadou Onana,21, DMC,,11(21),1352,0,0.5,19.3,83.3,0,1.1,0.1,6.52,0,Belgium
288,288,Adrien Rabiot,27, DMC,M(L),28(4),2294,2,0.7,31.8,83.3,0.2,0.8,0,6.82,0,France
289,289,Jordan Veretout,29, M(C),,26(10),2329,8,1.5,37,88.4,1,2.8,0,6.81,0,France
304,304,Remo Freuler,30, DMC,,28(1),2380,3,0.8,58.1,87.2,0.2,1.4,0,6.71,0,Switzerland
312,312,Lucas Torreira,26, DMC,,26(5),2201,1,0.7,43.8,87.7,0,2.9,0.1,6.67,0,Uruguay
314,314,Nicola Zalewski,20, M(L),,9(7),799,0,0.6,24.4,80.8,0.4,1.5,0,6.66,0,Poland
316,316,Rodrigo Bentancur,25, M(C),,13(6),1157,2,0.6,39.6,87.5,0,1.7,0.1,6.65,0,Uruguay
